Item1,Item2,Item3,Item4,Item5
59467.616051199999,False,NaN,NaN,False
59468.127244799995,False,NaN,NaN,False
59468.623539199994,False,NaN,NaN,False
59468.864256000001,False,NaN,NaN,False
59468.911871999997,False,3.39912271,432.473694,False
59468.943910399998,True,483.028931,418.01239,False
59468.975705599994,True,426.279999,422.768341,False
59469.007206399998,True,437.948975,423.399384,False
59469.040064000001,True,446.391785,422.762451,False
59469.071039999995,True,448.693268,422.28244,False
59469.104511999998,True,447.798035,420.223053,False
59469.152204799997,True,445.973236,418.759369,False
59469.183910399996,True,444.779419,417.263641,False
59469.216652799994,True,436.420319,416.492645,False
59469.247564799996,True,430.028717,415.798065,False
59469.281356799998,True,425.832245,416.055603,False
59469.312563199994,True,420.604584,416.068604,False
59469.344678399997,True,413.210846,417.637573,False
59469.377177599999,True,407.109772,419.805237,False
59469.424755199994,True,401.851685,417.452087,False
59469.456089599997,True,404.01236,416.583435,False
59469.488038399999,True,406.986145,411.036316,False
59469.522623999997,True,411.52356,403.607758,False
59469.554009599997,True,411.481445,394.858765,False
59469.589094399998,True,419.002655,391.117706,False
59469.6156672,True,420.846619,382.227448,False
59469.649804799999,True,423.234039,375.158813,False
59469.6969856,True,424.388397,367.42276,False
59469.726835199996,True,426.699097,354.165527,False
59469.761164799995,True,439.638428,335.280365,False
59469.792076799997,True,443.721344,322.857239,False
59469.824921599997,True,453.260834,313.540649,False
59469.859212799995,True,454.731476,311.305237,False
59469.890355199997,True,452.41452,313.58316,False
59469.938431999995,True,453.350372,321.79895,False
59469.967718399996,True,445.894226,321.925385,False
59470.000844800001,True,448.976898,315.990692,False
59470.031014399996,True,449.177673,306.482544,False
59470.064345599996,True,449.46524,295.48114,False
59470.095859199995,True,450.624481,285.191132,False
59470.128307200001,True,455.682678,229.643219,False
59470.160409599994,True,455.79541,266.73877,False
59470.209446399997,True,453.632416,257.156067,False
59470.239679999999,True,446.687347,244.376572,False
59470.272460799999,True,436.667053,230.955032,False
59470.303807999997,True,425.612183,214.741653,False
59470.336639999994,True,410.330383,197.808823,False
59470.369228799995,True,402.171448,187.205292,False
59470.400358399995,False,394.652252,174.467407,False
59470.432550400001,False,387.148834,162.842453,False
59470.481177599999,False,378.589966,154.692123,False
59470.510924800001,False,367.692688,146.810226,False
59470.543039999997,False,356.934448,138.661514,False
59470.576025599999,False,346.796906,129.957245,False
59470.606732799999,False,333.766846,121.429619,False
59470.639552000001,False,316.063324,114.460968,False
59470.672294399999,False,294.460663,112.426216,False
59470.703052799996,False,277.045807,109.851242,False
59470.752857599997,False,263.638824,103.522133,False
59470.7855872,False,254.213684,97.4184113,False
59470.816460800001,False,246.559006,91.8587265,False
59470.850355199997,False,243.890533,87.5370789,False
59470.8799488,False,242.795334,85.4779434,False
59470.910707199997,False,238.683624,87.1377411,False
59470.945024000001,False,231.05751,88.1847229,False
59470.992883200001,False,223.12207,89.966568,False
59471.024831999996,False,211.810257,92.3753128,False
59471.057036799997,False,202.407471,93.9240265,False
59471.087731199994,False,194.639496,96.8936996,False
59471.121561599997,False,185.982971,100.204872,False
59471.1520896,False,177.960693,108.473595,False
59471.185510399999,False,168.115143,119.083061,False
59471.216153599999,False,159.938553,126.977547,False
59471.264563199999,False,154.716568,131.386475,False
59471.295039999997,False,152.932327,132.010513,False
59471.329113599997,False,156.045074,129.444107,False
59471.358924799999,False,159.510742,125.384537,False
59471.392537599997,False,167.086899,117.205093,False
59471.4242304,False,170.970657,110.880356,False
59471.456371199994,False,168.236938,108.665291,False
59471.487705599997,False,162.922699,109.313911,False
59471.537190399999,False,156.261627,114.475029,False
59471.568614399999,False,153.679413,117.431602,False
59471.601279999995,False,154.096329,117.294357,False
59471.633484799997,False,155.628448,116.487999,False
59471.664537599994,False,157.49263,117.482147,False
59471.696691199999,False,158.483994,121.614632,False
