TimeStamp,Name,State
181220.115,Input1,0
181331.391,Input1,1
480793.369,Input1,0
481288.713,Input1,1
640497.931,Input1,0
640594.893,Input1,1
764292.365,Input1,0
764787.640,Input1,1
864642.922,Input1,0
864754.574,Input1,1
892179.449,Input1,0
892674.852,Input1,1
1061498.457,Input1,0
1061594.136,Input1,1
1089642.758,Input1,0
1090137.136,Input1,1
1244666.126,Input1,0
1244760.813,Input1,1
1277609.296,Input1,0
1278121.077,Input1,1
1403130.432,Input1,0
1403226.110,Input1,1
1462822.272,Input1,0
1463333.565,Input1,1
1576011.566,Input1,0
1576123.189,Input1,1
1610276.548,Input1,0
1610772.888,Input1,1
1769487.419,Input1,0
1769582.430,Input1,1
1790124.233,Input1,0
1790636.470,Input1,1
2004184.217,Input1,0
2004279.949,Input1,1
2023058.613,Input1,0
2023569.924,Input1,1
2171071.086,Input1,0
2171166.312,Input1,1
2182578.055,Input1,0
2183093.332,Input1,1
2543341.027,Input1,0
2543436.708,Input1,1
