TimeStamp,Lights,Channel1
0.000,410,1374.787
33.336,470,1504.358
66.667,410,1371.305
100.006,470,1503.588
133.337,410,1396.793
166.671,470,1488.125
199.999,410,1338.955
233.333,470,1473.820
266.668,410,1339.434
300.001,470,1459.424
333.337,410,1327.751
366.670,470,1420.854
400.001,410,1328.205
433.336,470,1402.203
466.670,410,1315.989
500.000,470,1390.632
533.332,410,1311.624
566.667,470,1374.748
600.002,410,1308.650
633.334,470,1379.236
666.669,410,1320.108
700.005,470,1368.031
733.337,410,1315.858
766.670,470,1384.975
800.003,410,1338.230
833.333,470,1372.650
866.669,410,1298.744
900.005,470,1355.424
933.336,410,1283.792
966.668,470,1340.808
1000.001,410,1286.450
1033.339,470,1330.341
1066.668,410,1280.137
1100.004,470,1314.148
1133.338,410,1278.722
1166.668,470,1299.901
1200.002,410,1278.212
1233.334,470,1285.424
1266.672,410,1268.154
1300.004,470,1274.806
1333.334,410,1264.365
1366.669,470,1267.167
1400.002,410,1273.497
1433.337,470,1255.409
1466.672,410,1273.183
1500.000,470,1251.029
1533.334,410,1267.526
1566.666,470,1247.211
1600.004,410,1269.273
1633.335,470,1238.145
1666.670,410,1276.905
1700.000,470,1239.061
1733.335,410,1274.242
1766.670,470,1245.724
1800.000,410,1265.117
1833.335,470,1242.937
1866.668,410,1265.001
1900.000,470,1246.408
1933.334,410,1265.719
1966.669,470,1254.287
2000.005,410,1261.164
2033.334,470,1258.495
2066.667,410,1267.515
2100.002,470,1252.718
2133.339,410,1262.018
2166.669,470,1255.443
2200.002,410,1260.526
2233.334,470,1263.053
2266.669,410,1270.463
2300.002,470,1270.474
2333.335,410,1263.732
2366.668,470,1281.302
2400.002,410,1256.920
2433.332,470,1279.086
2466.671,410,1264.604
2500.002,470,1286.875
2533.336,410,1272.055
2566.667,470,1306.484
2599.999,410,1269.771
2633.339,470,1317.029
2666.666,410,1269.005
2700.003,470,1316.848
2733.334,410,1272.928
2766.667,470,1311.240
2800.000,410,1274.069
2833.334,470,1310.163
2866.671,410,1264.687
2900.005,470,1314.416
2933.337,410,1271.825
2966.669,470,1319.531
3000.006,410,1280.132
3033.338,470,1322.075
3066.667,410,1276.117
3100.003,470,1329.016
3133.335,410,1262.766
3166.671,470,1326.416
3200.002,410,1241.906
3233.339,470,1305.083
3266.669,410,1263.165
3300.005,470,1321.101
3333.334,410,1269.955
3366.669,470,1304.550
3400.000,410,1260.500
3433.338,470,1302.632
3466.667,410,1268.287
3500.005,470,1287.560
3533.337,410,1274.150
3566.669,470,1280.274
3600.000,410,1273.156
3633.335,470,1275.602
3666.671,410,1275.175
3700.001,470,1271.694
3733.336,410,1271.965
3766.669,470,1277.857
3800.002,410,1268.604
3833.334,470,1283.815
3866.666,410,1265.903
3900.002,470,1276.581
3933.333,410,1271.730
