TimeStamp,Events,UV,Fluorescence,ToneStart,PelletGrab,TimeStampAdjusted,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,Speed_px,DistFromFED,ToneStart_Bonsai,PelletGrab_Bonsai,Completed_Tone,Completed_PelletGrab,DistFromFED_orig,Xpos_cm,Ypos_cm
0.0,,870.801,1016.866,0,0,0.0,57.360895,132.849575,105.528761,-48.167866,-1.272519,-1.201978,,,,,,0,0,0,0,,,
66.664,,864.031,1026.982,0,0,0.066664,67.740545,126.083248,100.153982,-32.413437,0.321709,-0.808843,,,,,,0,0,0,0,,,
133.333,,858.924,1028.806,0,0,0.133333,69.827554,120.97992,96.100195,-26.272641,0.943111,-0.655606,,,,,,0,0,0,0,,,
200.002,,851.186,1021.721,0,0,0.200002,63.004903,113.245593,89.956493,-26.95159,0.874406,-0.672548,,,,,,0,0,0,0,,,
266.666,,850.297,1010.655,0,0,0.266666,52.200575,112.360265,89.25324,-37.052666,-0.147746,-0.92461,,,,,,0,0,0,0,,,
333.335,,854.701,1005.163,0,0,0.333335,46.969609,116.767937,92.75444,-45.78483,-1.031374,-1.142512,,,,,,0,0,0,0,,,
399.999,,854.668,1007.896,0,0,0.399999,49.96297,116.738609,92.731143,-42.768173,-0.726112,-1.067234,,,,,,0,0,0,0,,,
466.669,,857.657,1004.43,0,0,0.466669,46.756701,119.731282,95.108349,-48.351648,-1.291117,-1.206564,,,,,,0,0,0,0,,,
533.335,,857.169,1001.542,0,0,0.533335,44.127766,119.246954,94.723627,-50.595861,-1.518214,-1.262566,,,,,,0,0,0,0,,,
600.002,,854.222,995.566,0,0,0.600002,38.410184,116.303626,92.385618,-53.975434,-1.860201,-1.346899,,,,,,0,0,0,0,,,
666.665,,843.329,982.185,0,0,0.666665,25.286939,105.414298,83.735767,-58.448828,-2.312875,-1.458528,,,,,,0,0,0,0,,,
733.332,,827.342,975.709,0,0,0.733332,19.068064,89.430971,71.039538,-51.971474,-1.657416,-1.296893,,,,,,0,0,0,0,,,
799.998,,826.436,977.988,0,0,0.799998,21.60354,88.528643,70.322781,-48.719241,-1.328314,-1.215737,,,,,,0,0,0,0,,,
866.669,,819.915,968.478,0,0,0.866669,12.349391,82.011315,65.145794,-52.796402,-1.740892,-1.317478,,,,,,0,0,0,0,,,
933.332,,818.027,974.326,0,0,0.933332,18.452571,80.126987,63.648993,-45.196421,-0.971832,-1.127828,,,,,,0,0,0,0,,,
999.998,,816.747,975.099,0,0,0.999998,19.480123,78.850659,62.635152,-43.155029,-0.765258,-1.076888,,,,,,0,0,0,0,,,
1066.67,,819.026,981.075,0,0,1.06667,25.710059,81.133332,64.448374,-38.738315,-0.318321,-0.966673,,,,,,0,0,0,0,,,
1133.332,,822.731,975.517,0,0,1.133332,20.405321,84.842004,67.394328,-46.989007,-1.153228,-1.172561,,,,,,0,0,0,0,,,
1199.999,,834.706,980.073,0,0,1.199999,25.213967,96.820676,76.909491,-51.695524,-1.629492,-1.290007,,,,,,0,0,0,0,,,
1266.666,,841.476,975.879,0,0,1.266666,21.271979,103.594348,82.290104,-61.018124,-2.572868,-1.522642,,,,,,0,0,0,0,,,
1333.331,,844.401,980.011,0,0,1.333331,25.655353,106.52302,84.616471,-58.961118,-2.364715,-1.471312,,,,,,0,0,0,0,,,
1399.998,,852.716,980.935,0,0,1.399998,26.830103,114.841692,91.224342,-64.394239,-2.914505,-1.606889,,,,,,0,0,0,0,,,
1466.669,,849.065,980.374,0,0,1.466669,26.519241,111.194364,88.327116,-61.807876,-2.652785,-1.54235,,,,,,0,0,0,0,,,
1533.335,,844.146,960.402,0,0,1.533335,6.796732,106.279036,84.422665,-77.625932,-4.253452,-1.937072,,,,,,0,0,0,0,,,
1600.002,,825.011,957.877,0,0,1.600002,4.520603,87.147708,69.225846,-64.705244,-2.945976,-1.61465,,,,,,0,0,0,0,,,
1666.667,,825.655,961.683,0,0,1.666667,8.574842,87.79538,69.740319,-61.165478,-2.587779,-1.526319,,,,,,0,0,0,0,,,
