TimeStamp,Events,UV,Fluorescence,ToneStart,PelletGrab,TimeStampAdjusted,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,Speed_px,DistFromFED,ToneStart_Bonsai,PelletGrab_Bonsai,Completed_Tone,Completed_PelletGrab,DistFromFED_orig,Xpos_cm,Ypos_cm
0.0,,617.866,630.781,0,0,0.0,35.369224,55.330066,30.044813,5.324412,5.413715,0.337197,,,,,,0,0,0,0,,,
66.669,,608.67,625.09,0,0,0.066669,29.681476,46.136337,25.052535,4.628941,5.215109,0.293153,,,,,,0,0,0,0,,,
133.335,,602.114,623.691,0,0,0.133335,28.285727,39.582607,21.493801,6.791926,5.832793,0.430136,,,,,,0,0,0,0,,,
199.998,,603.002,624.837,0,0,0.199998,29.434978,40.472878,21.977226,7.457752,6.022933,0.472303,,,,,,0,0,0,0,,,
266.662,,602.897,622.359,0,0,0.266662,26.960229,40.370148,21.921443,5.038786,5.332149,0.319109,,,,,,0,0,0,0,,,
333.333,,600.644,623.117,0,0,0.333333,27.72148,38.119419,20.699276,7.022203,5.898553,0.444719,,,,,,0,0,0,0,,,
399.998,,601.498,623.173,0,0,0.399998,27.780731,38.975689,21.164239,6.616492,5.782694,0.419025,,,,,,0,0,0,0,,,
466.669,,601.674,621.543,0,0,0.466669,26.153982,39.153959,21.261041,4.89294,5.2905,0.309872,,,,,,0,0,0,0,,,
533.334,,602.057,620.918,0,0,0.533334,25.532232,39.53923,21.470247,4.061986,5.053204,0.257247,,,,,,0,0,0,0,,,
600.0,,598.832,619.375,0,0,0.6,23.992483,36.3165,19.720275,4.272207,5.113237,0.270561,,,,,,0,0,0,0,,,
666.668,,598.326,619.98,0,0,0.666668,24.600733,35.81277,19.446746,5.153988,5.365047,0.326404,,,,,,0,0,0,0,,,
733.334,,597.11,619.647,0,0,0.733334,24.270984,34.599041,18.78768,5.483304,5.45909,0.34726,,,,,,0,0,0,0,,,
799.996,,595.129,618.124,0,0,0.799996,22.751234,32.620311,17.713212,5.038023,5.331931,0.31906,,,,,,0,0,0,0,,,
866.667,,596.868,619.341,0,0,0.866667,23.971485,34.361581,18.658737,5.312748,5.410384,0.336459,,,,,,0,0,0,0,,,
933.336,,595.542,620.567,0,0,0.933336,25.200735,33.037852,17.93994,7.260795,5.966688,0.45983,,,,,,0,0,0,0,,,
1000.0,,596.031,623.078,0,0,1.0,27.714985,33.529122,18.206704,9.508281,6.608502,0.602164,,,,,,0,0,0,0,,,
1066.667,,599.825,625.416,0,0,1.066667,30.056235,37.325392,20.268113,9.788122,6.688417,0.619886,,,,,,0,0,0,0,,,
1133.33,,600.153,624.506,0,0,1.13333,29.149485,37.655663,20.447453,8.702033,6.378262,0.551104,,,,,,0,0,0,0,,,
1199.997,,596.552,623.074,0,0,1.199997,27.720735,34.056933,18.49331,9.227425,6.528298,0.584377,,,,,,0,0,0,0,,,
1266.665,,587.26,610.6,0,0,1.266665,15.249985,24.767203,13.448904,1.801082,4.407558,0.114063,,,,,,0,0,0,0,,,
1333.33,,584.706,614.492,0,0,1.33333,19.145235,22.215473,12.063291,7.081943,5.915613,0.448503,,,,,,0,0,0,0,,,
1399.998,,587.201,615.493,0,0,1.399998,20.149485,24.712744,13.419332,6.730153,5.815152,0.426224,,,,,,0,0,0,0,,,
1466.665,,589.146,620.391,0,0,1.466665,25.050734,26.660014,14.476717,10.574018,6.912845,0.669657,,,,,,0,0,0,0,,,
1533.334,,586.64,615.187,0,0,1.533334,19.849984,24.156284,13.117169,6.732815,5.815913,0.426392,,,,,,0,0,0,0,,,
1600.002,,577.948,616.834,0,0,1.600002,21.500234,15.466554,8.398568,13.101666,7.634665,0.829735,,,,,,0,0,0,0,,,
1666.667,,580.619,615.445,0,0,1.666667,20.114483,18.139825,9.850178,10.264305,6.8244,0.650043,,,,,,0,0,0,0,,,
1733.335,,583.032,615.939,0,0,1.733335,20.611732,20.555095,11.161691,9.450041,6.591871,0.598475,,,,,,0,0,0,0,,,
1800.002,,585.102,613.759,0,0,1.800002,18.434982,22.627365,12.286952,6.148029,5.648915,0.389358,,,,,,0,0,0,0,,,
1866.669,,584.298,609.907,0,0,1.866669,14.586231,21.825635,11.851606,2.734625,4.67415,0.173185,,,,,,0,0,0,0,,,
1933.333,,582.502,608.233,0,0,1.933333,12.91548,20.031905,10.877594,2.037886,4.475182,0.12906,,,,,,0,0,0,0,,,
2000.001,,580.912,607.524,0,0,2.000001,12.209729,18.444176,10.015443,2.194286,4.519845,0.138965,,,,,,0,0,0,0,,,
2066.663,,577.853,602.302,0,0,2.066663,6.990978,15.387446,8.355611,-1.364633,3.503525,-0.086423,,,,,,0,0,0,0,,,
2133.331,,577.339,603.874,0,0,2.133331,8.566227,14.875716,8.077737,0.48849,4.032721,0.030936,,,,,,0,0,0,0,,,
2199.999,,582.324,610.517,0,0,2.199999,15.212476,19.862986,10.78587,4.426606,5.157329,0.280339,,,,,,0,0,0,0,,,
2266.663,,583.682,613.894,0,0,2.266663,18.592724,21.223256,11.524508,7.068216,5.911693,0.447633,,,,,,0,0,0,0,,,
2333.331,,583.573,617.127,0,0,2.333331,21.828973,21.116526,11.466553,10.36242,6.852419,0.656257,,,,,,0,0,0,0,,,
2400.002,,583.457,615.279,0,0,2.400002,19.984222,21.002796,11.404797,8.579425,6.343249,0.543339,,,,,,0,0,0,0,,,
2466.665,,585.913,615.051,0,0,2.466665,19.75947,23.461066,12.73966,7.019811,5.89787,0.444568,,,,,,0,0,0,0,,,
2533.333,,587.266,610.265,0,0,2.533333,14.976719,24.816337,13.475583,1.501135,4.321902,0.095068,,,,,,0,0,0,0,,,
2600.001,,575.222,600.833,0,0,2.600001,5.547967,12.774607,6.936816,-1.388849,3.496609,-0.087956,,,,,,0,0,0,0,,,
2666.664,,570.641,597.318,0,0,2.666664,2.036215,8.195877,4.450525,-2.414309,3.203769,-0.152899,,,,,,0,0,0,0,,,
