TimeStamp,Events,UV,Fluorescence,TimeStampAdjusted,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,ToneStart,PelletGrab
0.0,,947.597,1098.146,0.0,125.493952,56.741839,56.329262,69.16469,16.707153,4.009396,0,0
66.666,,944.315,1089.22,0.066666,116.585281,53.476075,53.086215,63.499065,15.606687,3.680967,0,0
133.334,,938.926,1077.318,0.133334,104.700608,48.103311,47.750825,56.949783,14.334584,3.301312,0,0
200.001,,934.216,1069.917,0.200001,97.316934,43.409545,43.08971,54.227224,13.805766,3.143489,0,0
266.667,,931.25,1064.333,0.266667,91.750258,40.459778,40.160462,51.589797,13.293484,2.9906,0,0
333.334,,927.4,1061.758,0.333334,89.192582,36.62601,36.353362,52.83922,13.536166,3.063028,0,0
400.004,,926.118,1058.51,0.400004,85.961905,35.360242,35.096398,50.865506,13.152801,2.948614,0,0
466.67,,925.571,1055.142,0.46667,82.611225,34.829471,34.56932,48.041905,12.604357,2.784933,0,0
533.337,,922.317,1051.726,0.533337,79.212545,31.5917,31.354071,47.858473,12.568728,2.7743,0,0
600.004,,920.981,1050.353,0.600004,77.856863,30.271928,30.04348,47.813383,12.55997,2.771686,0,0
666.666,,919.214,1047.769,0.666666,75.290179,28.521153,28.304884,46.985295,12.399126,2.723683,0,0
733.332,,916.898,1042.583,0.733332,70.121494,26.221378,26.021106,44.100388,11.838775,2.556448,0,0
800.003,,919.032,1038.036,0.800003,65.591809,28.371604,28.156375,37.435435,10.544204,2.170088,0,0
866.665,,916.651,1034.939,0.866665,62.512121,26.006826,25.808046,36.704075,10.402148,2.127692,0,0
933.333,,913.303,1030.915,0.933333,58.505433,22.675048,22.499445,36.005988,10.266555,2.087225,0,0
1000.001,,913.851,1030.122,1.000001,57.729744,23.239269,23.059742,34.670003,10.007059,2.00978,0,0
1066.668,,913.395,1028.989,1.066668,56.614054,22.799489,22.623021,33.991033,9.875179,1.97042,0,0
1133.332,,912.999,1030.065,1.133332,57.707361,22.419708,22.245881,35.46148,10.160792,2.055661,0,0
1199.999,,912.268,1026.943,1.199999,54.602668,21.704925,21.53607,33.066597,9.69562,1.916832,0,0
1266.669,,910.582,1026.866,1.266669,54.542974,20.035143,19.877903,34.665071,10.006101,2.009494,0,0
1333.333,,912.219,1027.257,1.333333,54.951277,21.688357,21.519618,33.43166,9.766529,1.937994,0,0
1400.004,,911.061,1026.611,1.400004,54.322581,20.546573,20.385776,33.936806,9.864646,1.967277,0,0
1466.671,,910.526,1023.577,1.466671,51.305883,20.027786,19.870598,31.435285,9.378762,1.822267,0,0
1533.334,,910.415,1021.12,1.533334,48.866182,19.932997,19.776468,29.089714,8.923168,1.686297,0,0
1599.999,,911.964,1015.057,1.599999,42.820481,21.498208,21.330791,21.48969,7.446974,1.245732,0,0
1666.67,,908.23,1012.163,1.66667,39.94378,17.780419,17.638864,22.304916,7.60532,1.29299,0,0
1733.333,,907.735,1008.576,1.733333,36.374076,17.301627,17.163402,19.210673,7.004308,1.11362,0,0
1799.998,,908.78,1006.878,1.799998,34.69337,18.362834,18.217228,16.476143,6.473165,0.955103,0,0
1866.67,,910.406,1006.266,1.86667,34.098666,20.005042,19.848012,14.250654,6.040896,0.826094,0,0
1933.335,,910.267,1005.245,1.933335,33.094958,19.882247,19.726071,13.368887,5.869625,0.774979,0,0
2000.001,,911.062,1002.911,2.000001,30.778249,20.693452,20.531633,10.246616,5.263169,0.593984,0,0
2066.668,,911.541,1001.208,2.066668,29.092539,21.188655,21.023391,8.069148,4.840228,0.467759,0,0
2133.335,,909.496,1000.585,2.133335,28.486828,19.159857,19.008706,9.478122,5.113901,0.549436,0,0
2200.001,,909.076,997.756,2.200001,25.675116,18.756058,18.607716,7.0674,4.645653,0.409689,0,0
2266.67,,910.109,996.03,2.26667,23.966403,19.805259,19.649618,4.316784,4.111385,0.250239,0,0
2333.334,,910.053,989.091,2.333334,17.044687,19.765457,19.610094,-2.565406,2.774619,-0.148714,0,0
2400.004,,910.717,990.117,2.400004,18.087972,20.445656,20.285561,-2.197589,2.846063,-0.127392,0,0
2466.665,,912.78,988.431,2.466665,16.419253,22.524851,22.350293,-5.93104,2.120894,-0.343815,0,0
2533.333,,914.291,986.106,2.533333,14.111534,24.052047,23.866865,-9.755331,1.378081,-0.565505,0,0
2600.003,,912.53,980.724,2.600003,8.746815,22.307242,22.134198,-13.387383,0.672607,-0.776051,0,0
2666.668,,911.509,978.066,2.666668,6.106093,21.302435,21.13638,-15.030287,0.353497,-0.871288,0,0
2733.337,,910.333,976.479,2.733337,4.536371,20.142628,19.984641,-15.448269,0.27231,-0.895518,0,0
2800.004,,909.565,973.065,2.800004,1.139648,19.390819,19.238062,-18.098414,-0.242442,-1.049144,0,0
2866.666,,906.743,967.251,2.866666,-4.657079,16.585008,16.451768,-21.108847,-0.827176,-1.223655,0,0
2933.335,,906.069,967.774,2.933335,-4.116804,15.927198,15.798534,-19.915338,-0.595354,-1.154469,0,0
3000.003,,908.436,968.772,3.000003,-3.101532,18.310386,18.165144,-21.266676,-0.857832,-1.232804,0,0
3066.664,,910.139,968.06,3.066664,-3.796262,20.029572,19.872371,-23.668633,-1.324377,-1.372043,0,0
3133.333,,911.034,967.581,3.133333,-4.257992,20.940758,20.777219,-25.03521,-1.589815,-1.451262,0,0
3199.999,,912.188,965.993,3.199999,-5.828723,22.110942,21.939263,-27.767987,-2.120617,-1.609678,0,0
3266.665,,913.561,963.64,3.266665,-8.164456,23.500126,23.318783,-31.483239,-2.842251,-1.825047,0,0
3333.332,,903.037,959.185,3.333332,-12.60219,12.992308,12.884059,-25.48625,-1.677423,-1.477408,0,0
3400.001,,899.566,955.62,3.400001,-16.149925,9.53749,9.453274,-25.603198,-1.700138,-1.484188,0,0
3466.668,,897.141,957.614,3.466668,-14.138661,7.12867,7.06121,-21.199871,-0.844856,-1.228932,0,0
3533.336,,900.665,962.672,3.533336,-9.063399,10.668849,10.576763,-19.640162,-0.541905,-1.138517,0,0
3600.001,,903.391,972.591,3.600001,0.872862,13.411027,13.299866,-12.427004,0.859147,-0.720379,0,0
3666.665,,903.437,983.752,3.666665,12.05112,13.473203,13.36161,-1.310489,3.018369,-0.075968,0,0
3733.334,,902.68,989.488,3.733334,17.804379,12.73238,12.625939,5.17844,4.27875,0.300188,0,0
3800.001,,902.295,989.295,3.800001,17.628637,12.363554,12.25968,5.368957,4.315755,0.311232,0,0
3866.668,,903.233,995.023,3.866668,23.373892,13.317728,13.207216,10.166677,5.247642,0.58935,0,0
3933.332,,903.653,994.892,3.933332,23.260146,13.7539,13.640354,9.619793,5.141418,0.557648,0,0
4000.0,,904.708,996.01,4.0,24.3954,14.825072,14.704074,9.691326,5.155312,0.561795,0,0
4066.67,,901.91,997.077,4.06667,25.479653,12.043243,11.941596,13.538057,5.902484,0.784785,0,0
4133.335,,905.435,1011.078,4.133335,39.497903,15.584411,15.458132,24.039771,7.94229,1.393557,0,0
4199.999,,905.833,1016.678,4.199999,45.115152,15.998579,15.869418,29.245734,8.953473,1.695341,0,0
4266.67,,905.495,1016.652,4.26667,45.106401,15.676747,15.549825,29.556576,9.01385,1.71336,0,0
4333.332,,906.278,1016.195,4.333332,44.666647,16.475912,16.343431,28.323216,8.774287,1.641864,0,0
4400.003,,905.849,1014.176,4.400003,42.664894,16.063077,15.933468,26.731426,8.465105,1.54959,0,0
4466.669,,904.686,1011.243,4.466669,39.749138,14.916241,14.794609,24.954529,8.119969,1.446585,0,0
4533.338,,905.128,1008.852,4.533338,37.375382,15.374404,15.249585,22.125796,7.570528,1.282607,0,0
4599.999,,904.879,1007.305,4.599999,35.845622,15.141564,15.018365,20.827257,7.318306,1.207332,0,0
4666.669,,905.727,1003.479,4.666669,32.036863,16.005725,15.876515,16.160348,6.411826,0.936797,0,0
4733.335,,904.114,999.727,4.733335,28.302103,14.408884,14.290782,14.011321,5.994409,0.81222,0,0
4799.999,,901.981,995.459,4.799999,24.05134,12.292042,12.188664,11.862675,5.577066,0.687665,0,0
4866.67,,902.532,987.189,4.86667,15.798578,12.8592,12.751877,3.0467,3.86469,0.176614,0,0
4933.334,,899.931,989.157,4.933334,17.783813,10.274355,10.185013,7.598799,4.748869,0.440494,0,0
5000.003,,901.72,982.551,5.000003,11.195047,12.079511,11.977612,-0.782564,3.120911,-0.045364,0,0
5066.665,,898.635,984.087,5.066665,12.748279,9.010663,8.930112,3.818167,4.014536,0.221335,0,0
5133.336,,901.636,982.893,5.133336,11.571512,12.027817,11.926278,-0.354766,3.204004,-0.020565,0,0
5200.002,,903.632,980.695,5.200002,9.390742,14.039969,13.924432,-4.53369,2.392309,-0.262813,0,0
5266.667,,903.736,977.991,5.266667,6.703971,14.160119,14.043747,-7.339776,1.847267,-0.425478,0,0
5333.338,,901.093,978.694,5.333338,7.4242,11.533269,11.43517,-4.01097,2.49384,-0.232511,0,0
5400.002,,902.96,980.433,5.400002,9.180426,13.416417,13.305218,-4.124792,2.471731,-0.239109,0,0
5466.671,,906.999,981.002,5.466671,9.766652,17.471564,17.332157,-7.565506,1.803423,-0.438564,0,0
5533.333,,908.609,978.779,5.533333,7.560875,19.097709,18.946991,-11.386116,1.061324,-0.66004,0,0
5600.003,,908.668,978.418,5.600003,7.217098,19.172855,19.021614,-11.804515,0.980056,-0.684294,0,0
5666.669,,906.986,976.912,5.666669,5.72832,17.506999,17.367345,-11.639026,1.0122,-0.674701,0,0
5733.337,,906.47,973.532,5.733337,2.36554,17.007142,16.870966,-14.505425,0.455444,-0.840863,0,0
5799.998,,904.467,971.388,5.799998,0.238758,15.020282,14.897927,-14.659169,0.425581,-0.849775,0,0
5866.671,,906.26,970.249,5.866671,-0.883023,16.829424,16.694484,-17.577507,-0.141264,-1.018948,0,0
5933.336,,905.511,967.656,5.933336,-3.458807,16.096563,15.966721,-19.425528,-0.500215,-1.126075,0,0
6000.001,,905.221,966.169,6.000001,-4.928592,15.822701,15.694764,-20.623356,-0.732876,-1.195512,0,0
6066.665,,905.853,966.517,6.066665,-4.563379,16.470838,16.338392,-20.901771,-0.786954,-1.211651,0,0
6133.335,,903.11,963.691,6.133335,-7.372165,13.743975,13.630498,-21.002663,-0.806551,-1.2175,0,0
6200.0,,898.061,971.466,6.2,0.420046,8.71111,8.632642,-8.212596,1.677735,-0.476075,0,0
6266.669,,902.433,970.588,6.266669,-0.440743,13.099244,12.990252,-13.430995,0.664136,-0.778579,0,0
6333.335,,897.932,977.662,6.333335,6.650465,8.614377,8.536582,-1.886116,2.906562,-0.109336,0,0
6400.003,,897.879,983.797,6.400003,12.802673,8.577509,8.49997,4.302703,4.10865,0.249423,0,0
6466.667,,897.18,997.884,6.466667,26.906879,7.894639,7.821851,19.085028,6.979903,1.106337,0,0
6533.333,,895.374,999.758,6.533333,28.798084,6.104769,6.044431,22.753653,7.69248,1.319003,0,0
6600.001,,896.097,999.876,6.600001,28.933288,6.843897,6.778418,22.15487,7.576175,1.284292,0,0
6666.666,,894.14,999.361,6.666666,28.43549,4.903024,4.851046,23.584444,7.853849,1.367163,0,0
6733.335,,895.439,998.616,6.733335,27.707692,6.218151,6.157025,21.550667,7.458818,1.249267,0,0
6799.999,,897.33,999.606,6.799999,28.714891,8.125276,8.050883,20.664008,7.286597,1.197868,0,0
6866.666,,899.209,998.613,6.866666,27.73909,10.0204,9.932824,17.806266,6.731522,1.032208,0,0
6933.336,,898.404,998.978,6.933336,28.121289,9.231524,9.149436,18.971853,6.95792,1.099776,0,0
7000.002,,898.814,1000.966,7.000002,30.126485,9.657646,9.572593,20.553891,7.265208,1.191485,0,0
7066.665,,900.264,1006.833,7.066665,36.010679,11.123765,11.028515,24.982164,8.125336,1.448187,0,0
7133.334,,903.389,1009.341,7.133334,38.535873,14.264886,14.147785,24.388088,8.009946,1.413749,0,0
7200.001,,902.515,1011.301,7.200001,40.513065,13.407004,13.295871,27.217194,8.559459,1.577749,0,0
7266.669,,902.068,1010.982,7.266669,40.211257,12.976122,12.867986,27.343271,8.583947,1.585057,0,0
7333.331,,896.755,1012.143,7.333331,41.389446,7.679238,7.607948,33.781498,9.83448,1.958274,0,0
7400.002,,900.805,1010.95,7.400002,40.213635,11.745354,11.645779,28.567856,8.821805,1.656045,0,0
7466.669,,899.73,1010.624,7.466669,39.904823,10.686468,10.594259,29.310563,8.966065,1.699099,0,0
7533.335,,900.773,1007.142,7.533335,36.440009,11.745581,11.646005,24.794004,8.088789,1.437279,0,0
7600.002,,902.352,1010.252,7.600002,39.567194,13.340693,13.230021,26.337172,8.388527,1.526735,0,0
