TimeStamp,Events,UV,Fluorescence,ToneStart,PelletGrab,TimeStampAdjusted,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z
0.0,,1065.236,1253.349,0,0,0.0,160.472729,71.434874,2.503967,157.968762,20.593719,3.316307
66.673,,1067.908,1233.186,0,0,0.066673,140.336774,74.110109,2.597791,137.738982,18.52623,2.891614
133.333,,1071.508,1231.585,0,0,0.133333,138.762799,77.713342,2.724162,136.038636,18.352455,2.855918
200.005,,1055.705,1205.743,0,0,0.200005,112.947814,61.913577,2.17004,110.777774,15.770788,2.325606
266.674,,1047.78,1185.203,0,0,0.266674,92.434814,53.991811,1.892212,90.542602,13.702749,1.9008
333.337,,1030.165,1169.915,0,0,0.333337,77.173797,36.380045,1.27454,75.899257,12.206196,1.593386
400.004,,1034.07,1155.327,0,0,0.400004,62.612767,40.288279,1.411608,61.201159,10.704047,1.284822
466.671,,1027.659,1145.222,0,0,0.466671,52.534722,33.880513,1.186877,51.347845,9.697036,1.077968
533.34,,1023.312,1131.039,0,0,0.53334,38.378664,29.536747,1.034535,37.34413,8.265852,0.783982
600.001,,1005.023,1133.982,0,0,0.600001,41.348589,11.250981,0.393225,40.955364,8.634921,0.859794
666.671,,1022.043,1150.291,0,0,0.666671,57.684502,28.274215,0.990256,56.694246,10.243439,1.190207
733.338,,1019.403,1169.937,0,0,0.733338,77.3574,25.637449,0.897781,76.45962,12.263465,1.60515
800.004,,1022.053,1176.87,0,0,0.800004,84.317284,28.290683,0.990834,83.32645,12.965257,1.749308
866.667,,1012.445,1192.589,0,0,0.866667,100.063151,18.685917,0.65398,99.409172,14.608915,2.08694
933.339,,1015.611,1192.459,0,0,0.933339,99.960008,21.855151,0.76513,99.194878,14.587014,2.082441
1000.007,,1011.959,1177.521,0,0,1.000007,85.048849,18.206385,0.637162,84.411687,13.076168,1.772091
1066.667,,1004.369,1170.857,0,0,1.066667,78.411672,10.619619,0.371082,78.04059,12.42504,1.63834
1133.337,,1006.381,1175.933,0,0,1.133337,83.514485,12.634853,0.44176,83.072726,12.939326,1.743982
1200.002,,1001.192,1179.641,0,0,1.200002,87.249282,7.449087,0.259887,86.989395,13.33961,1.826206
1266.671,,996.757,1185.034,0,0,1.266671,92.669066,3.017321,0.104458,92.564608,13.909399,1.943249
1333.336,,1003.584,1208.661,0,0,1.333336,116.322834,9.847555,0.344005,115.978829,16.302338,2.434794
1400.004,,995.983,1243.068,0,0,1.400004,150.756589,2.249789,0.077539,150.679049,19.848708,3.163271
1466.673,,998.552,1261.028,0,0,1.466673,168.74333,4.822023,0.167752,168.575578,21.677738,3.53898
1533.338,,997.041,1251.962,0,0,1.533338,159.704055,3.314256,0.114872,159.589183,20.759326,3.350325
1600.002,,994.175,1237.921,0,0,1.600002,145.689765,0.45149,0.01447,145.675295,19.337323,3.058225
1666.674,,996.966,1232.876,0,0,1.666674,140.671464,3.245724,0.112468,140.558996,18.814436,2.950816
1733.335,,988.491,1235.17,0,0,1.733335,142.992145,-5.226042,-0.18465,143.176795,19.081976,3.005773
1800.004,,989.939,1252.72,0,0,1.800004,160.568815,-3.774808,-0.133753,160.702567,20.873114,3.373699
1866.67,,988.303,1235.593,0,0,1.86667,143.468469,-5.407574,-0.191016,143.659485,19.131307,3.015906
1933.335,,993.667,1214.196,0,0,1.933335,122.098108,-0.040341,-0.002779,122.100887,16.928013,2.563317
2000.004,,994.904,1183.596,0,0,2.000004,91.524735,1.199893,0.040718,91.484017,13.798962,1.920564
2066.67,,989.91,1161.844,0,0,2.06667,69.799347,-3.790873,-0.134316,69.933663,11.596511,1.468148
2133.34,,985.577,1140.279,0,0,2.13334,48.260946,-8.120639,-0.286168,48.547113,9.4108,1.019171
2200.002,,989.008,1126.729,0,0,2.200002,34.737527,-4.686405,-0.165724,34.903251,8.016394,0.732739
2266.672,,993.187,1134.451,0,0,2.266672,42.486097,-0.504172,-0.019046,42.505144,8.793309,0.892329
2333.337,,989.692,1134.721,0,0,2.333337,42.782652,-3.995938,-0.141508,42.92416,8.836133,0.901126
2400.0,,989.232,1119.219,0,0,2.4,27.307191,-4.452704,-0.157527,27.464718,7.256174,0.576579
2466.668,,993.107,1095.725,0,0,2.466668,3.839718,-0.574471,-0.021512,3.86123,4.843892,0.08106
2533.334,,982.922,1087.411,0,0,2.533334,-4.44777,-10.756237,-0.378602,-4.069168,4.033404,-0.085426
2600.0,,994.316,1068.586,0,0,2.6,-23.246272,0.640997,0.021117,-23.267388,2.071341,-0.488462
2666.67,,989.619,1044.07,0,0,2.66667,-47.735786,-4.052769,-0.143501,-47.592285,-0.414669,-0.999126
2733.335,,984.345,1042.646,0,0,2.733335,-49.133317,-9.323536,-0.328355,-48.804962,-0.538605,-1.024584
2800.007,,986.633,1036.032,0,0,2.800007,-55.720859,-7.032302,-0.247998,-55.472861,-1.220066,-1.164566
2866.672,,986.264,1025.488,0,0,2.866672,-66.238418,-7.398068,-0.260826,-65.977592,-2.293652,-1.385096
2933.336,,994.632,1021.068,0,0,2.933336,-70.631992,0.973165,0.032766,-70.664758,-2.772682,-1.483496
3000.0,,991.871,1025.851,0,0,3.0,-65.822579,-1.784601,-0.063953,-65.758626,-2.271274,-1.380499
3066.669,,996.085,1020.151,0,0,3.066669,-71.496179,2.432633,0.083952,-71.580131,-2.866233,-1.502713
3133.334,,994.876,1023.087,0,0,3.133334,-68.533794,1.226866,0.041664,-68.575458,-2.559155,-1.439634
3200.003,,984.764,1026.625,0,0,3.200003,-64.969422,-8.8819,-0.312866,-64.656556,-2.158642,-1.357363
3266.672,,988.799,1030.682,0,0,3.266672,-60.886064,-4.843666,-0.171239,-60.714825,-1.755796,-1.274613
3333.339,,985.486,1034.63,0,0,3.333339,-56.911721,-8.153433,-0.287318,-56.624403,-1.337754,-1.188741
3400.001,,985.544,1035.065,0,0,3.400001,-56.450394,-8.092199,-0.28517,-56.165223,-1.290826,-1.179101
3466.672,,984.919,1043.585,0,0,3.466672,-47.904077,-8.713966,-0.306976,-47.5971,-0.415161,-0.999227
3533.339,,989.563,1036.712,0,0,3.533339,-54.750776,-4.066732,-0.143991,-54.606785,-1.131553,-1.146384
3600.001,,992.725,1038.158,0,0,3.600001,-53.278491,-0.901499,-0.032981,-53.24551,-0.99243,-1.117806
3666.669,,984.289,1055.071,0,0,3.666669,-36.339217,-9.334265,-0.328731,-36.010486,0.768993,-0.755984
3733.336,,995.833,1092.852,0,0,3.733336,1.468042,2.212968,0.076248,1.391794,4.591515,0.029219
3800.001,,997.943,1100.908,0,0,3.800001,9.550286,4.326202,0.150362,9.399924,5.409948,0.197337
3866.67,,1000.778,1100.462,0,0,3.86667,9.130518,7.164436,0.249904,8.880614,5.356874,0.186435
3933.334,,992.192,1143.269,0,0,3.933334,51.963734,-1.418331,-0.051107,52.014841,9.765203,1.09197
4000.006,,1008.36,1168.973,0,0,4.000006,77.693939,14.752903,0.516043,77.177896,12.336873,1.620229
4066.673,,1019.434,1171.362,0,0,4.066673,80.109128,25.830136,0.904538,79.204589,12.544001,1.662776
4133.336,,1016.603,1150.732,0,0,4.133336,59.505301,23.002369,0.805364,58.699937,10.448421,1.232313
4200.006,,1007.629,1129.623,0,0,4.200006,38.422464,14.031603,0.490746,37.931718,8.325904,0.796317
4266.672,,997.853,1106.392,0,0,4.266672,15.217611,4.258836,0.148,15.069611,5.989391,0.316363
4333.334,,1005.269,1105.665,0,0,4.333334,14.516742,11.67807,0.408204,14.108538,5.89117,0.296187
4400.006,,999.93,1090.062,0,0,4.400006,-1.060137,6.342303,0.22107,-1.281207,4.318334,-0.026897
4466.673,,988.319,1085.578,0,0,4.466673,-5.518031,-5.265463,-0.186032,-5.331999,3.904342,-0.111937
4533.334,,986.481,1079.289,0,0,4.533334,-11.780942,-7.10023,-0.25038,-11.530562,3.270847,-0.242066
4600.005,,992.539,1081.575,0,0,4.600005,-9.468863,-1.038996,-0.037803,-9.431059,3.485417,-0.19799
4666.669,,993.944,1083.385,0,0,4.666669,-7.6328,0.369237,0.011585,-7.644386,3.668016,-0.160482
4733.339,,991.08,1073.759,0,0,4.733339,-17.232749,-2.49153,-0.088746,-17.144003,2.697152,-0.359911
4800.0,,995.037,1063.231,0,0,4.8,-27.734715,1.468703,0.050145,-27.784861,1.609654,-0.5833
4866.667,,994.047,1057.492,0,0,4.866667,-33.447693,0.481937,0.015538,-33.463231,1.029323,-0.702508
4933.335,,984.543,1063.538,0,0,4.933335,-27.375685,-9.01883,-0.317668,-27.058016,1.683938,-0.568041
5000.006,,980.157,1073.663,0,0,5.000006,-17.224689,-13.401596,-0.471379,-16.75331,2.737081,-0.35171
5066.672,,999.723,1093.992,0,0,5.066672,3.130292,6.167637,0.214944,2.915347,4.747223,0.061203
5133.34,,1001.198,1099.369,0,0,5.13334,8.533259,7.64587,0.266788,8.266471,5.294109,0.173542
5200.001,,998.728,1114.255,0,0,5.200001,23.445209,5.179103,0.180275,23.264934,6.826955,0.488411
5266.673,,1007.263,1128.688,0,0,5.266673,37.90415,13.717337,0.479724,37.424427,8.274059,0.785667
5333.339,,1005.886,1125.54,0,0,5.333339,34.782075,12.34357,0.431544,34.350532,7.959906,0.721136
5400.003,,998.619,1115.011,0,0,5.400003,24.278986,5.079803,0.176792,24.102193,6.912523,0.505988
5466.669,,994.366,1104.774,0,0,5.466669,14.067883,0.830037,0.027746,14.040137,5.884179,0.294751
5533.34,,993.547,1095.579,0,0,5.53334,4.898768,0.01427,-0.000864,4.899632,4.950017,0.10286
5600.005,,992.156,1090.823,0,0,5.600005,0.168638,-1.373497,-0.049535,0.218173,4.471571,0.00458
5666.668,,991.803,1096.122,0,0,5.666668,5.493493,-1.723264,-0.061802,5.555294,5.017026,0.116625
5733.338,,995.115,1130.962,0,0,5.733338,40.359336,1.59197,0.054469,40.304868,8.568441,0.846138
5800.0,,994.967,1146.13,0,0,5.8,55.553163,1.447203,0.049391,55.503772,10.121772,1.165215
5866.672,,995.653,1143.363,0,0,5.866672,52.81198,2.136436,0.073564,52.738417,9.839152,1.10716
5933.334,,995.563,1133.777,0,0,5.933334,43.25178,2.049669,0.070521,43.181259,8.862409,0.906523
6000.005,,998.201,1115.721,0,0,6.000005,25.221569,4.690902,0.163153,25.058416,7.01025,0.526062
6066.674,,997.212,1099.477,0,0,6.066674,9.003344,3.705136,0.128581,8.874763,5.356276,0.186312
