TimeStamp,Events,UV,Fluorescence,ToneStart,PelletGrab,TimeStampAdjusted,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,Speed_px,DistFromFED,ToneStart_Bonsai,PelletGrab_Bonsai,Completed_Tone,Completed_PelletGrab,DistFromFED_orig,Xpos_cm,Ypos_cm
0.0,,618.84,749.862,0,0,0.0,39.729391,29.642902,9.439762,30.289629,6.996201,1.049062,198.716046,309.878817,5.752702,189.524576,4.099809,0,0,0,0,9.778085,-0.466266,4.073209
66.665,,618.088,742.484,0,0,0.066665,32.368348,28.896054,9.202016,23.166332,6.177162,0.802351,199.86142,306.729393,2.614715,86.142626,4.138832,0,0,0,0,9.676435,-0.443034,4.115052
133.334,,613.288,744.296,0,0,0.133334,34.197302,24.101206,7.675661,26.521641,6.562957,0.91856,202.732055,302.053951,4.083843,134.543487,4.192906,0,0,0,0,9.511941,-0.392041,4.174538
199.998,,613.744,747.824,0,0,0.199998,37.742251,24.562357,7.82246,29.919791,6.953677,1.036252,207.520265,288.399784,7.003258,230.724531,4.36624,0,0,0,0,9.073459,-0.293825,4.356342
266.668,,609.324,744.237,0,0,0.266668,34.172198,20.147507,6.417071,27.755127,6.704783,0.961281,207.80194,270.883508,9.609126,316.575675,4.609553,0,0,0,0,8.581895,-0.250485,4.602742
333.336,,606.967,743.564,0,0,0.333336,33.516142,17.795657,5.668401,27.847741,6.715432,0.964488,202.549383,261.527122,3.921424,129.192537,4.756196,0,0,0,0,8.391266,-0.303533,4.746501
400.001,,603.468,741.488,0,0,0.400001,31.45708,14.301805,4.556195,26.900885,6.606562,0.931695,196.852014,258.45802,3.466431,114.202672,4.817363,0,0,0,0,8.38498,-0.376986,4.80259
466.669,,607.639,736.612,0,0,0.466669,26.598016,18.477953,5.885598,20.712418,5.89501,0.717361,192.414562,248.324437,6.156199,202.817921,4.972974,0,0,0,0,8.176673,-0.416792,4.955478
533.331,,603.694,733.462,0,0,0.533331,23.464947,14.538099,4.631415,18.833531,5.678975,0.652287,189.823324,231.142818,8.164301,268.975484,5.220115,0,0,0,0,7.76497,-0.414721,5.203615
600.003,,606.77,731.174,0,0,0.600003,21.193876,17.619245,5.612244,15.581633,5.305071,0.53966,192.207857,222.394657,3.697022,121.799551,5.333891,0,0,0,0,7.500705,-0.36143,5.321632
