TimeStamp,Events,UV,Fluorescence,ToneStart,PelletGrab,TimeStampAdjusted,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,Speed_px,DistFromFED,ToneStart_Bonsai,PelletGrab_Bonsai,Completed_Tone,Completed_PelletGrab,DistFromFED_orig,Xpos_cm,Ypos_cm
0.0,,805.403,877.635,0,0,0.0,74.411819,78.383028,73.519964,0.891856,3.695754,0.019562,,,,,,0,0,0,0,,,
66.665,,796.637,870.891,0,0,0.066665,67.674988,69.622944,65.303381,2.371607,3.832343,0.05202,,,,,,0,0,0,0,,,
133.337,,787.081,872.894,0,0,0.133337,69.685158,60.072861,56.345812,13.339346,4.844718,0.29259,,,,,,0,0,0,0,,,
200.001,,787.776,866.115,0,0,0.200001,62.913326,60.773777,57.003241,5.910085,4.158961,0.129634,,,,,,0,0,0,0,,,
266.665,,776.833,861.617,0,0,0.266665,58.422494,49.836693,46.744725,11.677769,4.691346,0.256145,,,,,,0,0,0,0,,,
333.333,,770.072,860.025,0,0,0.333333,56.837663,43.081608,40.408746,16.428917,5.1299,0.360358,,,,,,0,0,0,0,,,
400.004,,774.983,852.562,0,0,0.400004,49.381831,47.998524,45.020602,4.361229,4.015994,0.095661,,,,,,0,0,0,0,,,
466.666,,767.506,849.033,0,0,0.466666,45.859998,40.527439,38.013045,7.846953,4.337743,0.172118,,,,,,0,0,0,0,,,
533.335,,761.739,839.603,0,0,0.533335,36.437165,34.766354,32.609394,3.827771,3.966754,0.08396,,,,,,0,0,0,0,,,
600.001,,759.844,838.303,0,0,0.600001,35.144332,32.877269,30.837513,4.306818,4.010972,0.094467,,,,,,0,0,0,0,,,
666.667,,753.799,828.004,0,0,0.666667,24.852498,26.838184,25.17311,-0.320612,3.583838,-0.007032,,,,,,0,0,0,0,,,
733.331,,762.113,838.436,0,0,0.733331,35.291664,35.158098,32.976833,2.314831,3.827102,0.050774,,,,,,0,0,0,0,,,
800.003,,762.058,839.584,0,0,0.800003,36.44683,35.109013,32.930793,3.516037,3.937979,0.077122,,,,,,0,0,0,0,,,
866.666,,760.481,847.244,0,0,0.866666,44.113995,33.537926,31.457182,12.656813,4.781717,0.277619,,,,,,0,0,0,0,,,
933.335,,761.63,849.926,0,0,0.933335,46.803161,34.692841,32.540442,14.262719,4.929949,0.312844,,,,,,0,0,0,0,,,
1000.003,,757.812,852.131,0,0,1.000003,49.015325,30.880754,28.964868,20.050457,5.464186,0.439795,,,,,,0,0,0,0,,,
1066.665,,754.644,849.833,0,0,1.066665,46.724489,27.718667,25.998966,20.725523,5.526497,0.454602,,,,,,0,0,0,0,,,
1133.337,,757.453,848.132,0,0,1.133337,45.030654,30.533581,28.639235,16.391419,5.126439,0.359536,,,,,,0,0,0,0,,,
1200.002,,757.436,835.788,0,0,1.200002,32.693818,30.522494,28.628836,4.064982,3.988649,0.089163,,,,,,0,0,0,0,,,
1266.67,,739.848,831.427,0,0,1.26667,28.339981,12.940407,12.137592,16.202389,5.10899,0.35539,,,,,,0,0,0,0,,,
