TimeStamp,Events,UV,Fluorescence,ToneStart,PelletGrab,TimeStampAdjusted,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,Speed_px,DistFromFED,ToneStart_Bonsai,PelletGrab_Bonsai,Completed_Tone,Completed_PelletGrab,DistFromFED_orig,Xpos_cm,Ypos_cm
0.0,,577.427,551.638,0,0,0.0,11.95069,33.051368,1.824164,10.126526,6.750052,0.79796,,,,,,0,0,0,0,,,
66.669,,575.165,546.626,0,0,0.066669,6.970507,30.836263,1.701908,5.268599,5.339398,0.41516,,,,,,0,0,0,0,,,
133.332,,569.864,545.697,0,0,0.133332,6.073307,25.58213,1.411923,4.661384,5.163073,0.367312,,,,,,0,0,0,0,,,
200.002,,570.521,548.099,0,0,0.200002,8.507096,26.285976,1.45077,7.056326,5.858521,0.556031,,,,,,0,0,0,0,,,
266.668,,571.478,551.392,0,0,0.266668,11.831869,27.289795,1.506173,10.325697,6.807887,0.813654,,,,,,0,0,0,0,,,
333.335,,568.129,558.278,0,0,0.333335,18.749629,23.987589,1.323918,17.425711,8.869603,1.373128,,,,,,0,0,0,0,,,
400.0,,569.637,565.242,0,0,0.4,25.745373,25.542358,1.409728,24.335644,10.876123,1.917623,,,,,,0,0,0,0,,,
466.669,,569.602,573.168,0,0,0.466669,33.703105,25.554104,1.410377,32.292728,13.186716,2.544633,,,,,,0,0,0,0,,,
533.336,,568.511,573.996,0,0,0.533336,34.562821,24.509825,1.352741,33.21008,13.453099,2.61692,,,,,,0,0,0,0,,,
600.003,,565.598,570.6,0,0,0.600003,31.198524,21.64352,1.194545,30.00398,12.522105,2.364282,,,,,,0,0,0,0,,,
666.665,,564.2,572.292,0,0,0.666665,32.92221,20.292187,1.119962,31.802248,13.04429,2.505984,,,,,,0,0,0,0,,,
733.331,,564.669,572.178,0,0,0.733331,32.839884,20.807832,1.148421,31.691463,13.012119,2.497254,,,,,,0,0,0,0,,,
800.0,,563.721,569.82,0,0,0.8,30.513545,19.906455,1.098673,29.414872,12.351039,2.317861,,,,,,0,0,0,0,,,
866.664,,564.06,568.108,0,0,0.866664,28.83319,20.292049,1.119954,27.713236,11.856914,2.183774,,,,,,0,0,0,0,,,
933.335,,564.895,566.966,0,0,0.933335,27.722824,21.173624,1.16861,26.554214,11.520355,2.092444,,,,,,0,0,0,0,,,
1000.003,,563.502,567.303,0,0,1.000003,28.091442,19.827172,1.094297,26.997145,11.648975,2.127347,,,,,,0,0,0,0,,,
1066.667,,561.833,572.598,0,0,1.066667,33.418045,18.204692,1.004749,32.413295,13.221727,2.554134,,,,,,0,0,0,0,,,
1133.33,,561.551,576.149,0,0,1.13333,37.000632,17.969187,0.991752,36.008881,14.26582,2.837462,,,,,,0,0,0,0,,,
1200.0,,561.729,575.132,0,0,1.2,36.015209,18.193662,1.004141,35.011069,13.976073,2.758836,,,,,,0,0,0,0,,,
1266.668,,562.542,571.906,0,0,1.266668,32.820771,19.053112,1.051575,31.769196,13.034692,2.503379,,,,,,0,0,0,0,,,
1333.333,,561.727,567.448,0,0,1.333333,28.394318,18.284534,1.009156,27.385162,11.761648,2.157922,,,,,,0,0,0,0,,,
1399.999,,561.694,561.764,0,0,1.399999,22.741851,18.297933,1.009896,21.731955,10.120059,1.712455,,,,,,0,0,0,0,,,
1466.668,,560.926,555.512,0,0,1.466668,16.521371,17.576309,0.970068,15.551303,8.325309,1.225426,,,,,,0,0,0,0,,,
1533.336,,559.6,550.001,0,0,1.533336,11.041877,16.296659,0.899442,10.142435,6.754672,0.799213,,,,,,0,0,0,0,,,
1600.002,,559.871,546.65,0,0,1.600002,7.722368,16.613984,0.916955,6.805412,5.78566,0.536259,,,,,,0,0,0,0,,,
1666.666,,559.7,542.3,0,0,1.666666,3.403843,16.489283,0.910073,2.49377,4.533638,0.196506,,,,,,0,0,0,0,,,
1733.335,,559.161,539.405,0,0,1.733335,0.540307,15.996561,0.882879,-0.342571,3.710015,-0.026994,,,,,,0,0,0,0,,,
