TimeStamp,Events,UV,Fluorescence,TimeStampAdjusted,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,ToneStart,PelletGrab,Xpos,Ypos,Speed_cm,Speed_px,DistFromFED,ToneStart_Bonsai,PelletGrab_Bonsai,Completed_Tone,Completed_PelletGrab,DistFromFED_orig,Xpos_cm,Ypos_cm
0.0,,768.962,876.062,0.0,92.869219,66.0727,16.624728,76.244491,15.259464,2.215798,0,0,,,,,,0,0,0,0,,,
66.666,,764.409,873.416,0.066666,90.295929,61.529004,15.481469,74.81446,15.050982,2.174239,0,0,,,,,,0,0,0,0,,,
133.333,,760.073,879.768,0.133333,96.720547,57.202307,14.39281,82.327737,16.146333,2.392588,0,0,,,,,,0,0,0,0,,,
199.997,,756.311,870.039,0.199997,87.064069,53.449608,13.448578,73.615491,14.876186,2.139395,0,0,,,,,,0,0,0,0,,,
266.664,,752.57,864.385,0.266664,81.482501,49.71791,12.509629,68.972872,14.199344,2.004472,0,0,,,,,,0,0,0,0,,,
333.331,,749.632,859.234,0.333331,76.40384,46.78921,11.772726,64.631114,13.566365,1.878293,0,0,,,,,,0,0,0,0,,,
399.995,,746.692,859.077,0.399995,76.319084,43.85851,11.03532,65.283763,13.661514,1.89726,0,0,,,,,,0,0,0,0,,,
466.666,,743.681,858.734,0.466666,76.048242,40.85681,10.28005,65.768192,13.732138,1.911339,0,0,,,,,,0,0,0,0,,,
533.329,,740.636,851.895,0.533329,69.281299,37.821108,9.516224,59.765075,12.856951,1.736878,0,0,,,,,,0,0,0,0,,,
599.997,,738.739,846.883,0.599997,64.34127,35.933406,9.041251,55.300019,12.205996,1.607115,0,0,,,,,,0,0,0,0,,,
666.661,,732.397,842.388,0.666661,59.918144,29.600702,7.447853,52.470291,11.793454,1.524878,0,0,,,,,,0,0,0,0,,,
733.334,,726.641,830.987,0.733334,48.588935,23.853999,6.0019,42.587035,10.352587,1.237654,0,0,,,,,,0,0,0,0,,,
799.994,,725.844,819.593,0.799994,37.266621,23.066294,5.803702,31.462918,8.730816,0.914367,0,0,,,,,,0,0,0,0,,,
866.667,,726.964,811.204,0.866667,28.949228,24.19559,6.087849,22.861379,7.476809,0.664392,0,0,,,,,,0,0,0,0,,,
933.329,,729.181,803.507,0.933329,21.323733,26.421883,6.648016,14.675716,6.283431,0.426502,0,0,,,,,,0,0,0,0,,,
999.997,,730.388,794.695,0.999997,12.583152,27.638177,6.954053,5.629099,4.964536,0.163591,0,0,,,,,,0,0,0,0,,,
1066.663,,726.732,787.85,1.066663,5.809477,23.99147,6.03649,-0.227012,4.110781,-0.006597,0,0,,,,,,0,0,0,0,,,
1133.328,,721.798,780.838,1.133328,-1.13129,19.066761,4.797363,-5.928652,3.279547,-0.172297,0,0,,,,,,0,0,0,0,,,
1199.995,,724.876,782.479,1.199995,0.580855,22.154053,5.574169,-4.993315,3.415908,-0.145114,0,0,,,,,,0,0,0,0,,,
1266.663,,722.022,780.29,1.266663,-1.537091,19.309344,4.8584,-6.395491,3.211487,-0.185864,0,0,,,,,,0,0,0,0,,,
1333.328,,720.14,777.782,1.333328,-3.974131,17.436633,4.387199,-8.361331,2.92489,-0.242995,0,0,,,,,,0,0,0,0,,,
1399.999,,722.518,773.095,1.399999,-8.590256,19.823923,4.987875,-13.578131,2.164339,-0.394604,0,0,,,,,,0,0,0,0,,,
1466.665,,724.072,767.618,1.466665,-13.996476,21.387211,5.381221,-19.377698,1.318828,-0.56315,0,0,,,,,,0,0,0,0,,,
1533.334,,723.972,766.951,1.533334,-14.592784,21.296499,5.358397,-19.951181,1.23522,-0.579816,0,0,,,,,,0,0,0,0,,,
1599.998,,727.856,764.649,1.599998,-16.824188,25.189786,6.338003,-23.162191,0.767091,-0.673134,0,0,,,,,,0,0,0,0,,,
1666.661,,727.403,765.635,1.666661,-15.767683,24.746072,6.226358,-21.994041,0.937394,-0.639185,0,0,,,,,,0,0,0,0,,,
