TimeStamp,Events,UV,Fluorescence,ToneStart,PelletGrab,TimeStampAdjusted,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,Speed_px,DistFromFED,ToneStart_Bonsai,PelletGrab_Bonsai,Completed_Tone,Completed_PelletGrab,DistFromFED_orig,Xpos_cm,Ypos_cm
0.0,,780.607,848.906,0,0,0.0,50.628807,32.914598,13.523263,37.105544,6.624794,0.790899,,,,,,0,0,0,0,,,
66.671,,778.554,836.636,0,0,0.066671,38.363555,30.865321,12.681298,25.682257,5.700512,0.547414,,,,,,0,0,0,0,,,
133.336,,779.061,828.144,0,0,0.133336,29.876303,31.376043,12.891133,16.98517,4.996813,0.362036,,,,,,0,0,0,0,,,
199.998,,774.437,817.475,0,0,0.199998,19.212051,26.755765,10.992849,8.219202,4.287541,0.175191,,,,,,0,0,0,0,,,
266.67,,768.558,812.344,0,0,0.26667,14.0858,20.880487,8.578937,5.506862,4.06808,0.117378,,,,,,0,0,0,0,,,
333.335,,759.921,802.241,0,0,0.333335,3.987547,12.247209,5.031876,-1.044328,3.53801,-0.02226,,,,,,0,0,0,0,,,
400.0,,760.736,811.374,0,0,0.4,13.125295,13.065931,5.368255,7.75704,4.250147,0.16534,,,,,,0,0,0,0,,,
466.667,,760.303,834.406,0,0,0.466667,36.162043,12.636653,5.191882,30.970161,6.128368,0.660125,,,,,,0,0,0,0,,,
533.333,,757.619,828.262,0,0,0.533333,30.022791,9.956375,4.090665,25.932125,5.72073,0.55274,,,,,,0,0,0,0,,,
599.998,,764.368,810.744,0,0,0.599998,12.509538,16.709096,6.865083,5.644455,4.079213,0.120311,,,,,,0,0,0,0,,,
666.668,,764.77,822.371,0,0,0.666668,24.141286,17.114818,7.031778,17.109508,5.006874,0.364687,,,,,,0,0,0,0,,,
733.337,,769.946,831.202,0,0,0.733337,32.977033,22.29454,9.159914,23.817119,5.5496,0.507658,,,,,,0,0,0,0,,,
799.999,,784.822,833.047,0,0,0.799999,34.82678,37.174261,15.273385,19.553396,5.204614,0.416778,,,,,,0,0,0,0,,,
866.67,,790.329,818.643,0,0,0.86667,20.427528,42.684983,17.537515,2.890013,3.856345,0.0616,,,,,,0,0,0,0,,,
933.336,,792.026,816.305,0,0,0.933336,18.094275,44.385704,18.236272,-0.141997,3.611019,-0.003027,,,,,,0,0,0,0,,,
1000.001,,793.626,807.458,0,0,1.000001,9.252022,45.989426,18.895176,-9.643154,2.842261,-0.205542,,,,,,0,0,0,0,,,
1066.665,,792.373,816.112,0,0,1.066665,17.910769,44.740147,18.381898,-0.47113,3.584389,-0.010042,,,,,,0,0,0,0,,,
1133.337,,791.847,798.124,0,0,1.133337,-0.072484,44.217869,18.167315,-18.239799,2.146689,-0.388779,,,,,,0,0,0,0,,,
1200.0,,776.037,772.315,0,0,1.2,-25.876737,28.41159,11.67316,-37.549898,0.58427,-0.800371,,,,,,0,0,0,0,,,
1266.667,,773.55,782.588,0,0,1.266667,-15.598991,25.928311,10.652882,-26.251873,1.498416,-0.559555,,,,,,0,0,0,0,,,
