TimeStamp,Lights,Channel1
0.000,410,1441.051
33.330,470,1660.301
66.667,410,1441.687
100.000,470,1648.590
133.335,410,1427.236
166.664,470,1615.621
199.999,410,1414.985
233.331,470,1606.151
266.667,410,1409.564
299.999,470,1594.174
333.335,410,1402.698
366.663,470,1587.785
400.001,410,1397.141
433.334,470,1571.436
466.669,410,1385.416
499.996,470,1547.684
533.331,410,1373.174
566.666,470,1538.258
599.999,410,1408.398
633.332,470,1536.427
666.669,410,1408.642
699.997,470,1522.800
733.336,410,1400.754
766.665,470,1515.190
800.001,410,1404.972
833.334,470,1520.740
866.666,410,1391.325
900.001,470,1531.578
933.332,410,1386.740
966.668,470,1532.727
1000.001,410,1383.568
1033.330,470,1560.395
1066.664,410,1379.377
1100.002,470,1574.110
1133.330,410,1378.847
1166.666,470,1558.617
1200.001,410,1373.953
1233.332,470,1539.280
1266.669,410,1379.091
1300.000,470,1541.138
1333.332,410,1386.813
1366.668,470,1540.572
1399.999,410,1391.603
1433.333,470,1549.760
1466.667,410,1388.585
1500.003,470,1543.537
1533.330,410,1385.523
1566.667,470,1542.664
1599.998,410,1381.871
1633.332,470,1533.120
1666.666,410,1390.389
1699.996,470,1524.219
1733.335,410,1395.669
1766.665,470,1520.412
1800.001,410,1392.676
1833.334,470,1517.627
1866.669,410,1389.440
1900.000,470,1526.964
1933.331,410,1391.252
1966.664,470,1516.815
2000.000,410,1392.756
2033.333,470,1509.060
2066.669,410,1382.433
2100.000,470,1501.630
