TimeStamp,Events,CH1-410,CH1-470,ToneStart,PelletGrab
0.0,,1441.051,1660.301,0,0
66.667,,1441.687,1648.59,0,0
133.335,,1427.236,1615.621,0,0
199.999,,1414.985,1606.151,0,0
266.667,,1409.564,1594.174,0,0
333.335,,1402.698,1587.785,0,0
400.001,,1397.141,1571.436,0,0
466.669,,1385.416,1547.684,0,0
533.331,,1373.174,1538.258,0,0
599.999,,1408.398,1536.427,0,0
666.669,,1408.642,1522.8,0,0
733.336,,1400.754,1515.19,0,0
800.001,,1404.972,1520.74,0,0
866.666,,1391.325,1531.578,0,0
933.332,,1386.74,1532.727,0,0
1000.001,,1383.568,1560.395,0,0
1066.664,,1379.377,1574.11,0,0
1133.33,,1378.847,1558.617,0,0
1200.001,,1373.953,1539.28,0,0
1266.669,,1379.091,1541.138,0,0
1333.332,,1386.813,1540.572,0,0
1399.999,,1391.603,1549.76,0,0
1466.667,,1388.585,1543.537,0,0
1533.33,,1385.523,1542.664,0,0
1599.998,,1381.871,1533.12,0,0
1666.666,,1390.389,1524.219,0,0
1733.335,,1395.669,1520.412,0,0
1800.001,,1392.676,1517.627,0,0
1866.669,,1389.44,1526.964,0,0
1933.331,,1391.252,1516.815,0,0
2000.0,,1392.756,1509.06,0,0
2066.669,,1382.433,1501.63,0,0
