TimeStamp,Name,State
282742.456,Input1,0
282853.800,Input1,1
295055.745,Input1,0
295567.675,Input1,1
385168.821,Input1,0
385265.501,Input1,1
392360.328,Input1,0
392855.409,Input1,1
522761.399,Input1,0
522857.166,Input1,1
529489.200,Input1,0
530000.439,Input1,1
745227.640,Input1,0
745338.333,Input1,1
753504.433,Input1,0
753999.416,Input1,1
959227.085,Input1,0
959338.933,Input1,1
966002.701,Input1,0
966497.956,Input1,1
1065273.156,Input1,0
1065359.164,Input1,1
1072390.042,Input1,0
1072886.298,Input1,1
1331480.287,Input1,0
1331574.660,Input1,1
1338014.225,Input1,0
1338525.438,Input1,1
1438410.747,Input1,0
1438522.366,Input1,1
1445250.235,Input1,0
1445761.239,Input1,1
1569419.868,Input1,0
1569515.708,Input1,1
1834630.264,Input1,0
1834742.798,Input1,1
1841294.919,Input1,0
1841806.449,Input1,1
1985094.557,Input1,0
1985189.577,Input1,1
1994603.135,Input1,0
1995098.152,Input1,1
2132721.333,Input1,0
2132818.027,Input1,1
2389976.144,Input1,0
2390077.769,Input1,1
2863557.494,Input1,0
2863669.945,Input1,1
3107088.838,Input1,0
3107184.293,Input1,1
