TimeStamp,Events,CH1-410,CH1-470,Unnamed: 4,ToneStart,PelletGrab

0.0,,1343.153,1242.676,,0,0

66.669,,1350.352,1243.725,,0,0

133.336,,1342.61,1254.226,,0,0

200.001,,1330.648,1240.06,,0,0

266.664,,1322.918,1245.254,,0,0

333.331,,1321.849,1255.356,,0,0

399.998,,1318.818,1252.593,,0,0

466.667,,1313.565,1244.5,,0,0

533.331,,1314.651,1245.697,,0,0

599.997,,1312.106,1245.909,,0,0

666.667,,1310.855,1241.28,,0,0

733.333,,1313.237,1234.508,,0,0

800.002,,1306.362,1218.15,,0,0

866.666,,1307.296,1226.628,,0,0

933.332,,1300.26,1216.739,,0,0

1000.002,,1305.569,1217.398,,0,0

1066.667,,1307.185,1220.669,,0,0

1133.33,,1313.702,1220.437,,0,0

1199.996,,1320.278,1211.129,,0,0

1266.664,,1314.536,1206.396,,0,0

1333.335,,1294.711,1206.308,,0,0

1400.002,,1288.276,1211.593,,0,0

1466.669,,1294.638,1217.204,,0,0

1533.332,,1294.225,1227.68,,0,0

1600.0,,1292.279,1238.212,,0,0

1666.666,,1315.03,1254.699,,0,0

1733.335,,1336.856,1258.129,,0,0

1799.996,,1333.154,1258.237,,0,0

1866.669,,1321.965,1259.569,,0,0

1933.33,,1326.991,1257.007,,0,0

2000.0,,1334.605,1261.022,,0,0

2066.662,,1329.247,1262.215,,0,0

2133.331,,1323.586,1259.267,,0,0

2200.001,,1320.802,1263.982,,0,0

2266.667,,1312.293,1278.106,,0,0

2333.335,,1299.35,1281.162,,0,0

2400.0,,1294.802,1276.529,,0,0

2466.666,,1292.077,1274.046,,0,0

2533.333,,1293.53,1267.725,,0,0

2600.0,,1300.338,1272.577,,0,0

2666.666,,1299.654,1273.432,,0,0

2733.333,,1294.587,1264.36,,0,0

2799.998,,1284.981,1254.599,,0,0

2866.664,,1282.491,1256.034,,0,0

2933.332,,1283.435,1261.658,,0,0

3000.002,,1297.28,1273.981,,0,0

3066.667,,1309.009,1262.673,,0,0

3133.333,,1296.933,1255.642,,0,0

3200.002,,1281.413,1251.792,,0,0

3266.666,,1295.687,1240.144,,0,0

3333.331,,1281.976,1241.514,,0,0

3400.0,,1293.046,1248.953,,0,0

