TimeStamp,Name,State
5886.132,Input1,0
5982.074,Input1,1
11704.312,Input1,0
11704.312,Input1,1
1236198.055,Input1,0
1236293.059,Input1,1
1236390.058,Input1,0
1236485.209,Input1,1
1495270.590,Input1,0
1495366.533,Input1,1
1501024.586,Input1,0
1501025.586,Input1,1
1600906.550,Input1,0
1601002.548,Input1,1
1601114.546,Input1,0
1601210.549,Input1,1
1689471.499,Input1,0
1689566.498,Input1,1
1695176.562,Input1,0
1695176.562,Input1,1
1733748.948,Input1,0
1733848.404,Input1,1
1733957.404,Input1,0
1734053.426,Input1,1
1885881.023,Input1,0
1885994.006,Input1,1
1893808.741,Input1,0
1893809.741,Input1,1
1915498.086,Input1,0
1915594.442,Input1,1
1915689.953,Input1,0
1915801.950,Input1,1
2092966.459,Input1,0
2093061.540,Input1,1
2100702.131,Input1,0
2100702.131,Input1,1
2131552.221,Input1,0
2131650.221,Input1,1
2131743.344,Input1,0
2131839.561,Input1,1
2421072.885,Input1,0
2421168.884,Input1,1
2426874.770,Input1,0
2426874.770,Input1,1
2469991.534,Input1,0
2470086.919,Input1,1
2470182.932,Input1,0
2470293.931,Input1,1
