TimeStamp,Lights,Channel1
0.000,410,474.024
33.338,470,504.355
66.669,410,470.480
100.004,470,500.952
133.334,410,468.425
166.668,470,498.575
199.999,410,468.078
233.332,470,495.583
266.666,410,466.504
300.003,470,492.639
333.334,410,462.818
366.671,470,490.447
400.003,410,460.890
433.334,470,488.672
466.667,410,459.610
500.004,470,489.562
533.337,410,459.501
566.670,470,489.882
600.004,410,457.772
633.332,470,489.717
666.668,410,456.264
700.005,470,489.756
733.337,410,455.965
766.669,470,488.784
800.000,410,455.515
833.338,470,487.906
866.671,410,453.881
900.001,470,487.910
933.332,410,453.329
966.671,470,488.706
1000.005,410,453.023
1033.333,470,488.393
1066.669,410,453.301
1100.005,470,489.503
1133.332,410,452.782
1166.669,470,491.869
1200.000,410,452.252
1233.338,470,493.224
1266.668,410,452.197
1299.998,470,494.663
1333.333,410,451.261
1366.666,470,495.169
1399.999,410,450.005
1433.335,470,496.298
1466.668,410,450.509
1499.998,470,496.366
1533.338,410,451.126
1566.666,470,495.318
1600.003,410,450.650
1633.338,470,494.736
1666.665,410,450.849
1700.003,470,493.830
1733.335,410,450.415
1766.665,470,493.681
1800.004,410,450.673
1833.333,470,493.014
1866.665,410,450.697
1900.002,470,492.383
1933.333,410,450.607
1966.665,470,491.335
2000.002,410,450.417
2033.337,470,489.832
2066.671,410,450.673
2100.001,470,488.382
2133.332,410,450.750
2166.670,470,486.773
2200.001,410,450.764
2233.335,470,484.902
2266.671,410,449.571
2300.003,470,482.695
2333.334,410,448.219
2366.665,470,480.372
2400.004,410,447.276
2433.336,470,478.825
2466.670,410,447.246
2500.003,470,478.533
2533.337,410,446.344
2566.666,470,477.574
2600.001,410,445.091
2633.334,470,477.078
2666.666,410,443.652
2700.000,470,476.178
2733.332,410,443.916
2766.667,470,476.368
2800.003,410,442.755
2833.335,470,475.064
2866.667,410,442.099
2900.003,470,475.068
2933.338,410,441.678
2966.666,470,474.363
2999.999,410,442.033
3033.333,470,473.795
3066.665,410,441.151
3099.998,470,473.974
3133.332,410,442.562
3166.667,470,473.204
3200.002,410,441.221
3233.333,470,472.757
3266.670,410,441.278
3300.001,470,471.766
3333.338,410,440.392
3366.670,470,470.932
3400.000,410,440.304
3433.334,470,470.964
3466.665,410,440.704
3499.999,470,472.189
3533.335,410,441.159
3566.669,470,476.660
3600.004,410,439.742
3633.338,470,478.191
3666.668,410,438.521
3700.003,470,477.624
3733.334,410,438.680
3766.670,470,477.418
3799.999,410,437.675
3833.336,470,477.731
3866.671,410,441.071
3900.003,470,479.721
3933.331,410,441.999
3966.671,470,480.635
4000.002,410,444.174
4033.335,470,481.883
4066.668,410,444.416
4100.003,470,481.241
4133.334,410,443.709
4166.668,470,482.960
4199.999,410,443.632
4233.338,470,485.936
4266.666,410,444.032
4300.002,470,488.192
4333.336,410,443.585
4366.665,470,490.282
4399.998,410,442.861
4433.333,470,492.603
4466.665,410,444.040
4500.001,470,496.029
4533.332,410,444.156
4566.668,470,501.416
4599.998,410,443.868
4633.337,470,503.055
4666.669,410,443.495
4700.004,470,503.422
4733.337,410,443.289
4766.670,470,504.076
4800.004,410,443.856
4833.338,470,504.367
4866.669,410,443.782
4900.004,470,503.651
4933.336,410,444.052
4966.667,470,502.353
5000.005,410,443.262
5033.337,470,499.744
5066.668,410,442.286
5100.003,470,497.505
5133.333,410,442.513
5166.671,470,499.236
5200.001,410,443.111
5233.333,470,501.081
5266.672,410,443.431
5300.001,470,502.373
5333.338,410,443.399
5366.668,470,501.769
5400.004,410,443.149
5433.334,470,500.901
5466.665,410,443.936
5499.998,470,500.222
5533.333,410,443.015
5566.665,470,501.301
5600.004,410,442.972
5633.334,470,500.548
5666.669,410,441.839
5699.998,470,499.606
5733.335,410,441.732
5766.669,470,499.849
5799.999,410,442.453
5833.337,470,500.170
5866.670,410,443.731
5899.999,470,500.641
5933.335,410,443.690
5966.665,470,499.892
6000.001,410,443.636
6033.333,470,499.379
6066.670,410,443.674
6100.000,470,497.258
6133.336,410,443.695
6166.671,470,496.038
6200.002,410,443.692
6233.332,470,493.598
6266.669,410,442.603
6300.002,470,491.376
6333.335,410,443.159
6366.671,470,490.922
6400.001,410,444.455
6433.337,470,491.128
6466.668,410,444.556
6500.001,470,488.747
6533.336,410,444.351
6566.668,470,488.029
6600.000,410,445.173
6633.334,470,485.938
6666.671,410,443.257
6700.001,470,485.603
6733.338,410,442.974
6766.670,470,484.292
6799.999,410,442.539
6833.334,470,483.215
6866.670,410,442.289
6899.998,470,484.016
6933.338,410,443.183
6966.668,470,482.798
7000.001,410,442.645
7033.333,470,481.258
7066.671,410,441.943
7100.002,470,479.808
7133.332,410,442.114
7166.665,470,479.079
7200.004,410,442.660
7233.337,470,477.944
7266.671,410,442.467
7300.000,470,476.599
7333.338,410,442.433
7366.671,470,475.853
7400.002,410,442.844
7433.336,470,475.746
7466.670,410,443.667
7500.004,470,475.244
7533.335,410,444.059
7566.670,470,474.642
7600.001,410,443.547
7633.338,470,474.095
7666.665,410,443.217
7699.999,470,473.809
7733.336,410,442.634
7766.667,470,473.493
7800.002,410,442.620
7833.334,470,471.583
7866.669,410,440.037
7899.999,470,470.558
7933.334,410,440.739
7966.665,470,470.589
8000.002,410,442.589
8033.332,470,469.920
8066.667,410,442.904
8099.999,470,469.291
8133.335,410,443.022
8166.667,470,468.378
8199.998,410,442.870
8233.337,470,468.019
8266.667,410,443.317
8299.999,470,467.537
8333.338,410,443.176
8366.670,470,466.500
8400.004,410,442.648
8433.336,470,466.037
8466.666,410,443.057
8499.999,470,465.552
8533.335,410,442.737
8566.671,470,465.923
8600.004,410,442.915
8633.334,470,466.183
8666.669,410,442.962
8699.998,470,466.001
8733.338,410,442.960
8766.670,470,466.392
8800.003,410,442.676
8833.335,470,466.016
8866.667,410,442.718
8900.003,470,465.674
8933.334,410,442.483
8966.671,470,464.489
8999.998,410,441.544
9033.334,470,463.661
9066.672,410,440.450
9100.002,470,464.268
9133.336,410,441.261
9166.666,470,465.102
9200.002,410,442.231
9233.332,470,464.971
9266.665,410,441.981
9300.001,470,464.520
9333.332,410,441.927
9366.667,470,464.711
9400.000,410,443.060
9433.336,470,464.704
9466.670,410,443.981
9500.001,470,465.019
9533.334,410,445.223
9566.671,470,464.521
9600.000,410,441.279
9633.334,470,469.288
9666.669,410,441.352
9700.000,470,475.069
9733.337,410,442.455
9766.671,470,479.553
9800.000,410,442.068
9833.334,470,482.733
9866.667,410,442.931
9900.000,470,485.175
9933.337,410,443.422
9966.666,470,485.754
10000.004,410,442.409
10033.331,470,484.109
10066.669,410,441.535
10100.002,470,483.781
10133.334,410,442.856
10166.671,470,483.201
10199.998,410,442.341
10233.332,470,481.601
10266.667,410,442.080
10300.000,470,479.266
10333.338,410,441.785
10366.665,470,478.922
10399.998,410,442.188
10433.337,470,478.167
10466.670,410,441.650
10500.003,470,478.539
10533.333,410,442.224
10566.670,470,478.473
10599.999,410,442.543
10633.332,470,478.641
10666.671,410,442.263
10700.002,470,477.586
10733.334,410,442.320
10766.671,470,476.756
10799.999,410,442.294
10833.338,470,476.364
10866.671,410,442.761
10900.000,470,476.369
10933.333,410,443.065
10966.666,470,476.722
11000.000,410,443.729
11033.337,470,476.860
11066.670,410,443.732
11100.001,470,476.194
11133.332,410,443.793
11166.671,470,474.889
11200.002,410,443.384
11233.338,470,473.099
11266.665,410,443.340
11300.004,470,472.493
11333.335,410,443.555
11366.671,470,471.637
11400.003,410,443.659
11433.331,470,471.421
11466.671,410,443.761
11499.998,470,471.594
11533.337,410,443.699
11566.667,470,472.363
11600.002,410,442.989
11633.337,470,473.236
11666.667,410,443.488
11699.990,470,473.849
11733.335,410,443.320
11766.668,470,474.941
11799.999,410,443.090
11833.337,470,474.989
11866.669,410,442.593
11900.002,470,473.785
11933.333,410,442.304
11966.671,470,473.293
11999.998,410,441.169
12033.336,470,474.112
12066.668,410,441.371
12100.000,470,474.152
12133.331,410,442.156
12166.668,470,475.627
12200.004,410,443.580
12233.333,470,476.075
12266.666,410,443.822
12299.998,470,477.412
12333.334,410,442.948
12366.668,470,478.344
12400.002,410,442.271
12433.333,470,478.509
12466.669,410,442.478
12500.001,470,480.476
12533.335,410,442.233
12566.671,470,482.480
12600.003,410,442.319
12633.332,470,483.785
12666.665,410,442.012
12700.003,470,484.078
12733.335,410,441.399
12766.665,470,482.610
12800.003,410,441.252
12833.332,470,481.812
12866.666,410,441.496
12900.000,470,481.200
12933.332,410,441.982
12966.671,470,480.393
13000.001,410,441.126
13033.338,470,479.263
