TimeStamp,Name,State
157826.013,Input1,0
157921.720,Input1,1
212485.885,Input1,0
212981.268,Input1,1
534996.097,Input1,0
535092.776,Input1,1
812594.216,Input1,0
812706.223,Input1,1
823158.741,Input1,0
823670.382,Input1,1
912198.046,Input1,0
912293.724,Input1,1
918765.850,Input1,0
919262.459,Input1,1
1117457.898,Input1,0
1117553.869,Input1,1
1369404.176,Input1,0
1369500.121,Input1,1
1389972.942,Input1,0
1390469.008,Input1,1
1563503.956,Input1,0
1563599.720,Input1,1
1569769.142,Input1,0
1570280.407,Input1,1
1711931.588,Input1,0
1712027.432,Input1,1
1718308.364,Input1,0
1718803.925,Input1,1
1876992.622,Input1,0
1877089.301,Input1,1
1884104.969,Input1,0
1884616.232,Input1,1
2004063.422,Input1,0
2004159.106,Input1,1
2028727.985,Input1,0
2029222.896,Input1,1
2123776.422,Input1,0
2123872.132,Input1,1
2131175.323,Input1,0
2131671.642,Input1,1
2263442.466,Input1,0
2263537.937,Input1,1
2273990.131,Input1,0
2274486.534,Input1,1
2580802.520,Input1,0
2580913.259,Input1,1
2591318.800,Input1,0
2591814.552,Input1,1
2689342.426,Input1,0
2689455.431,Input1,1
3172868.553,Input1,0
3173379.467,Input1,1
3388887.979,Input1,0
3388983.946,Input1,1
3397806.283,Input1,0
3398301.523,Input1,1
