TimeStamp,Events,UV,Fluorescence,TimeStampAdjusted,Fluorescence_Corrected,Fluorescence_Corrected_Z
100053.819,,396.096,424.529,100.053819,0.5008400632047506,0.046006171056343616
100120.474,,395.062,425.514,100.120474,1.2954845791366045,0.12369563503975575
100187.13,,395.037,426.225,100.18713000000001,2.003267399207247,0.1928929513308954
100253.791,,396.364,427.09,100.25379099999999,2.555084793276479,0.2468421030615774
100320.448,,396.678,426.471,100.320448,2.9066950623080374,0.2812177424631682
100387.102,,396.983,426.259,100.387102,3.031820593886484,0.2934508042714028
100453.762,,397.009,427.062,100.453762,2.9115415376083793,0.2816915644813707
100520.419,,397.047,426.896,100.52041899999999,2.5372118773706416,0.24509473398181117
100587.079,,397.206,426.613,100.587079,1.9321874482448498,0.18594372664045605
100653.732,,397.056,425.734,100.653732,1.177518251437937,0.11216250219449371
100720.397,,397.24,424.691,100.72039699999999,0.4195445361018733,0.038058207157712604
100787.053,,395.913,423.736,100.787053,-0.15338969257590335,-0.017955459621991503
100853.707,,395.359,423.042,100.853707,-0.3625440363769111,-0.03840370853571843
100920.369,,395.084,422.821,100.92036900000001,-0.1026685454027931,-0.012996640102697648
100987.022,,394.586,423.301,100.987022,0.6068813222620808,0.05637343391554721
101053.682,,395.05,425.138,101.053682,1.6114301183620026,0.15458446532582074
101120.34,,395.362,428.468,101.12034,2.667686190128196,0.2578507264017069
101187.001,,394.78,428.934,101.18700100000001,3.53467483885774,0.34261300947178513
101253.657,,394.465,428.04,101.253657,4.0615976856739735,0.39412831311892854
101320.313,,393.945,427.815,101.320313,4.224011576338611,0.4100069202900856
101386.971,,394.005,427.41,101.386971,4.099406809368646,0.3978247717172454
101453.627,,394.19,427.358,101.453627,3.8130234866514106,0.3698261303252515
101520.287,,393.62,427.908,101.520287,3.4895106777000304,0.33819747598321853
101586.945,,394.141,427.013,101.586945,3.224243261956581,0.3122632589488171
101653.6,,393.268,426.203,101.65360000000001,3.0676275777271784,0.2969515210393076
101720.261,,393.747,426.232,101.720261,3.0154083758086667,0.29184624223179784
