TimeStamp,Lights,Channel1
0.000,410,792.436
33.330,470,1015.591
66.661,410,778.711
100.000,470,1011.223
133.328,410,770.937
166.664,470,998.001
199.996,410,766.950
233.334,470,985.694
266.663,410,760.279
299.998,470,990.843
333.333,410,759.521
366.664,470,977.603
399.995,410,759.469
433.330,470,947.087
466.665,410,760.724
499.998,470,922.302
533.331,410,749.374
566.665,470,902.411
600.000,410,754.220
633.328,470,887.338
666.667,410,760.360
699.995,470,880.309
733.329,410,757.695
766.661,470,868.589
800.000,410,754.751
833.329,470,852.439
866.666,410,753.829
899.995,470,840.517
933.331,410,749.804
966.664,470,843.829
999.996,410,750.801
1033.331,470,853.130
1066.663,410,750.181
1099.999,470,860.242
1133.330,410,749.809
1166.661,470,856.336
1200.000,410,749.764
1233.331,470,848.136
1266.665,410,749.567
1299.998,470,839.545
1333.334,410,744.891
1366.665,470,829.224
1399.995,410,741.787
1433.329,470,830.906
1466.661,410,736.708
1499.997,470,831.666
1533.332,410,733.429
1566.661,470,834.569
1599.999,410,731.427
1633.333,470,840.535
1666.663,410,732.305
1699.995,470,844.878
1733.333,410,736.039
1766.663,470,850.460
1800.000,410,738.443
1833.330,470,859.828
1866.667,410,739.374
1899.994,470,868.475
1933.333,410,741.340
1966.663,470,872.267
1999.996,410,741.767
2033.328,470,873.549
2066.666,410,740.160
2099.998,470,849.928
2133.329,410,734.537
2166.665,470,824.503
2199.998,410,735.194
2233.333,470,840.695
2266.665,410,749.722
2300.000,470,836.144
2333.334,410,754.010
2366.662,470,843.878
2399.995,410,756.052
2433.330,470,863.596
2466.661,410,748.898
2500.000,470,867.993
2533.329,410,746.082
2566.663,470,883.671
2600.001,410,747.901
2633.327,470,888.663
2666.665,410,744.974
2699.997,470,917.358
2733.328,410,747.070
2766.666,470,934.967
2799.999,410,742.560
2833.334,470,947.131
2866.668,410,741.952
2899.995,470,960.575
2933.330,410,745.337
2966.667,470,952.685
2999.996,410,740.863
3033.333,470,935.116
3066.662,410,743.311
3100.000,470,918.238
3133.332,410,747.314
3166.661,470,905.855
3200.000,410,747.166
3233.331,470,890.719
3266.662,410,747.014
3299.996,470,871.472
3333.331,410,744.250
3366.665,470,868.553
3399.998,410,743.992
3433.334,470,879.082
3466.664,410,739.787
3499.996,470,915.290
3533.330,410,742.009
3566.667,470,943.103
3599.999,410,741.846
3633.332,470,949.185
3666.663,410,741.409
3699.996,470,934.148
3733.334,410,741.077
3766.661,470,919.150
3799.999,410,741.536
3833.331,470,904.725
3866.663,410,741.714
3899.995,470,879.880
3933.331,410,737.972
3966.661,470,878.499
3999.999,410,736.227
4033.329,470,862.400
4066.667,410,735.069
4100.001,470,856.083
4133.334,410,734.628
4166.665,470,860.777
4199.998,410,749.391
4233.331,470,868.064
4266.662,410,749.889
4299.995,470,863.945
4333.334,410,742.624
4366.663,470,848.976
4400.001,410,741.060
4433.334,470,835.434
4466.663,410,743.384
4500.000,470,824.865
4533.332,410,741.789
4566.664,470,816.597
4599.998,410,745.413
4633.332,470,809.816
4666.665,410,742.369
4699.996,470,802.319
4733.329,410,746.198
4766.664,470,795.569
4799.998,410,741.252
4833.332,470,797.320
4866.665,410,748.270
4899.996,470,795.332
4933.332,410,745.850
4966.662,470,791.440
5000.000,410,740.914
5033.327,470,783.606
5066.662,410,741.922
5100.000,470,789.029
5133.331,410,747.500
5166.661,470,790.353
5199.997,410,745.445
5233.330,470,783.981
5266.663,410,743.149
5299.998,470,773.684
5333.333,410,739.404
5366.666,470,782.271
5399.996,410,742.677
5433.330,470,784.519
5466.662,410,742.018
5500.000,470,781.736
5533.328,410,748.132
5566.663,470,780.720
5599.998,410,752.854
5633.330,470,787.720
5666.663,410,754.321
5699.999,470,787.665
5733.331,410,759.860
5766.661,470,796.182
5800.000,410,760.072
5833.332,470,796.350
5866.661,410,759.296
5900.000,470,799.297
5933.334,410,751.314
5966.664,470,800.925
5999.996,410,748.381
6033.334,470,798.195
6066.662,410,749.454
6100.000,470,800.943
6133.332,410,749.369
6166.666,470,802.941
6199.997,410,749.783
6233.331,470,798.341
6266.667,410,750.257
6299.997,470,783.743
6333.330,410,745.092
6366.665,470,776.277
6399.999,410,740.081
6433.334,470,772.756
6466.662,410,746.491
6499.994,470,774.916
6533.334,410,740.116
6566.663,470,790.236
6599.997,410,737.081
6633.330,470,788.434
6666.667,410,742.872
6699.995,470,792.669
6733.329,410,746.503
6766.664,470,786.915
6800.000,410,745.804
6833.330,470,788.323
6866.665,410,741.943
6899.996,470,789.729
6933.332,410,738.693
6966.663,470,796.240
6999.995,410,742.308
7033.328,470,799.992
7066.663,410,747.892
7100.000,470,804.545
7133.331,410,742.963
7166.667,470,815.452
7199.999,410,745.412
7233.332,470,825.773
7266.664,410,744.825
7300.001,470,857.789
7333.330,410,745.346
7366.666,470,865.162
7399.999,410,746.144
7433.333,470,865.696
7466.662,410,747.331
7499.996,470,859.254
7533.330,410,747.545
7566.663,470,863.663
7599.999,410,750.075
7633.328,470,880.496
7666.667,410,749.335
7699.998,470,894.275
7733.331,410,746.215
7766.667,470,904.572
7799.995,410,742.618
7833.328,470,912.432
7866.666,410,745.856
7900.000,470,900.600
7933.330,410,748.686
7966.667,470,883.025
7999.997,410,745.094
8033.332,470,863.583
8066.662,410,743.557
8100.000,470,848.953
8133.332,410,743.289
8166.667,470,829.705
8199.995,410,741.647
8233.327,470,818.555
8266.663,410,740.067
8299.996,470,808.394
8333.330,410,736.253
8366.667,470,801.372
8399.999,410,735.170
8433.328,470,799.765
8466.663,410,733.948
8499.997,470,807.769
8533.331,410,734.875
8566.665,470,818.554
8600.001,410,739.110
8633.328,470,818.252
8666.663,410,742.434
8700.001,470,817.503
8733.333,410,736.720
8766.663,470,801.947
8799.997,410,736.123
8833.334,470,798.524
8866.667,410,746.684
8899.999,470,799.895
8933.334,410,752.332
8966.661,470,793.582
8999.995,410,748.862
9033.329,470,793.600
9066.665,410,753.082
9099.998,470,818.695
9133.329,410,750.116
9166.666,470,829.740
9199.996,410,752.238
9233.329,470,847.583
9266.662,410,759.838
9299.999,470,868.252
9333.331,410,764.697
9366.664,470,870.187
9399.994,410,748.930
9433.331,470,884.543
9466.664,410,743.092
9499.995,470,892.525
9533.332,410,747.109
9566.662,470,910.243
9599.996,410,750.651
9633.331,470,904.984
9666.664,410,744.776
9699.997,470,906.992
9733.329,410,744.313
9766.664,470,909.474
9799.996,410,739.002
9833.328,470,916.532
9866.664,410,741.657
9900.001,470,923.558
9933.330,410,738.711
9966.665,470,951.985
10000.000,410,740.318
10033.332,470,958.009
10066.666,410,740.752
10100.000,470,943.076
10133.333,410,747.855
10166.666,470,923.098
10199.995,410,743.401
10233.328,470,897.356
10266.666,410,741.003
10299.995,470,878.869
10333.334,410,743.820
10366.667,470,863.132
10399.996,410,742.110
10433.329,470,851.142
10466.665,410,742.789
10500.000,470,839.440
10533.333,410,744.931
10566.665,470,831.704
10599.998,410,747.189
10633.333,470,826.663
10666.664,410,747.617
10699.995,470,820.695
10733.334,410,747.714
10766.662,470,818.761
10799.996,410,743.609
10833.334,470,820.400
10866.665,410,741.123
10899.995,470,810.056
10933.331,410,742.270
10966.665,470,803.588
10999.999,410,740.926
11033.327,470,802.455
11066.667,410,742.191
11099.995,470,797.363
11133.332,410,744.625
11166.665,470,793.925
11199.995,410,743.146
11233.328,470,793.029
11266.664,410,742.788
11299.999,470,794.484
11333.333,410,740.093
11366.667,470,786.223
11399.997,410,745.428
11433.333,470,784.794
11466.663,410,746.778
11499.998,470,778.406
11533.334,410,747.166
11566.664,470,775.722
11600.000,410,752.316
11633.331,470,780.202
11666.662,410,754.344
11699.998,470,778.959
11733.329,410,748.968
11766.663,470,787.133
11800.000,410,744.880
11833.332,470,806.414
11866.662,410,742.830
11900.001,470,823.324
11933.334,410,745.546
11966.667,470,825.401
11999.998,410,745.060
12033.329,470,826.810
12066.663,410,743.113
12099.996,470,824.611
12133.330,410,747.028
12166.662,470,827.517
12199.994,410,746.113
12233.334,470,815.848
12266.664,410,744.278
12299.999,470,800.785
12333.328,410,742.059
12366.668,470,800.648
12400.000,410,745.988
12433.330,470,810.299
12466.661,410,745.615
12500.000,470,816.753
12533.334,410,744.300
12566.662,470,806.661
12599.996,410,740.102
12633.334,470,798.009
12666.664,410,738.651
12699.997,470,792.291
12733.333,410,736.936
12766.667,470,791.761
12799.999,410,738.931
12833.329,470,795.082
12866.664,410,740.918
12899.996,470,798.377
12933.329,410,744.879
12966.663,470,804.947
12999.998,410,742.323
13033.328,470,807.245
13066.664,410,740.565
13100.000,470,796.047
13133.333,410,739.241
13166.661,470,791.551
13199.998,410,738.791
13233.329,470,792.038
13266.664,410,738.448
13299.997,470,803.160
13333.332,410,738.726
13366.666,470,814.739
13399.999,410,737.960
13433.329,470,823.541
13466.665,410,739.484
13499.998,470,830.264
13533.328,410,741.804
13566.666,470,835.554
13599.994,410,739.543
13633.328,470,838.170
13666.661,410,742.456
13699.997,470,834.649
13733.331,410,744.449
13766.666,470,846.382
13800.000,410,742.678
13833.327,470,853.129
13866.665,410,747.438
13900.001,470,857.287
13933.329,410,760.111
13966.666,470,836.775
13999.996,410,751.280
14033.330,470,838.506
14066.664,410,747.817
14100.001,470,835.380
14133.332,410,746.324
14166.667,470,823.773
14199.997,410,736.837
14233.334,470,817.427
14266.667,410,737.901
14300.000,470,814.092
14333.332,410,738.363
14366.667,470,812.720
14399.999,410,737.529
14433.331,470,815.581
14466.662,410,739.442
14499.997,470,817.658
14533.329,410,739.286
14566.661,470,815.819
14599.997,410,746.114
14633.328,470,813.488
14666.662,410,745.832
14699.997,470,811.852
14733.330,410,739.082
14766.663,470,800.423
14799.997,410,739.566
14833.330,470,799.450
14866.666,410,738.887
14899.996,470,802.651
14933.329,410,741.803
14966.664,470,797.942
14999.997,410,742.229
15033.328,470,789.234
15066.663,410,736.671
15099.997,470,785.866
15133.327,410,736.541
15166.663,470,776.336
15199.994,410,744.761
15233.329,470,775.676
15266.666,410,747.039
15299.994,470,781.941
15333.330,410,747.827
15366.662,470,786.769
15399.995,410,750.297
15433.331,470,789.508
15466.667,410,751.194
15499.999,470,782.473
