TimeStamp,Events,UV,Fluorescence,TimeStampAdjusted,Fluorescence_Corrected,Fluorescence_Corrected_Z
100054.116,,373.053,443.462,100.054116,-6.8184225172186705,-0.7431681184774841
100120.775,,371.982,445.823,100.120775,-5.699261139994029,-0.6169102695819783
100187.429,,374.238,446.172,100.18742900000001,-4.814925764868444,-0.5171442443797478
100254.091,,376.145,448.968,100.254091,-4.319476217846973,-0.4612502550800907
100320.752,,376.853,444.338,100.320752,-4.250999347077057,-0.45352505782217123
100387.408,,376.259,446.818,100.387408,-4.555158375912966,-0.4878386657472415
100454.064,,376.389,446.199,100.454064,-5.140493818385179,-0.5538731048842584
100520.724,,374.659,443.383,100.520724,-5.928168399214679,-0.6427343721054556
100587.384,,374.582,443.689,100.587384,-6.880452217267033,-0.7501659801399024
100654.04,,374.226,442.536,100.65404,-8.006700489868946,-0.877223334972524
100720.697,,375.262,440.723,100.720697,-9.344887957457813,-1.0281905453454219
100787.36,,377.053,442.199,100.78736,-10.922600225041018,-1.206179672860785
100854.014,,377.717,438.776,100.85401399999999,-12.714281983137171,-1.4083077030859845
100920.675,,378.029,436.592,100.920675,-14.620220427773987,-1.6233255665006798
100987.329,,377.08,434.209,100.987329,-16.485009234060936,-1.833701146035131
101053.99,,375.892,432.113,101.05399,-18.147327384267523,-2.021235060353648
101120.652,,376.289,431.038,101.120652,-19.493575418188186,-2.1731116210549644
101187.311,,377.442,430.082,101.18731100000001,-20.49144131380948,-2.2856855572461554
101253.968,,376.88,430.1,101.253968,-21.1929339986318,-2.364824240195738
101320.628,,377.614,429.721,101.320628,-21.70836092869365,-2.4229719718604996
101387.281,,376.464,429.29,101.387281,-22.163378890971956,-2.4743046842782044
101453.941,,377.402,428.188,101.453941,-22.657331290402972,-2.530029773329786
101520.598,,376.627,428.096,101.52059799999999,-23.236408045061165,-2.5953581405129382
101587.261,,377.649,427.782,101.587261,-23.884502139929424,-2.6684726778488006
101653.916,,377.902,426.746,101.653916,-24.530790100787858,-2.741383456728074
101720.573,,376.888,425.631,101.720573,-25.07592393577789,-2.8028825637975845
101787.235,,376.122,424.484,101.787235,-25.434990665639315,-2.843390567240905
101853.893,,375.217,423.868,101.853893,-25.58220310472899,-2.859998293587051
101920.553,,375.664,425.358,101.920553,-25.572599180397475,-2.8589148297973526
101987.21,,375.564,425.71,101.98721,-25.523515926643782,-2.8533775175188487
102053.868,,375.533,426.085,102.05386800000001,-25.56370007856611,-2.8579108803427027
102120.524,,375.531,424.812,102.120524,-25.781176579026436,-2.8824454253084477
102187.182,,374.525,423.793,102.187182,-26.19941331774718,-2.9296286752262595
102253.843,,374.985,422.908,102.25384299999999,-26.78582248045469,-2.995784245783627
102320.498,,375.945,423.95,102.320498,-27.472254001780648,-3.0732238081741796
102387.16,,377.368,422.52,102.38716000000001,-28.166474666863202,-3.1515421004382427
102453.82,,376.759,422.975,102.45382000000001,-28.752739926556394,-3.217681436621008
102520.477,,377.653,422.165,102.520477,-29.095276207427855,-3.256324562511169
102587.134,,378.369,421.193,102.587134,-29.058229910505236,-3.25214519584057
102653.794,,377.252,421.855,102.65379399999999,-28.542172749709742,-3.1939263648881124
102720.453,,378.176,424.059,102.72045299999999,-27.520350630289688,-3.0786498146270977
102787.112,,377.748,424.463,102.787112,-26.055735322620826,-2.9134196860961503
102853.767,,381.805,426.947,102.853767,-24.294950611348483,-2.714777296770096
102920.423,,386.137,432.124,102.920423,-22.444803921619478,-2.5060535631423253
102987.081,,384.989,431.303,102.987081,-20.738114702750313,-2.313513940266902
