TimeStamp,Name,State
116947.428,Input1,0
117043.109,Input1,1
155655.777,Input1,0
156151.197,Input1,1
280481.938,Input1,0
280577.737,Input1,1
403430.085,Input1,0
403925.028,Input1,1
504584.267,Input1,0
504695.880,Input1,1
566642.123,Input1,0
567136.553,Input1,1
844638.024,Input1,0
844733.997,Input1,1
922710.121,Input1,0
923220.961,Input1,1
1012755.912,Input1,0
1012853.601,Input1,1
1019788.074,Input1,0
1020283.261,Input1,1
1227633.397,Input1,0
1227728.970,Input1,1
1266520.823,Input1,0
1267015.432,Input1,1
2111337.546,Input1,0
2111434.224,Input1,1
2118193.830,Input1,0
2118689.681,Input1,1
3360099.435,Input1,0
3360195.172,Input1,1
3385126.616,Input1,0
3385622.433,Input1,1
3515793.411,Input1,0
3515905.978,Input1,1
3522458.256,Input1,0
3522953.660,Input1,1
3637083.400,Input1,0
3637194.028,Input1,1
3643635.606,Input1,0
3644130.758,Input1,1
