TimeStamp,Lights,Channel1
0.000,410,805.403
33.333,470,877.635
66.665,410,796.637
100.002,470,870.891
133.337,410,787.081
166.668,470,872.894
200.001,410,787.776
233.334,470,866.115
266.665,410,776.833
300.002,470,861.617
333.333,410,770.072
366.668,470,860.025
400.004,410,774.983
433.333,470,852.562
466.666,410,767.506
499.999,470,849.033
533.335,410,761.739
566.671,470,839.603
600.001,410,759.844
633.333,470,838.303
666.667,410,753.799
700.000,470,828.004
733.331,410,762.113
766.670,470,838.436
800.003,410,762.058
833.330,470,839.584
866.666,410,760.481
900.001,470,847.244
933.335,410,761.630
966.666,470,849.926
1000.003,410,757.812
1033.332,470,852.131
1066.665,410,754.644
1100.001,470,849.833
1133.337,410,757.453
1166.664,470,848.132
1200.002,410,757.436
1233.332,470,835.788
1266.670,410,739.848
1300.003,470,831.427
1333.331,410,748.727
1366.664,470,829.478
1399.997,410,750.206
1433.333,470,828.419
1466.667,410,743.583
1499.998,470,837.585
1533.331,410,739.092
1566.668,470,847.140
1600.001,410,740.425
1633.333,470,855.533
1666.665,410,742.531
1699.998,470,862.653
1733.332,410,739.506
1766.668,470,861.046
1800.002,410,744.399
1833.331,470,858.487
1866.668,410,740.097
1899.997,470,858.135
1933.336,410,739.241
1966.669,470,854.535
2000.002,410,739.257
2033.331,470,852.157
2066.667,410,737.969
2100.001,470,849.278
2133.335,410,742.761
2166.671,470,842.026
2200.002,410,737.214
2233.331,470,838.537
2266.665,410,740.826
2300.002,470,834.260
2333.332,410,740.019
2366.664,470,834.095
2400.003,410,742.960
2433.335,470,830.894
2466.665,410,743.933
2500.004,470,824.188
2533.336,410,736.698
2566.667,470,814.270
2599.999,410,736.741
2633.336,470,799.127
2666.670,410,743.263
2700.000,470,805.307
2733.331,410,744.774
2766.670,470,806.832
2799.998,410,745.450
2833.332,470,811.567
2866.669,410,743.139
2900.004,470,824.299
2933.336,410,747.302
2966.664,470,827.066
2999.998,410,748.070
3033.332,470,825.423
3066.668,410,744.097
3100.001,470,821.287
3133.331,410,743.195
3166.667,470,817.111
3199.997,410,744.068
3233.336,470,816.281
3266.669,410,740.241
3300.000,470,813.618
3333.335,410,742.731
3366.671,470,805.889
3400.004,410,741.161
3433.334,470,803.135
3466.664,410,741.509
3500.002,470,796.401
3533.331,410,742.888
3566.666,470,790.662
3599.997,410,739.199
3633.334,470,788.098
3666.665,410,743.865
3700.003,470,784.459
3733.336,410,744.278
3766.670,470,786.189
3800.000,410,745.688
3833.335,470,788.855
3866.665,410,742.473
3899.999,470,795.327
3933.334,410,744.900
3966.667,470,802.248
3999.999,410,742.165
4033.335,470,811.715
4066.670,410,742.805
4100.004,470,814.207
4133.337,410,745.761
4166.664,470,813.942
4200.001,410,741.030
4233.337,470,807.871
4266.670,410,746.047
4299.999,470,802.831
4333.331,410,742.093
4366.666,470,800.431
4399.999,410,745.291
4433.334,470,794.869
4466.668,410,743.557
4500.004,470,793.797
4533.334,410,741.201
4566.664,470,790.816
4600.002,410,744.000
4633.334,470,792.851
4666.665,410,742.935
4700.001,470,792.638
4733.337,410,743.365
4766.666,470,789.933
4800.003,410,740.202
4833.334,470,789.286
4866.671,410,745.238
4900.002,470,791.813
4933.335,410,741.465
4966.670,470,795.296
4999.999,410,743.379
5033.334,470,795.588
5066.666,410,742.867
5099.999,470,793.275
5133.331,410,749.086
5166.669,470,796.510
5199.997,410,750.350
5233.335,470,797.647
5266.667,410,747.417
5299.998,470,795.503
5333.334,410,746.768
5366.666,470,798.440
5399.999,410,746.586
5433.336,470,801.133
5466.665,410,744.237
5500.001,470,794.192
5533.336,410,734.628
5566.668,470,787.436
5600.000,410,740.936
5633.335,470,799.949
5666.668,410,747.315
5700.003,470,806.641
5733.331,410,747.341
5766.670,470,824.554
5799.998,410,748.406
5833.336,470,838.481
5866.666,410,750.666
5900.001,470,843.277
5933.334,410,743.457
5966.669,470,844.352
6000.000,410,741.494
6033.335,470,853.060
6066.665,410,741.547
6100.000,470,866.014
6133.335,410,742.565
6166.669,470,861.599
6200.001,410,745.740
6233.335,470,853.011
6266.667,410,741.573
6300.002,470,844.511
6333.332,410,744.038
6366.668,470,838.068
6399.997,410,739.962
6433.337,470,827.814
6466.669,410,735.377
6500.003,470,830.696
6533.337,410,734.870
6566.666,470,827.332
6600.004,410,746.111
6633.337,470,850.759
6666.670,410,751.388
6699.998,470,856.926
6733.335,410,747.328
6766.670,470,868.693
6800.003,410,743.210
6833.334,470,869.640
6866.670,410,732.120
6899.998,470,875.275
6933.337,410,726.668
6966.672,470,883.567
7000.003,410,737.557
7033.333,470,894.412
7066.670,410,747.218
7099.998,470,884.975
7133.337,410,748.066
7166.665,470,884.673
7199.998,410,748.884
7233.331,470,888.988
7266.670,410,748.541
7299.999,470,902.417
7333.334,410,750.722
7366.665,470,911.127
7400.002,410,751.829
7433.332,470,911.752
7466.665,410,746.066
7499.999,470,911.098
7533.336,410,744.785
7566.666,470,906.307
7600.000,410,741.782
7633.331,470,899.101
7666.669,410,747.585
7700.002,470,898.947
7733.331,410,749.794
7766.668,470,895.888
7799.999,410,747.910
7833.331,470,888.500
7866.669,410,753.311
7900.001,470,881.121
7933.336,410,749.761
7966.666,470,873.486
8000.003,410,750.264
8033.333,470,865.195
8066.669,410,745.480
8100.000,470,861.187
8133.335,410,747.191
8166.667,470,852.929
8200.004,410,749.925
8233.333,470,849.330
8266.667,410,747.356
8300.000,470,846.666
8333.334,410,750.046
8366.669,470,836.171
8400.003,410,747.551
8433.331,470,830.886
8466.665,410,743.406
8499.999,470,823.728
8533.333,410,745.623
8566.669,470,815.345
8600.003,410,741.419
8633.336,470,803.419
8666.666,410,741.351
8700.001,470,808.021
8733.335,410,748.710
8766.666,470,806.073
8799.999,410,740.775
8833.332,470,811.562
8866.667,410,745.491
8899.999,470,823.158
8933.334,410,745.098
8966.665,470,829.003
9000.000,410,744.654
9033.331,470,827.933
9066.668,410,750.574
9100.003,470,827.765
9133.336,410,754.540
9166.668,470,831.115
9200.003,410,761.092
9233.336,470,828.782
9266.668,410,754.897
9300.000,470,830.755
9333.334,410,749.427
9366.669,470,830.444
9400.000,410,747.626
9433.330,470,838.146
9466.664,410,750.992
9499.998,470,835.147
9533.335,410,747.423
9566.666,470,835.055
9599.998,410,746.469
9633.335,470,834.074
9666.664,410,750.557
9700.000,470,833.074
9733.335,410,748.616
9766.665,470,832.194
9800.000,410,750.524
9833.332,470,835.978
9866.664,410,751.494
9900.000,470,829.868
9933.334,410,748.828
9966.668,470,828.144
10000.003,410,749.548
