TimeStamp,Name,State
110910.982,Input1,0
111005.013,Input1,1
322704.754,Input1,0
322800.771,Input1,1
426750.039,Input1,0
427255.634,Input1,1
587155.786,Input1,0
587251.900,Input1,1
666456.833,Input1,0
666953.174,Input1,1
819831.724,Input1,0
819927.782,Input1,1
879733.739,Input1,0
880230.134,Input1,1
1098083.942,Input1,0
1098182.610,Input1,1
1148171.938,Input1,0
1148668.280,Input1,1
1508831.935,Input1,0
1508944.535,Input1,1
1545049.060,Input1,0
1545565.335,Input1,1
2088146.872,Input1,0
2088242.552,Input1,1
2137020.778,Input1,0
2137516.395,Input1,1
