TimeStamp,Lights,Channel1
0.000,410,506.936
33.334,470,523.851
66.668,410,505.195
100.006,470,525.638
133.333,410,500.628
166.668,470,521.901
200.004,410,503.190
233.336,470,524.461
266.668,410,497.665
300.001,470,517.690
333.333,410,493.323
366.666,470,515.502
400.003,410,490.293
433.338,470,516.430
466.670,410,484.868
500.006,470,514.105
533.333,410,487.745
566.666,470,508.997
600.004,410,484.141
633.334,470,510.908
666.666,410,480.508
700.001,470,508.598
733.333,410,484.993
766.671,470,509.741
800.003,410,480.278
833.332,470,510.952
866.666,410,483.634
899.999,470,509.994
933.333,410,485.060
966.670,470,511.460
1000.000,410,484.220
1033.332,470,512.423
1066.667,410,485.024
1100.001,470,511.013
1133.337,410,488.613
1166.668,470,513.916
1200.000,410,489.152
1233.333,470,514.873
1266.667,410,486.055
1300.006,470,511.053
1333.337,410,489.084
1366.669,470,512.869
1400.002,410,488.037
1433.338,470,513.099
1466.668,410,487.993
1500.003,470,511.983
1533.336,410,487.241
1566.666,470,509.873
1600.005,410,486.169
1633.339,470,509.984
1666.671,410,485.665
1700.000,470,511.741
1733.335,410,486.282
1766.672,470,506.449
1800.002,410,483.666
1833.334,470,504.954
1866.667,410,477.902
1900.005,470,506.918
1933.334,410,481.146
1966.668,470,505.920
2000.004,410,487.111
2033.339,470,510.239
2066.667,410,488.651
2100.004,470,512.528
2133.339,410,492.095
2166.667,470,511.090
2200.005,410,491.156
2233.337,470,510.258
2266.670,410,487.062
2300.002,470,510.991
2333.338,410,489.885
2366.666,470,510.764
2400.001,410,491.130
2433.335,470,510.406
2466.669,410,487.347
2500.006,470,510.105
2533.334,410,484.704
2566.672,470,510.757
2600.003,410,489.604
2633.337,470,511.780
2666.667,410,486.074
2700.000,470,510.793
2733.336,410,487.138
2766.669,470,509.698
2800.002,410,487.191
2833.338,470,510.939
2866.669,410,483.651
2900.004,470,509.138
2933.337,410,486.704
2966.672,470,510.287
3000.001,410,487.780
3033.333,470,511.031
3066.672,410,487.983
3100.001,470,512.266
3133.335,410,489.947
3166.670,470,513.553
3199.999,410,491.314
3233.335,470,513.977
3266.669,410,492.065
3300.005,470,512.066
3333.338,410,491.508
3366.671,470,510.004
