TimeStamp,Lights,Channel1
0.000,410,658.968
33.329,470,682.097
66.663,410,656.202
100.000,470,677.294
133.330,410,651.417
166.661,470,677.556
199.997,410,650.437
233.333,470,677.441
266.666,410,647.427
299.999,470,680.272
333.329,410,645.641
366.662,470,679.892
399.994,410,646.313
433.329,470,680.591
466.662,410,648.533
499.997,470,682.376
533.331,410,650.011
566.665,470,680.997
599.995,410,649.930
633.334,470,679.308
666.665,410,645.162
699.995,470,671.746
733.329,410,645.103
766.662,470,668.905
799.998,410,642.028
833.332,470,663.547
866.666,410,636.215
900.000,470,658.123
933.330,410,631.145
966.664,470,652.221
999.998,410,634.160
1033.334,470,648.030
1066.664,410,633.899
1099.996,470,645.555
1133.331,410,636.597
1166.662,470,642.678
1199.997,410,635.446
1233.329,470,642.367
1266.662,410,635.149
1299.997,470,643.979
1333.331,410,638.263
1366.667,470,648.468
1399.999,410,648.364
1433.331,470,650.005
1466.665,410,651.853
1500.000,470,641.760
1533.332,410,635.593
1566.666,470,636.616
1599.998,410,636.776
1633.327,470,638.409
1666.662,410,640.519
1699.994,470,638.595
1733.334,410,639.721
1766.667,470,637.708
1799.995,410,636.704
1833.330,470,633.957
1866.661,410,634.795
1899.994,470,637.008
1933.329,410,638.424
1966.661,470,639.158
1999.995,410,631.042
2033.329,470,642.042
2066.667,410,636.735
2099.999,470,649.460
2133.331,410,636.105
2166.661,470,656.860
2199.999,410,633.787
2233.330,470,660.714
2266.665,410,636.952
2299.994,470,662.552
2333.328,410,638.721
2366.663,470,663.981
2399.997,410,638.113
2433.329,470,665.892
2466.660,410,638.854
2499.996,470,667.814
2533.330,410,640.662
2566.661,470,664.984
2599.994,410,646.281
2633.330,470,664.660
2666.661,410,646.077
2699.994,470,667.147
2733.333,410,647.769
2766.664,470,663.920
2799.995,410,647.974
2833.333,470,659.763
2866.662,410,643.322
2899.996,470,655.394
2933.332,410,639.541
2966.661,470,657.658
2999.999,410,638.296
3033.334,470,660.895
3066.665,410,638.224
3099.998,470,661.665
3133.329,410,637.509
3166.667,470,661.226
3199.996,410,639.783
3233.334,470,663.269
3266.664,410,639.493
3299.997,470,666.243
3333.329,410,638.628
3366.665,470,669.183
3399.999,410,641.561
3433.331,470,668.891
3466.665,410,638.020
3499.994,470,667.596
3533.329,410,636.553
3566.661,470,667.771
3599.996,410,639.875
3633.332,470,665.194
3666.665,410,639.554
3699.997,470,665.336
3733.330,410,640.328
3766.661,470,666.958
3799.995,410,641.508
3833.329,470,667.209
3866.662,410,641.977
3899.999,470,661.055
3933.334,410,639.431
3966.665,470,655.351
3999.998,410,635.777
4033.332,470,655.001
4066.661,410,641.925
4099.996,470,655.449
4133.328,410,638.970
4166.663,470,651.384
4199.998,410,637.059
4233.331,470,649.871
4266.667,410,634.156
4299.996,470,648.342
4333.333,410,634.303
4366.667,470,651.509
4399.994,410,635.075
4433.329,470,650.518
4466.665,410,635.495
4499.997,470,649.774
4533.333,410,633.472
4566.657,470,651.581
4599.995,410,634.615
4633.333,470,655.522
4666.665,410,633.510
4699.995,470,649.061
4733.332,410,631.150
4766.662,470,649.866
4799.996,410,631.076
4833.334,470,648.627
4866.667,410,630.077
4899.997,470,648.969
4933.333,410,632.594
4966.663,470,646.701
4999.996,410,634.970
5033.328,470,648.469
5066.661,410,635.029
5099.997,470,649.239
5133.331,410,630.091
5166.663,470,644.442
5199.999,410,630.194
5233.333,470,642.556
5266.667,410,633.270
5300.000,470,644.934
5333.329,410,631.330
5366.663,470,641.426
5399.994,410,628.347
5433.327,470,638.692
5466.666,410,630.753
5499.998,470,641.737
5533.331,410,630.006
5566.666,470,642.492
5599.998,410,632.658
5633.328,470,639.659
5666.667,410,627.632
5699.995,470,635.969
5733.328,410,624.890
5766.663,470,634.501
5799.995,410,623.961
5833.332,470,633.665
5866.663,410,627.332
5899.998,470,634.543
5933.327,410,629.098
5966.663,470,636.093
5999.997,410,628.472
6033.331,470,637.924
6066.666,410,628.113
6099.994,470,635.804
6133.333,410,629.383
6166.666,470,634.552
6199.998,410,628.087
6233.333,470,630.475
6266.665,410,626.818
6300.000,470,629.593
6333.330,410,626.031
6366.661,470,629.695
6399.996,410,628.410
6433.330,470,631.831
6466.664,410,631.842
6499.996,470,637.324
6533.330,410,632.040
6566.665,470,641.127
6599.996,410,638.127
6633.328,470,643.227
6666.663,410,638.655
6699.997,470,646.149
6733.329,410,639.760
6766.663,470,642.216
6799.998,410,630.068
6833.333,470,636.568
6866.662,410,629.033
6900.001,470,633.149
6933.329,410,626.634
6966.663,470,629.528
6999.995,410,625.786
7033.328,470,628.281
7066.663,410,626.600
7099.999,470,624.928
7133.328,410,625.859
7166.661,470,624.139
7199.996,410,628.103
7233.329,470,621.505
7266.663,410,624.514
7299.996,470,621.361
7333.328,410,622.877
7366.663,470,620.645
7399.997,410,621.829
7433.329,470,621.986
7466.666,410,623.454
7499.996,470,625.022
7533.329,410,625.707
7566.663,470,627.169
7599.998,410,630.943
7633.329,470,636.014
7666.666,410,633.982
7699.998,470,637.486
7733.334,410,631.418
7766.661,470,635.487
7799.997,410,626.772
7833.330,470,639.776
7866.664,410,628.276
7900.001,470,638.395
7933.332,410,624.930
7966.661,470,643.831
7999.994,410,626.937
8033.328,470,650.241
8066.661,410,632.369
8099.998,470,652.596
8133.327,410,631.405
8166.660,470,652.567
8199.996,410,628.763
8233.327,470,648.380
8266.662,410,626.862
8299.997,470,649.658
8333.332,410,628.461
8366.663,470,653.065
8399.997,410,629.949
8433.334,470,655.541
8466.660,410,630.295
8499.999,470,651.568
8533.332,410,633.247
8566.667,470,650.433
8599.996,410,633.055
8633.329,470,652.505
8666.662,410,630.776
8699.999,470,656.188
8733.330,410,631.837
8766.664,470,657.520
8799.997,410,635.469
8833.329,470,657.118
8866.662,410,634.760
8900.000,470,659.490
8933.332,410,635.920
8966.665,470,659.555
8999.999,410,636.557
9033.330,470,656.904
9066.662,410,639.077
9100.000,470,662.310
9133.330,410,640.819
9166.663,470,661.959
9200.000,410,635.644
9233.329,470,660.791
9266.665,410,634.655
9299.994,470,661.315
9333.327,410,639.689
9366.663,470,663.670
9399.999,410,638.871
9433.331,470,665.931
9466.665,410,637.166
9499.994,470,663.001
9533.332,410,634.752
9566.664,470,664.700
9599.996,410,637.962
9633.329,470,664.566
9666.661,410,640.199
9699.999,470,661.862
9733.333,410,635.184
9766.665,470,659.232
9799.995,410,633.075
9833.333,470,658.162
9866.665,410,633.536
9899.998,470,655.741
9933.330,410,633.332
9966.663,470,654.708
9999.998,410,637.538
10033.334,470,660.209
10066.662,410,639.650
10100.000,470,658.141
10133.332,410,637.117
10166.664,470,656.029
10199.998,410,638.817
10233.331,470,654.159
10266.661,410,639.418
10300.000,470,654.092
10333.330,410,636.152
10366.666,470,653.097
10399.997,410,635.334
10433.334,470,652.151
10466.661,410,634.533
10500.000,470,648.358
10533.329,410,633.295
10566.665,470,649.098
10600.000,410,635.426
10633.327,470,650.002
10666.664,410,637.245
10699.997,470,645.524
10733.331,410,633.662
10766.662,470,642.607
10799.998,410,637.908
10833.332,470,645.221
10866.666,410,634.860
10899.998,470,644.117
10933.333,410,634.031
10966.664,470,633.676
10999.999,410,627.753
11033.328,470,634.938
11066.661,410,625.274
11100.000,470,629.406
11133.328,410,628.255
11166.663,470,628.930
11199.995,410,630.404
11233.332,470,630.408
11266.660,410,634.847
11299.995,470,632.179
11333.328,410,632.449
11366.662,470,629.790
11400.000,410,629.825
11433.327,470,634.678
11466.664,410,633.341
11499.997,470,635.512
11533.329,410,629.572
