TimeStamp,Events,CH1-410,CH1-470,Unnamed: 4,ToneStart,PelletGrab

0.0,,392.283,413.029,,0,0

66.666,,391.788,412.207,,0,0

133.329,,390.898,411.84,,0,0

199.996,,390.372,411.359,,0,0

266.666,,389.646,410.632,,0,0

333.327,,389.084,410.013,,0,0

399.998,,388.498,409.484,,0,0

466.661,,387.9,409.302,,0,0

533.328,,387.293,408.491,,0,0

599.998,,387.005,408.127,,0,0

666.665,,386.442,407.927,,0,0

733.332,,386.007,407.376,,0,0

799.996,,385.591,406.836,,0,0

866.661,,385.063,406.445,,0,0

933.327,,384.519,406.348,,0,0

999.999,,384.104,405.801,,0,0

1066.662,,383.654,405.583,,0,0

1133.332,,383.216,405.39,,0,0

1199.998,,382.978,404.847,,0,0

1266.662,,382.531,404.513,,0,0

1333.329,,382.226,404.265,,0,0

1399.998,,381.788,403.919,,0,0

1466.663,,381.343,403.736,,0,0

1533.331,,381.095,403.227,,0,0

1599.994,,380.944,403.233,,0,0

1666.663,,380.316,403.006,,0,0

1733.326,,380.222,402.791,,0,0

1800.0,,379.67,402.364,,0,0

1866.666,,379.641,402.185,,0,0

1933.332,,379.441,402.021,,0,0

1999.999,,378.967,401.659,,0,0

2066.666,,378.731,401.436,,0,0

2133.333,,378.401,401.225,,0,0

2199.993,,378.217,400.735,,0,0

2266.661,,377.886,400.575,,0,0

2333.33,,377.587,400.647,,0,0

2399.995,,377.368,400.285,,0,0

2466.664,,377.161,399.996,,0,0

2533.332,,376.754,399.763,,0,0

2599.998,,376.628,399.694,,0,0

2666.664,,376.386,399.449,,0,0

2733.33,,376.117,399.284,,0,0

2799.996,,375.794,399.092,,0,0

2866.66,,375.481,398.946,,0,0

2933.33,,375.29,398.623,,0,0

2999.994,,375.008,398.84,,0,0

3066.664,,374.928,398.457,,0,0

3133.33,,374.826,398.154,,0,0

3199.993,,374.403,398.172,,0,0

3266.664,,374.237,397.769,,0,0

3333.333,,374.044,397.692,,0,0

3400.0,,373.73,397.745,,0,0

3466.662,,373.503,397.301,,0,0

3533.328,,373.432,397.419,,0,0

3599.995,,373.15,397.014,,0,0

3666.664,,373.007,396.877,,0,0

3733.328,,372.712,396.773,,0,0

3799.999,,372.462,396.727,,0,0

3866.663,,372.381,396.525,,0,0

3933.331,,372.303,396.264,,0,0

3999.999,,371.886,396.071,,0,0

4066.665,,372.05,395.787,,0,0

4133.33,,371.55,396.002,,0,0

4199.999,,371.415,395.953,,0,0

4266.662,,371.147,395.521,,0,0

4333.333,,371.04,395.378,,0,0

4399.999,,370.92,395.361,,0,0

4466.664,,370.587,395.093,,0,0

4533.329,,370.589,395.13,,0,0

4599.994,,370.454,395.101,,0,0

4666.662,,370.093,394.799,,0,0

4733.327,,369.995,394.716,,0,0

4800.0,,369.619,394.704,,0,0

4866.662,,369.696,394.305,,0,0

4933.329,,369.391,394.22,,0,0

4999.998,,369.342,394.174,,0,0

5066.664,,369.208,394.021,,0,0

5133.327,,368.874,393.952,,0,0

5199.994,,368.843,393.883,,0,0

5266.665,,368.62,393.759,,0,0

5333.329,,368.576,393.626,,0,0

5399.999,,368.264,393.471,,0,0

5466.663,,368.265,393.269,,0,0

5533.333,,367.976,393.233,,0,0

