TimeStamp,Lights,Channel1
0.000,410,768.962
33.334,470,876.062
66.666,410,764.409
99.995,470,873.416
133.333,410,760.073
166.664,470,879.768
199.997,410,756.311
233.328,470,870.039
266.664,410,752.570
299.995,470,864.385
333.331,410,749.632
366.667,470,859.234
399.995,410,746.692
433.329,470,859.077
466.666,410,743.681
500.000,470,858.734
533.329,410,740.636
566.666,470,851.895
599.997,410,738.739
633.332,470,846.883
666.661,410,732.397
699.995,470,842.388
733.334,410,726.641
766.666,470,830.987
799.994,410,725.844
833.334,470,819.593
866.667,410,726.964
899.995,470,811.204
933.329,410,729.181
966.666,470,803.507
999.997,410,730.388
1033.332,470,794.695
1066.663,410,726.732
1099.997,470,787.850
1133.328,410,721.798
1166.661,470,780.838
1199.995,410,724.876
1233.334,470,782.479
1266.663,410,722.022
1299.996,470,780.290
1333.328,410,720.140
1366.662,470,777.782
1399.999,410,722.518
1433.332,470,773.095
1466.665,410,724.072
1499.999,470,767.618
1533.334,410,723.972
1566.663,470,766.951
1599.998,410,727.856
1633.328,470,764.649
1666.661,410,727.403
1699.994,470,765.635
1733.328,410,727.156
1766.665,470,768.786
1799.997,410,726.339
1833.327,470,768.829
1866.662,410,726.946
1900.000,470,771.157
1933.331,410,727.015
1966.662,470,775.509
1999.995,410,726.415
2033.327,470,776.044
2066.662,410,724.722
2099.999,470,778.285
2133.328,410,724.479
2166.664,470,783.727
2199.995,410,724.583
2233.330,470,786.804
2266.667,410,724.403
2299.997,470,791.432
2333.329,410,724.414
2366.663,470,797.146
2399.996,410,725.038
2433.332,470,800.673
2466.667,410,725.539
2499.998,470,808.409
2533.333,410,724.509
2566.667,470,807.820
2599.994,410,724.091
2633.333,470,804.665
2666.664,410,724.279
2699.996,470,807.276
2733.331,410,724.795
2766.666,470,812.896
2800.000,410,724.255
2833.331,470,812.620
2866.666,410,724.218
2899.995,470,815.267
2933.329,410,724.595
2966.664,470,810.976
2999.998,410,724.258
3033.331,470,802.627
3066.661,410,723.049
3099.997,470,806.104
3133.330,410,723.090
3166.667,470,804.130
3199.996,410,724.015
3233.328,470,796.629
3266.666,410,724.181
3299.994,470,794.226
3333.327,410,722.439
3366.666,470,791.940
3399.996,410,722.919
3433.331,470,793.027
3466.665,410,722.297
3499.995,470,790.797
3533.332,410,723.034
3566.662,470,786.884
3599.999,410,723.023
3633.332,470,786.264
3666.663,410,722.180
3699.997,470,784.246
3733.333,410,720.674
3766.662,470,782.585
3799.999,410,719.667
3833.329,470,775.567
3866.663,410,715.933
3899.997,470,770.740
3933.330,410,715.718
3966.661,470,771.556
3999.998,410,714.132
4033.332,470,768.059
4066.666,410,714.844
4100.000,470,763.697
4133.329,410,712.558
4166.661,470,758.445
4200.000,410,713.063
4233.328,470,756.240
4266.662,410,713.446
4299.995,470,756.135
4333.327,410,714.334
4366.663,470,759.805
4399.998,410,715.120
4433.329,470,762.293
4466.661,410,717.070
4500.001,470,763.750
4533.334,410,717.949
4566.666,470,770.328
4599.999,410,718.442
4633.329,470,773.509
4666.667,410,719.810
4699.994,470,772.640
4733.327,410,718.855
4766.667,470,769.885
4800.000,410,719.355
4833.332,470,770.298
4866.662,410,718.262
4900.000,470,768.189
4933.328,410,715.067
4966.667,470,766.036
5000.001,410,713.937
5033.332,470,762.878
5066.666,410,712.202
5100.000,470,760.148
5133.333,410,714.140
5166.667,470,757.990
5199.998,410,715.429
5233.330,470,756.725
5266.662,410,712.890
5299.998,470,755.458
5333.330,410,711.949
5366.667,470,755.812
5399.999,410,709.789
5433.329,470,762.407
5466.667,410,710.476
5500.000,470,769.318
5533.327,410,712.375
5566.665,470,782.030
5599.998,410,713.558
5633.328,470,796.789
5666.665,410,713.981
5700.000,470,805.490
5733.333,410,715.190
5766.667,470,812.494
5799.995,410,713.850
5833.328,470,811.793
5866.665,410,714.727
5900.000,470,805.144
5933.329,410,715.550
5966.661,470,799.877
5999.997,410,716.737
6033.327,470,796.259
6066.663,410,716.934
6099.995,470,791.000
6133.333,410,715.242
6166.661,470,784.547
6199.996,410,715.388
6233.331,470,784.432
6266.665,410,713.892
6299.997,470,784.480
6333.330,410,714.004
6366.661,470,781.751
6399.997,410,712.707
6433.334,470,781.547
6466.666,410,710.167
6499.997,470,783.552
6533.334,410,712.229
6566.666,470,787.161
6600.000,410,710.144
6633.328,470,786.027
6666.661,410,707.559
6699.999,470,787.925
6733.329,410,711.280
6766.663,470,803.991
6799.996,410,713.565
6833.333,470,807.003
6866.661,410,712.064
6900.000,470,810.336
6933.332,410,712.604
6966.666,470,812.874
6999.997,410,711.008
7033.334,470,817.627
7066.662,410,714.563
7099.995,470,831.588
7133.330,410,716.059
7166.665,470,862.233
7199.995,410,717.374
7233.329,470,878.371
7266.666,410,717.466
7299.997,470,873.442
7333.333,410,718.665
7366.666,470,855.357
7399.996,410,718.567
7433.328,470,845.408
7466.666,410,718.059
7499.996,470,838.944
7533.333,410,717.678
7566.667,470,833.364
7599.995,410,715.895
7633.329,470,824.045
7666.666,410,713.160
7700.000,470,814.008
7733.332,410,710.062
7766.666,470,801.332
7799.997,410,704.701
7833.328,470,792.230
7866.666,410,704.103
7899.996,470,789.481
7933.329,410,708.038
7966.663,470,790.740
7999.999,410,710.042
8033.332,470,785.916
8066.663,410,706.877
8099.994,470,778.869
8133.334,410,707.552
8166.662,470,777.907
8199.995,410,707.296
8233.333,470,772.255
8266.665,410,707.087
8299.999,470,766.830
8333.332,410,704.261
8366.666,470,768.750
8399.999,410,703.164
8433.332,470,768.283
8466.664,410,702.388
8499.999,470,768.934
8533.332,410,704.822
8566.664,470,766.586
8599.994,410,704.640
8633.330,470,766.353
8666.667,410,702.127
8699.995,470,770.822
8733.330,410,706.376
8766.667,470,770.467
8799.997,410,707.682
8833.329,470,770.499
8866.667,410,707.760
8899.995,470,773.439
8933.328,410,709.794
8966.666,470,786.476
8999.997,410,712.235
9033.333,470,790.108
9066.664,410,712.276
9100.000,470,785.744
9133.331,410,715.131
9166.661,470,783.847
9199.998,410,714.601
9233.330,470,777.842
9266.665,410,714.246
9300.000,470,770.940
9333.329,410,711.497
9366.662,470,762.794
9399.999,410,709.186
9433.332,470,754.946
9466.662,410,704.196
9499.998,470,748.115
9533.331,410,704.131
