TimeStamp,Events,CH1-410,CH1-470,Unnamed: 4,ToneStart,PelletGrab

0.0,,827.823,841.868,,0,0

66.667,,827.134,841.468,,0,0

133.337,,825.786,840.906,,0,0

200.0,,825.258,840.761,,0,0

266.671,,824.183,839.961,,0,0

333.336,,824.191,839.237,,0,0

400.003,,823.611,838.567,,0,0

466.67,,823.006,837.369,,0,0

533.339,,822.437,836.177,,0,0

600.003,,822.332,835.547,,0,0

666.669,,821.351,834.282,,0,0

733.336,,821.162,832.881,,0,0

800.003,,820.577,832.11,,0,0

866.667,,820.219,831.117,,0,0

933.336,,820.127,830.653,,0,0

1000.003,,819.575,830.473,,0,0

1066.667,,819.399,829.819,,0,0

1133.334,,819.075,828.731,,0,0

1200.005,,818.778,827.89,,0,0

1266.669,,817.767,829.016,,0,0

1333.336,,818.454,829.65,,0,0

1399.999,,817.821,831.159,,0,0

1466.666,,817.333,832.575,,0,0

1533.336,,818.061,833.193,,0,0

1600.006,,817.404,834.257,,0,0

1666.669,,817.801,834.054,,0,0

1733.334,,817.022,834.37,,0,0

1800.0,,817.416,833.973,,0,0

1866.673,,817.206,833.341,,0,0

1933.337,,817.165,833.065,,0,0

2000.002,,816.767,832.59,,0,0

2066.671,,817.084,832.353,,0,0

2133.338,,816.775,833.469,,0,0

2200.001,,816.55,834.308,,0,0

2266.673,,816.824,836.161,,0,0

2333.337,,816.209,836.55,,0,0

2400.004,,816.349,836.161,,0,0

2466.669,,816.207,835.5,,0,0

2533.338,,815.5,835.364,,0,0

2600.002,,815.508,834.28,,0,0

2666.669,,815.641,833.982,,0,0

2733.336,,815.517,832.923,,0,0

2799.999,,815.431,832.064,,0,0

2866.672,,815.274,831.56,,0,0

2933.339,,815.435,830.848,,0,0

3000.004,,815.369,829.874,,0,0

3066.67,,815.02,829.029,,0,0

3133.336,,815.375,828.128,,0,0

3200.001,,815.463,827.033,,0,0

3266.666,,814.559,826.825,,0,0

3333.34,,814.052,827.723,,0,0

3400.003,,814.428,828.511,,0,0

3466.667,,814.161,828.769,,0,0

3533.337,,813.716,831.41,,0,0

3600.003,,814.129,833.314,,0,0

3666.666,,813.614,833.889,,0,0

3733.338,,813.557,835.115,,0,0

3800.0,,814.317,835.425,,0,0

3866.673,,813.98,834.694,,0,0

3933.336,,814.09,833.554,,0,0

4000.001,,814.005,833.043,,0,0

4066.668,,813.749,832.834,,0,0

4133.333,,813.861,832.405,,0,0

4200.0,,813.059,830.903,,0,0

4266.666,,813.123,831.788,,0,0

4333.337,,813.54,831.198,,0,0

4400.0,,813.343,830.209,,0,0

4466.667,,813.248,830.711,,0,0

4533.339,,813.412,830.357,,0,0

4600.0,,813.415,831.016,,0,0

4666.669,,813.635,830.406,,0,0

4733.337,,813.394,830.293,,0,0

4800.005,,813.561,828.898,,0,0

4866.672,,812.831,829.085,,0,0

4933.335,,812.829,828.566,,0,0

5000.003,,813.593,827.576,,0,0

5066.667,,813.091,827.088,,0,0

5133.337,,812.772,825.865,,0,0

5200.001,,812.959,825.41,,0,0

5266.672,,813.026,825.893,,0,0

5333.336,,813.365,825.531,,0,0

5400.006,,813.783,824.825,,0,0

5466.67,,812.563,824.544,,0,0

5533.335,,812.325,824.132,,0,0

5600.0,,812.47,824.063,,0,0

5666.67,,812.234,824.594,,0,0

5733.339,,812.116,824.574,,0,0

5800.0,,812.361,827.027,,0,0

5866.667,,811.599,829.128,,0,0

5933.339,,812.308,830.073,,0,0

6000.002,,811.613,830.249,,0,0

6066.666,,812.095,829.747,,0,0

6133.336,,812.072,830.029,,0,0

6200.006,,812.576,829.14,,0,0

6266.67,,812.19,828.407,,0,0

6333.335,,811.725,827.728,,0,0

6400.0,,812.062,827.327,,0,0

6466.67,,811.827,826.75,,0,0

6533.334,,811.522,825.734,,0,0

6600.0,,811.358,824.331,,0,0

6666.668,,810.738,823.583,,0,0

6733.333,,810.39,823.0,,0,0

6800.002,,810.827,822.462,,0,0

6866.666,,810.595,822.483,,0,0

6933.334,,811.2,821.156,,0,0

7000.001,,810.933,821.275,,0,0

7066.67,,811.081,821.314,,0,0

7133.337,,811.054,822.028,,0,0

7200.001,,810.966,823.683,,0,0

7266.668,,811.003,826.088,,0,0

7333.335,,810.35,827.455,,0,0

7400.001,,810.484,829.494,,0,0

7466.667,,810.37,831.532,,0,0

7533.333,,811.061,831.523,,0,0

7600.002,,810.829,831.107,,0,0

7666.668,,811.023,830.839,,0,0

7733.334,,810.917,830.17,,0,0

7800.005,,810.939,829.511,,0,0

7866.67,,810.074,829.984,,0,0

7933.337,,810.435,830.55,,0,0

8000.003,,810.217,829.61,,0,0

8066.667,,810.668,828.748,,0,0

8133.334,,810.162,827.973,,0,0

8200.004,,810.53,827.289,,0,0

8266.669,,810.349,827.663,,0,0

8333.336,,810.094,828.49,,0,0

8400.001,,810.496,829.052,,0,0

8466.67,,810.008,829.651,,0,0

8533.338,,809.996,829.789,,0,0

8600.004,,810.19,829.857,,0,0

8666.668,,809.579,829.964,,0,0

8733.338,,809.83,829.894,,0,0

8800.002,,809.771,829.892,,0,0

8866.667,,809.956,829.148,,0,0

8933.333,,809.673,828.431,,0,0

9000.006,,810.014,828.15,,0,0

9066.669,,810.159,828.031,,0,0

9133.334,,810.32,827.23,,0,0

9200.006,,810.275,826.378,,0,0

9266.672,,810.078,825.888,,0,0

9333.335,,810.015,824.932,,0,0

9400.006,,809.769,824.606,,0,0

9466.671,,809.422,823.865,,0,0

9533.336,,809.718,823.18,,0,0

9600.003,,809.678,822.405,,0,0

9666.669,,809.34,821.456,,0,0

9733.338,,809.526,820.603,,0,0

9800.002,,809.447,820.067,,0,0

9866.668,,809.299,819.146,,0,0

9933.339,,809.577,819.198,,0,0

10000.006,,809.911,819.234,,0,0

10066.668,,809.806,818.235,,0,0

10133.334,,810.277,817.716,,0,0

10200.002,,809.218,817.708,,0,0

10266.672,,809.765,818.105,,0,0

10333.335,,809.324,818.975,,0,0

10400.003,,809.459,819.917,,0,0

10466.667,,809.61,821.079,,0,0

10533.338,,809.098,821.616,,0,0

10600.003,,808.976,821.492,,0,0

10666.668,,808.52,821.236,,0,0

10733.334,,808.637,820.932,,0,0

10800.006,,809.422,820.623,,0,0

10866.672,,809.207,819.86,,0,0

10933.337,,808.852,819.31,,0,0

11000.002,,808.98,819.027,,0,0

11066.669,,809.359,818.395,,0,0

11133.338,,808.954,818.111,,0,0

11200.005,,808.543,817.529,,0,0

11266.667,,809.256,817.415,,0,0

11333.335,,808.836,817.025,,0,0

11400.005,,808.757,817.656,,0,0

11466.671,,808.284,818.703,,0,0

11533.338,,808.429,820.532,,0,0

11600.006,,808.713,821.417,,0,0

11666.671,,809.027,822.094,,0,0

11733.333,,808.645,822.113,,0,0

11800.002,,807.483,822.3,,0,0

11866.671,,807.486,822.26,,0,0

11933.339,,807.981,823.045,,0,0

12000.001,,808.293,823.656,,0,0

12066.667,,808.402,823.99,,0,0

12133.333,,808.379,823.42,,0,0

12200.002,,808.483,822.913,,0,0

12266.671,,808.433,822.484,,0,0

12333.338,,808.693,822.262,,0,0

12400.0,,808.533,821.576,,0,0

12466.671,,808.42,821.206,,0,0

12533.333,,808.457,821.07,,0,0

12600.001,,808.994,820.197,,0,0

12666.671,,808.736,819.755,,0,0

12733.337,,808.781,819.711,,0,0

12800.004,,808.416,819.636,,0,0

12866.666,,808.465,819.734,,0,0

12933.333,,808.22,819.479,,0,0

13000.0,,808.023,819.271,,0,0

13066.671,,808.022,818.676,,0,0

13133.337,,808.232,818.184,,0,0

13200.003,,808.439,817.837,,0,0

13266.672,,807.937,817.442,,0,0

13333.335,,807.789,817.35,,0,0

13400.005,,808.061,816.938,,0,0

13466.667,,807.6,816.487,,0,0

13533.337,,807.393,817.185,,0,0

13600.004,,808.275,818.399,,0,0

13666.669,,807.549,818.407,,0,0

13733.335,,807.31,819.944,,0,0

13800.005,,808.089,821.93,,0,0

13866.672,,808.19,822.565,,0,0

13933.334,,808.527,822.597,,0,0

14000.004,,808.17,822.487,,0,0

14066.668,,807.932,822.593,,0,0

14133.334,,807.837,822.298,,0,0

14200.0,,808.28,822.12,,0,0

14266.672,,808.087,821.531,,0,0

14333.336,,807.835,821.306,,0,0

14400.005,,807.855,820.57,,0,0

14466.67,,807.942,820.002,,0,0

14533.335,,808.066,819.396,,0,0

14600.005,,808.089,818.944,,0,0

14666.67,,808.301,818.696,,0,0

14733.339,,807.979,823.11,,0,0

14800.0,,807.638,825.842,,0,0

14866.669,,807.542,827.43,,0,0

14933.333,,807.638,828.546,,0,0

15000.004,,807.273,828.596,,0,0

15066.671,,807.58,827.875,,0,0

15133.339,,807.433,827.403,,0,0

15200.002,,807.697,826.559,,0,0

15266.667,,807.838,826.66,,0,0

15333.334,,807.729,825.8,,0,0

15400.004,,807.888,824.896,,0,0

15466.671,,807.881,824.053,,0,0

15533.334,,807.505,823.11,,0,0

15600.005,,808.233,822.27,,0,0

15666.672,,807.771,821.34,,0,0

15733.334,,807.988,820.996,,0,0

15800.004,,807.786,820.453,,0,0

15866.67,,808.037,820.245,,0,0

15933.335,,807.95,818.814,,0,0

15999.98,,807.895,818.621,,0,0

16066.626,,808.027,818.1,,0,0

16133.27,,807.534,818.052,,0,0

16199.916,,807.672,818.8,,0,0

16266.557,,807.828,820.057,,0,0

16333.2,,807.716,822.932,,0,0

16399.845,,807.186,827.362,,0,0

16466.483,,807.864,828.618,,0,0

16533.129,,807.42,829.602,,0,0

16599.772,,807.128,829.731,,0,0

16666.414,,806.807,829.944,,0,0

16733.06,,807.304,829.908,,0,0

16799.703,,807.503,829.474,,0,0

16866.343,,807.328,828.572,,0,0

16932.983,,807.185,827.673,,0,0

16999.624,,806.913,826.999,,0,0

17066.264,,807.399,826.419,,0,0

17132.907,,807.531,826.405,,0,0

17199.548,,807.576,825.351,,0,0

17266.186,,807.23,825.136,,0,0

17332.833,,807.671,824.1,,0,0

17399.469,,807.387,823.38,,0,0

17466.109,,807.304,822.742,,0,0

17532.754,,807.46,821.815,,0,0

17599.395,,807.325,821.27,,0,0

17666.034,,807.512,820.511,,0,0

17732.674,,807.298,819.662,,0,0

17799.313,,807.407,818.974,,0,0

17865.949,,807.307,818.124,,0,0

17932.591,,807.387,817.42,,0,0

17999.225,,807.454,816.939,,0,0

18065.867,,807.045,816.15,,0,0

18132.505,,806.737,815.955,,0,0

18199.142,,807.242,815.057,,0,0

18265.779,,806.83,814.781,,0,0

18332.422,,806.881,814.497,,0,0

18399.058,,806.947,814.849,,0,0

18465.693,,806.969,815.494,,0,0

18532.329,,807.087,815.829,,0,0

18598.971,,807.002,817.978,,0,0

18665.609,,806.684,820.845,,0,0

18732.243,,806.032,824.312,,0,0

18798.88,,806.826,825.674,,0,0

18865.518,,807.078,826.688,,0,0

18932.154,,807.006,826.233,,0,0

18998.79,,806.761,825.92,,0,0

19065.423,,806.459,825.311,,0,0

19132.059,,806.932,824.832,,0,0

19198.693,,807.161,823.617,,0,0

19265.329,,807.368,823.256,,0,0

19331.963,,807.41,822.397,,0,0

19398.602,,807.412,822.095,,0,0

19465.238,,807.446,820.828,,0,0

19531.872,,806.988,820.012,,0,0

19598.505,,806.988,819.588,,0,0

19665.14,,806.869,819.167,,0,0

19731.775,,806.577,819.218,,0,0

19798.411,,806.857,819.389,,0,0

19865.039,,806.931,819.358,,0,0

19931.672,,807.207,819.193,,0,0

19998.305,,806.976,818.239,,0,0

20064.941,,806.869,818.403,,0,0

20131.577,,807.108,819.561,,0,0

20198.209,,806.642,821.406,,0,0

20264.842,,806.03,822.578,,0,0

20331.474,,806.402,823.351,,0,0

20398.106,,805.997,824.201,,0,0

20464.738,,806.15,825.516,,0,0

20531.367,,806.121,826.544,,0,0

20597.997,,806.514,826.647,,0,0

20664.628,,807.318,826.289,,0,0

20731.261,,806.886,826.332,,0,0

20797.89,,806.853,825.452,,0,0

20864.526,,806.661,825.148,,0,0

20931.152,,806.521,824.782,,0,0

20997.789,,806.41,823.575,,0,0

21064.417,,806.241,823.585,,0,0

21131.045,,806.473,823.453,,0,0

21197.677,,806.722,824.07,,0,0

21264.305,,806.403,823.947,,0,0

21330.934,,806.433,824.398,,0,0

21397.566,,806.728,823.75,,0,0

21464.191,,806.386,824.344,,0,0

21530.826,,806.469,823.691,,0,0

21597.45,,806.133,822.297,,0,0

21664.083,,804.911,821.286,,0,0

21730.713,,805.154,822.281,,0,0

21797.34,,806.105,823.957,,0,0

21863.965,,805.877,823.731,,0,0

21930.593,,805.879,821.725,,0,0

21997.223,,806.132,823.506,,0,0

22063.848,,806.685,822.977,,0,0

22130.478,,805.45,823.257,,0,0

22197.102,,806.526,825.398,,0,0

22263.731,,805.682,826.95,,0,0

22330.358,,806.271,831.444,,0,0

22396.983,,805.368,833.154,,0,0

22463.611,,805.226,835.136,,0,0

22530.238,,806.531,835.448,,0,0

22596.865,,806.187,834.342,,0,0

22663.488,,806.452,833.948,,0,0

22730.118,,806.601,833.31,,0,0

22796.739,,806.313,832.022,,0,0

22863.363,,806.77,832.126,,0,0

22929.989,,806.766,831.47,,0,0

22996.618,,806.431,830.785,,0,0

23063.239,,806.126,830.3,,0,0

23129.869,,806.183,829.216,,0,0

23196.487,,806.012,829.983,,0,0

23263.112,,806.457,830.608,,0,0

23329.738,,806.039,830.924,,0,0

23396.362,,806.021,830.158,,0,0

23462.989,,806.459,830.549,,0,0

23529.613,,806.223,829.85,,0,0

23596.232,,806.322,829.168,,0,0

23662.853,,806.494,828.395,,0,0

23729.482,,806.634,828.409,,0,0

23796.1,,806.99,827.63,,0,0

23862.723,,806.986,827.952,,0,0

23929.346,,806.745,827.707,,0,0

23996.004,,806.456,827.166,,0,0

24062.663,,805.904,826.464,,0,0

24129.32,,806.222,827.373,,0,0

24195.979,,806.154,827.208,,0,0

24262.638,,806.329,827.31,,0,0

24329.299,,806.73,827.448,,0,0

24395.959,,806.525,827.561,,0,0

24462.616,,805.89,826.675,,0,0

24529.276,,805.797,826.342,,0,0

24595.935,,805.814,825.095,,0,0

24662.595,,805.85,824.903,,0,0

24729.255,,805.318,825.141,,0,0

24795.909,,805.731,825.72,,0,0

24862.571,,805.425,830.072,,0,0

24929.228,,805.422,837.228,,0,0

24995.885,,806.319,839.751,,0,0

25062.548,,806.151,840.541,,0,0

25129.206,,806.35,840.986,,0,0

25195.863,,805.878,840.878,,0,0

25262.527,,805.617,840.701,,0,0

25329.181,,805.961,840.509,,0,0

25395.842,,806.311,838.648,,0,0

25462.5,,805.609,837.387,,0,0

25529.159,,805.746,835.909,,0,0

25595.818,,805.795,836.048,,0,0

25662.479,,806.165,833.872,,0,0

25729.138,,805.707,832.89,,0,0

25795.794,,805.783,831.805,,0,0

25862.452,,805.593,831.488,,0,0

25929.113,,805.466,831.2,,0,0

25995.777,,805.474,829.583,,0,0

26062.431,,804.754,829.567,,0,0

26129.096,,804.518,828.567,,0,0

26195.752,,805.433,829.674,,0,0

26262.414,,804.836,827.556,,0,0

26329.07,,805.1,827.18,,0,0

26395.731,,804.792,827.743,,0,0

26462.39,,805.193,825.367,,0,0

26529.047,,805.651,826.254,,0,0

26595.707,,805.138,824.478,,0,0

26662.37,,805.687,824.259,,0,0

26729.027,,805.917,823.8,,0,0

26795.684,,805.594,822.769,,0,0

26862.348,,805.682,822.371,,0,0

26929.002,,806.161,821.565,,0,0

