TimeStamp,Lights,Channel1
0.000,410,509.135
33.339,470,581.084
66.668,410,508.714
100.002,470,580.127
133.333,410,508.611
166.672,470,579.298
199.995,410,507.876
233.337,470,578.468
266.665,410,507.857
300.005,470,577.855
333.334,410,507.974
366.668,470,577.455
400.000,410,507.204
433.334,470,576.401
466.667,410,507.020
500.003,470,575.863
533.337,410,507.075
566.668,470,575.622
600.001,410,507.248
633.334,470,575.678
666.667,410,507.208
700.005,470,575.659
733.337,410,506.845
766.670,470,575.101
800.005,410,506.733
833.334,470,574.396
866.671,410,505.521
900.000,470,573.596
933.337,410,504.936
966.672,470,573.283
1000.003,410,504.610
1033.334,470,572.486
1066.665,410,504.148
1100.003,470,572.012
1133.339,410,503.825
1166.667,470,571.266
1200.002,410,503.012
1233.332,470,570.722
1266.671,410,502.779
1300.002,470,570.332
1333.334,410,502.508
1366.665,470,570.381
1400.000,410,502.138
1433.336,470,569.824
1466.667,410,501.879
1500.001,470,569.219
1533.334,410,501.775
1566.666,470,568.619
1600.000,410,501.461
1633.338,470,568.138
1666.665,410,501.352
1700.000,470,567.091
1733.335,410,501.214
1766.671,470,566.213
1800.002,410,500.500
1833.338,470,565.431
1866.671,410,500.356
1900.004,470,564.823
1933.338,410,499.999
1966.666,470,564.386
2000.001,410,499.642
2033.339,470,564.391
2066.669,410,499.027
2100.001,470,564.364
2133.335,410,498.832
2166.668,470,564.130
2200.000,410,498.803
2233.336,470,564.127
2266.672,410,498.431
2300.000,470,563.592
2333.336,410,497.962
2366.668,470,563.391
2400.003,410,497.616
2433.333,470,563.532
2466.668,410,497.101
2500.001,470,563.488
2533.334,410,496.717
2566.667,470,563.861
2600.002,410,496.621
2633.335,470,563.779
2666.667,410,495.826
2700.004,470,563.079
2733.338,410,496.271
2766.666,470,561.509
2800.003,410,496.304
2833.336,470,560.568
2866.667,410,496.089
2900.005,470,559.892
2933.333,410,495.939
2966.669,470,558.838
2999.999,410,495.782
3033.339,470,558.467
3066.668,410,495.565
3100.005,470,558.071
3133.335,410,495.129
3166.668,470,559.016
3200.002,410,494.899
3233.335,470,559.698
3266.669,410,494.830
3300.005,470,560.341
3333.337,410,494.710
3366.668,470,560.528
3399.999,410,494.897
3433.334,470,559.650
3466.668,410,494.621
3500.000,470,559.324
3533.334,410,494.678
3566.666,470,559.475
3600.001,410,494.560
3633.334,470,560.179
3666.669,410,494.410
3700.002,470,561.030
3733.335,410,493.956
3766.668,470,561.055
3800.005,410,493.843
3833.335,470,560.094
3866.667,410,494.083
3900.004,470,559.390
3933.338,410,493.849
3966.671,470,558.480
4000.001,410,493.706
4033.336,470,558.349
4066.665,410,493.527
4100.004,470,557.622
4133.338,410,493.234
4166.671,470,556.611
4200.000,410,493.233
4233.335,470,555.561
4266.669,410,493.084
4299.999,470,555.205
4333.332,410,493.202
4366.665,470,555.031
4400.005,410,493.116
4433.332,470,555.420
4466.666,410,492.122
4500.005,470,555.594
4533.334,410,490.650
4566.670,470,554.850
4600.003,410,489.845
4633.334,470,554.284
4666.670,410,489.480
4700.001,470,553.812
4733.338,410,489.008
4766.667,470,553.613
4800.005,410,489.216
