TimeStamp,Events,UV,Fluorescence,TimeStampAdjusted,Fluorescence_Corrected,Fluorescence_Corrected_Z
100052.665,,556.852,561.762,100.05266499999999,-0.246639868475129,-0.020177449466918417
100119.323,,558.645,563.637,100.11932300000001,2.195692627185135,0.09213543528335674
100185.981,,563.622,571.911,100.185981,4.09570829733639,0.179509386768093
100252.633,,562.012,572.253,100.252633,5.140779466263117,0.2275679365192281
100319.295,,564.887,565.831,100.319295,5.371604417593572,0.23818263218508448
100385.951,,556.833,563.977,100.385951,5.121356943066033,0.22667477409631076
100452.605,,555.188,565.102,100.45260499999999,4.8108604372301285,0.21239630941663432
100519.267,,563.072,564.604,100.51926700000001,4.738131706030422,0.20905181245736254
100585.921,,557.879,569.097,100.585921,4.979325991902252,0.22014335141845082
100652.579,,556.606,566.781,100.652579,5.420080282494142,0.24041183899350302
100719.239,,558.666,569.623,100.719239,5.862859738414839,0.2607734556411031
100785.895,,555.26,569.66,100.78589500000001,6.140319869202149,0.27353271251840516
100852.549,,551.303,564.229,100.852549,6.1875518272734435,0.2757047171380943
100919.208,,554.087,572.769,100.919208,6.062804350637156,0.26996809078143136
100985.866,,550.97,568.154,100.985866,5.927781895803946,0.26375896019199385
101052.52,,550.495,564.272,101.05252,5.983002644325493,0.2662983366182358
101119.18,,552.28,565.164,101.11918,6.350875446286208,0.2832153025443699
101185.832,,553.21,566.772,101.18583199999999,6.958999355694048,0.31118043451250715
101252.496,,553.156,569.866,101.252496,7.519873023033832,0.33697272105470777
101319.148,,560.864,571.065,101.319148,7.650677574255486,0.3429878875041053
101385.805,,559.054,572.843,101.38580499999999,7.084086082356607,0.3169326615906811
101452.462,,556.695,570.425,101.452462,5.868654279005886,0.2610399228689435
101519.12,,557.3,571.464,101.51912,4.454012672612012,0.19598633987638425
101585.779,,550.168,561.662,101.58577899999999,3.585074508217414,0.1560274267938383
101652.435,,541.932,558.345,101.652435,4.000632451683962,0.17513723739274376
101719.093,,539.697,556.987,101.71909299999999,6.056207779645629,0.2696647414549843
101785.748,,543.33,575.343,101.78574800000001,9.494798939418477,0.42779148845487525
101852.409,,552.003,577.711,101.852409,13.531285973728409,0.6134130219217475
101919.067,,549.186,582.323,101.919067,17.196274102989243,0.7819508398086275
101985.718,,549.4,582.744,101.98571799999999,19.71784734915232,0.8979076826582038
102052.376,,549.986,581.77,102.05237600000001,20.758102369650484,0.9457447574363946
102119.032,,547.926,583.486,102.119032,20.465672113804576,0.9322970857206581
102185.692,,548.981,583.617,102.18569199999999,19.391438983507804,0.8828974966097037
102252.348,,547.087,578.235,102.252348,18.30644180934754,0.8330029131357642
102319.007,,545.983,574.481,102.319007,17.9347974259573,0.8159125076017254
102385.661,,541.116,571.638,102.385661,18.655036587717184,0.849033361585001
102452.318,,538.362,579.585,102.452318,20.308836373039142,0.9250848513059698
