TimeStamp,Name,State
31240.649,Input1,0
31352.276,Input1,1
140050.786,Input1,0
140551.621,Input1,1
290659.740,Input1,0
290756.360,Input1,1
557626.258,Input1,0
557721.938,Input1,1
564386.620,Input1,0
564882.963,Input1,1
691673.848,Input1,0
691769.527,Input1,1
699041.183,Input1,0
699554.366,Input1,1
977914.577,Input1,0
978010.260,Input1,1
984755.619,Input1,0
985251.021,Input1,1
1090794.251,Input1,0
1090906.871,Input1,1
1097507.025,Input1,0
1098002.723,Input1,1
1235769.001,Input1,0
1235880.626,Input1,1
1242161.947,Input1,0
1242657.062,Input1,1
1403865.656,Input1,0
1403961.336,Input1,1
1410050.264,Input1,0
1410545.722,Input1,1
1479412.825,Input1,0
1479524.452,Input1,1
1490967.973,Input1,0
1491463.317,Input1,1
1740293.127,Input1,0
1740388.802,Input1,1
1747357.778,Input1,0
1747854.280,Input1,1
1885940.245,Input1,0
1886036.920,Input1,1
1892301.645,Input1,0
1892812.982,Input1,1
1989371.891,Input1,0
1989467.665,Input1,1
1995860.605,Input1,0
1996356.944,Input1,1
2212182.348,Input1,0
2212278.467,Input1,1
2218335.603,Input1,0
2218830.618,Input1,1
2335769.156,Input1,0
2335863.837,Input1,1
2342113.009,Input1,0
2342609.540,Input1,1
2457282.505,Input1,0
2457378.183,Input1,1
2463467.988,Input1,0
2463962.505,Input1,1
2681114.939,Input1,0
2681211.623,Input1,1
2697640.692,Input1,0
2698152.007,Input1,1
2777869.820,Input1,0
2777965.498,Input1,1
2784598.051,Input1,0
2785092.790,Input1,1
2923245.665,Input1,0
2923341.374,Input1,1
2930064.427,Input1,0
2930559.550,Input1,1
3053363.515,Input1,0
3053475.142,Input1,1
3061226.564,Input1,0
3061739.069,Input1,1
3158399.050,Input1,0
3158511.622,Input1,1
3164840.084,Input1,0
3165334.924,Input1,1
3289257.661,Input1,0
3289353.344,Input1,1
3295634.343,Input1,0
3296129.742,Input1,1
3433739.231,Input1,0
3433850.856,Input1,1
3440179.920,Input1,0
3440691.269,Input1,1
