TimeStamp,Lights,Channel1
0.000,410,656.704
33.338,470,742.162
66.671,410,647.732
100.006,470,738.219
133.335,410,641.845
166.672,470,724.382
200.004,410,633.068
233.335,470,712.723
266.668,410,625.198
300.001,470,708.790
333.334,410,625.278
366.672,470,708.382
400.004,410,623.954
433.338,470,702.953
466.668,410,616.430
500.003,470,698.252
533.338,410,623.985
566.671,470,710.163
600.004,410,621.504
633.334,470,694.857
666.669,410,615.923
700.002,470,689.172
733.339,410,617.962
766.671,470,687.140
800.000,410,616.348
833.335,470,690.960
866.671,410,613.278
900.001,470,686.296
933.339,410,606.392
966.666,470,687.465
1000.002,410,612.538
1033.337,470,688.424
1066.667,410,613.337
1100.000,470,692.780
1133.337,410,611.765
1166.671,470,699.885
1200.003,410,611.514
1233.338,470,691.356
1266.667,410,603.699
1300.003,470,685.080
1333.335,410,605.546
1366.671,470,691.945
1400.005,410,604.069
1433.338,470,693.910
1466.668,410,607.238
1500.002,470,694.463
1533.338,410,606.677
1566.671,470,699.979
1600.002,410,609.550
1633.334,470,699.451
1666.668,410,606.024
1700.002,470,691.776
1733.333,410,607.889
1766.670,470,689.405
1800.004,410,606.897
1833.336,470,687.036
1866.672,410,605.817
1900.003,470,688.208
1933.337,410,608.303
1966.669,470,690.934
2000.004,410,610.316
2033.339,470,686.832
2066.671,410,605.903
2100.004,470,694.425
2133.336,410,606.050
2166.671,470,700.608
2200.003,410,603.877
2233.334,470,697.016
2266.669,410,603.248
2300.003,470,700.278
2333.338,410,598.623
2366.672,470,700.500
2400.003,410,602.078
2433.337,470,698.305
2466.673,410,603.654
2500.004,470,703.993
2533.337,410,606.879
2566.673,470,706.722
2600.004,410,605.798
2633.334,470,707.776
2666.668,410,604.283
2700.006,470,697.104
2733.334,410,603.269
2766.670,470,694.971
2800.003,410,604.085
2833.333,470,681.912
2866.670,410,602.386
2900.006,470,674.115
2933.339,410,605.332
2966.673,470,662.320
3000.005,410,600.043
3033.334,470,653.634
3066.667,410,603.974
3100.003,470,651.545
3133.333,410,598.697
3166.666,470,645.394
3200.003,410,602.611
3233.337,470,650.906
3266.669,410,599.075
3300.000,470,645.227
3333.337,410,599.493
3366.671,470,642.914
3400.000,410,600.286
3433.339,470,642.653
3466.669,410,598.008
3500.004,470,638.882
3533.339,410,597.959
3566.672,470,642.408
3600.001,410,600.160
3633.339,470,648.768
3666.672,410,596.116
3700.005,470,658.984
3733.338,410,593.602
3766.668,470,673.859
3800.006,410,591.988
3833.339,470,684.451
3866.669,410,595.577
3900.006,470,684.419
3933.338,410,589.242
3966.668,470,695.536
4000.003,410,594.630
4033.338,470,704.478
4066.667,410,596.249
4100.005,470,693.571
4133.340,410,594.696
4166.668,470,699.111
4200.000,410,597.330
4233.335,470,695.719
4266.673,410,600.208
4300.003,470,693.481
4333.336,410,602.246
4366.666,470,699.886
4400.005,410,607.020
4433.338,470,701.484
4466.671,410,603.941
4500.000,470,695.812
4533.335,410,606.154
4566.669,470,694.086
4600.004,410,605.192
4633.338,470,699.962
4666.671,410,605.460
4700.004,470,691.067
4733.335,410,604.314
4766.666,470,691.485
4800.003,410,605.890
4833.333,470,686.868
4866.670,410,601.870
4900.006,470,673.721
4933.336,410,598.084
4966.671,470,669.415
5000.001,410,594.569
5033.334,470,659.880
5066.671,410,597.763
5100.002,470,652.778
5133.339,410,596.683
5166.670,470,653.705
5200.001,410,595.102
5233.333,470,646.509
5266.671,410,597.227
5300.003,470,643.595
5333.337,410,595.543
5366.670,470,638.868
5400.005,410,598.504
5433.337,470,636.071
5466.670,410,600.684
5500.006,470,632.763
5533.338,410,597.980
5566.670,470,628.785
5600.001,410,599.663
5633.337,470,635.383
5666.671,410,599.829
5700.002,470,635.102
5733.333,410,597.579
5766.670,470,640.577
5800.003,410,599.532
5833.337,470,653.878
5866.668,410,598.444
5900.006,470,653.787
5933.334,410,597.489
5966.669,470,661.295
6000.002,410,597.702
6033.339,470,655.211
6066.672,410,580.211
6100.005,470,634.609
6133.333,410,575.872
6166.672,470,667.055
6200.001,410,582.457
6233.339,470,666.761
6266.667,410,578.354
6300.000,470,669.479
6333.338,410,570.425
6366.668,470,654.123
6400.004,410,565.641
6433.337,470,652.226
6466.668,410,564.782
6500.006,470,655.677
6533.333,410,582.673
6566.673,470,671.204
6600.004,410,588.511
6633.338,470,668.951
6666.671,410,591.789
6700.005,470,679.581
6733.340,410,595.840
6766.669,470,690.463
6800.000,410,594.704
6833.337,470,685.863
6866.673,410,599.266
6900.004,470,698.351
6933.335,410,594.559
6966.673,470,680.644
7000.000,410,589.098
7033.339,470,700.381
7066.667,410,588.721
7100.000,470,697.478
7133.335,410,571.144
7166.669,470,671.023
7200.000,410,567.144
7233.337,470,666.011
7266.673,410,572.970
7300.005,470,688.989
7333.339,410,579.875
7366.671,470,703.507
7400.001,410,599.099
7433.335,470,709.178
7466.671,410,595.645
7500.005,470,706.486
7533.339,410,597.398
7566.667,470,706.874
7600.004,410,602.724
7633.336,470,693.915
7666.668,410,590.469
7700.005,470,680.286
7733.336,410,590.118
7766.667,470,677.180
7800.004,410,590.620
7833.338,470,685.931
7866.668,410,591.176
7900.005,470,700.675
7933.336,410,591.399
7966.666,470,701.840
8000.002,410,589.148
8033.335,470,690.452
8066.667,410,589.482
8100.003,470,693.533
8133.337,410,595.479
8166.670,470,686.525
8200.002,410,592.238
8233.333,470,679.998
8266.672,410,589.492
8300.005,470,665.588
8333.336,410,592.692
8366.667,470,652.247
8400.004,410,575.033
8433.334,470,645.466
8466.669,410,598.218
8500.006,470,670.867
8533.337,410,599.122
8566.667,470,663.533
8600.001,410,602.884
8633.334,470,677.086
8666.672,410,609.327
8700.003,470,687.912
8733.338,410,605.528
8766.668,470,701.015
8800.004,410,604.724
8833.338,470,700.167
8866.671,410,592.277
8900.006,470,693.788
8933.334,410,587.859
8966.669,470,692.121
9000.005,410,589.047
9033.335,470,691.888
9066.667,410,590.589
9100.005,470,693.904
9133.336,410,592.338
9166.667,470,700.738
9200.002,410,596.647
9233.333,470,702.039
9266.671,410,600.620
9300.003,470,699.544
9333.340,410,597.635
9366.670,470,695.419
9400.005,410,594.225
9433.335,470,695.331
9466.673,410,595.350
9500.005,470,687.799
9533.335,410,593.383
9566.672,470,686.994
9600.006,410,590.337
9633.337,470,680.049
9666.670,410,593.305
9700.003,470,688.593
9733.334,410,589.198
9766.671,470,685.354
9800.000,410,567.889
9833.336,470,664.147
9866.670,410,592.461
9900.006,470,681.379
9933.339,410,560.898
9966.667,470,665.854
10000.000,410,574.612
10033.336,470,651.324
10066.668,410,573.482
10100.004,470,698.642
10133.335,410,563.157
10166.668,470,673.967
10200.006,410,580.858
10233.338,470,675.949
10266.672,410,565.393
10300.005,470,710.948
10333.334,410,585.840
10366.668,470,674.608
10400.002,410,579.024
10433.336,470,710.735
10466.669,410,581.308
10500.004,470,695.107
10533.336,410,584.911
10566.668,470,700.288
10600.002,410,585.979
10633.335,470,717.209
10666.667,410,587.945
10700.001,470,701.392
10733.337,410,584.360
10766.671,470,696.764
10800.002,410,586.198
10833.336,470,692.290
10866.669,410,581.493
10900.006,470,683.535
10933.333,410,586.305
10966.666,470,690.659
11000.004,410,595.692
11033.338,470,684.981
11066.673,410,583.321
11100.004,470,683.709
11133.339,410,593.919
11166.672,470,690.755
11200.003,410,582.286
11233.333,470,683.795
11266.670,410,582.804
11300.003,470,696.485
11333.336,410,581.803
