TimeStamp,Events,CH1-410,CH1-470,Unnamed: 4,ToneStart,PelletGrab

0.0,,656.704,742.162,,0,0

66.671,,647.732,738.219,,0,0

133.335,,641.845,724.382,,0,0

200.004,,633.068,712.723,,0,0

266.668,,625.198,708.79,,0,0

333.334,,625.278,708.382,,0,0

400.004,,623.954,702.953,,0,0

466.668,,616.43,698.252,,0,0

533.338,,623.985,710.163,,0,0

600.004,,621.504,694.857,,0,0

666.669,,615.923,689.172,,0,0

733.339,,617.962,687.14,,0,0

800.0,,616.348,690.96,,0,0

866.671,,613.278,686.296,,0,0

933.339,,606.392,687.465,,0,0

1000.002,,612.538,688.424,,0,0

1066.667,,613.337,692.78,,0,0

1133.337,,611.765,699.885,,0,0

1200.003,,611.514,691.356,,0,0

1266.667,,603.699,685.08,,0,0

1333.335,,605.546,691.945,,0,0

1400.005,,604.069,693.91,,0,0

1466.668,,607.238,694.463,,0,0

1533.338,,606.677,699.979,,0,0

1600.002,,609.55,699.451,,0,0

1666.668,,606.024,691.776,,0,0

1733.333,,607.889,689.405,,0,0

1800.004,,606.897,687.036,,0,0

1866.672,,605.817,688.208,,0,0

1933.337,,608.303,690.934,,0,0

2000.004,,610.316,686.832,,0,0

2066.671,,605.903,694.425,,0,0

2133.336,,606.05,700.608,,0,0

2200.003,,603.877,697.016,,0,0

2266.669,,603.248,700.278,,0,0

2333.338,,598.623,700.5,,0,0

2400.003,,602.078,698.305,,0,0

2466.673,,603.654,703.993,,0,0

2533.337,,606.879,706.722,,0,0

2600.004,,605.798,707.776,,0,0

2666.668,,604.283,697.104,,0,0

2733.334,,603.269,694.971,,0,0

2800.003,,604.085,681.912,,0,0

2866.67,,602.386,674.115,,0,0

2933.339,,605.332,662.32,,0,0

3000.005,,600.043,653.634,,0,0

3066.667,,603.974,651.545,,0,0

3133.333,,598.697,645.394,,0,0

3200.003,,602.611,650.906,,0,0

3266.669,,599.075,645.227,,0,0

3333.337,,599.493,642.914,,0,0

3400.0,,600.286,642.653,,0,0

3466.669,,598.008,638.882,,0,0

3533.339,,597.959,642.408,,0,0

3600.001,,600.16,648.768,,0,0

3666.672,,596.116,658.984,,0,0

3733.338,,593.602,673.859,,0,0

3800.006,,591.988,684.451,,0,0

3866.669,,595.577,684.419,,0,0

3933.338,,589.242,695.536,,0,0

4000.003,,594.63,704.478,,0,0

4066.667,,596.249,693.571,,0,0

