TimeStamp,Lights,Channel1
0.000,410,753.224
33.332,470,654.518
66.667,410,745.000
99.995,470,647.790
133.329,410,738.865
166.667,470,644.538
199.996,410,732.685
233.333,470,640.924
266.664,410,728.306
299.995,470,636.574
333.333,410,723.711
366.666,470,633.866
400.000,410,719.937
433.333,470,627.826
466.663,410,717.321
499.998,470,620.550
533.331,410,713.685
566.665,470,621.312
599.996,410,713.330
633.333,470,618.573
666.666,410,713.048
699.997,470,616.488
733.332,410,711.792
766.661,470,615.274
799.994,410,709.568
833.334,470,614.569
866.665,410,706.617
899.999,470,615.178
933.330,410,704.722
966.668,470,614.980
999.994,410,702.724
1033.334,470,618.370
1066.663,410,699.349
1099.999,470,629.988
1133.330,410,699.313
1166.667,470,641.656
1199.999,410,699.766
1233.332,470,667.226
1266.667,410,700.566
1299.999,470,677.962
1333.333,410,699.620
1366.661,470,685.378
1399.999,410,700.591
1433.330,470,687.183
1466.664,410,700.408
1499.996,470,683.353
1533.328,410,698.168
1566.665,470,686.644
1599.997,410,699.414
1633.331,470,685.658
1666.661,410,700.310
1699.995,470,683.694
1733.332,410,701.735
1766.667,470,678.743
1799.999,410,703.462
1833.332,470,675.214
1866.665,410,701.182
1899.995,470,671.906
1933.334,410,702.419
1966.666,470,668.517
1999.998,410,700.984
2033.331,470,666.512
2066.665,410,701.240
2099.995,470,665.241
2133.333,410,703.435
2166.667,470,668.534
2199.998,410,701.173
2233.328,470,671.139
2266.661,410,699.605
2299.994,470,667.034
2333.328,410,696.903
2366.665,470,663.525
2399.996,410,695.231
2433.330,470,662.172
2466.665,410,694.102
2500.000,470,662.841
2533.328,410,694.650
2566.661,470,661.021
2599.997,410,695.964
2633.330,470,662.605
2666.663,410,695.801
2699.997,470,660.265
2733.330,410,696.548
2766.666,470,658.318
2799.999,410,695.251
2833.333,470,656.307
2866.662,410,696.153
2899.996,470,651.050
2933.334,410,696.039
2966.661,470,647.133
2999.997,410,694.414
3033.329,470,643.570
3066.661,410,696.734
3100.001,470,641.707
3133.334,410,697.441
3166.664,470,635.919
3199.999,410,697.518
3233.332,470,631.626
3266.665,410,695.500
3300.000,470,629.436
3333.328,410,697.355
3366.664,470,625.954
3399.994,410,697.851
3433.328,470,623.533
3466.666,410,699.115
3499.999,470,620.500
3533.333,410,698.763
3566.663,470,620.632
3599.998,410,697.783
3633.332,470,620.519
3666.666,410,697.524
3699.999,470,621.837
3733.333,410,698.314
3766.662,470,625.489
3799.994,410,698.383
3833.333,470,625.049
3866.664,410,699.711
3899.998,470,623.504
3933.330,410,699.666
3966.666,470,621.303
3999.999,410,697.886
4033.332,470,617.874
4066.667,410,697.838
4099.996,470,616.339
4133.334,410,698.153
4166.665,470,613.220
4199.995,410,696.692
4233.332,470,612.523
4266.661,410,696.562
4299.999,470,611.045
4333.332,410,698.130
4366.662,470,608.603
4400.000,410,696.504
4433.331,470,605.737
4466.661,410,695.857
4499.994,470,603.308
4533.332,410,694.449
4566.667,470,601.251
4599.999,410,696.205
4633.330,470,599.104
4666.664,410,696.587
4700.000,470,595.524
4733.331,410,696.734
4766.661,470,593.144
4799.999,410,696.570
4833.332,470,591.111
4866.661,410,697.249
4899.997,470,591.589
4933.330,410,696.841
4966.664,470,591.765
5000.001,410,697.649
5033.334,470,593.604
5066.662,410,698.067
5099.997,470,597.724
5133.329,410,699.461
5166.661,470,599.363
5200.000,410,700.657
5233.334,470,602.843
5266.663,410,702.655
5299.994,470,606.234
5333.331,410,699.888
5366.665,470,612.168
5400.000,410,701.615
5433.332,470,616.373
5466.662,410,700.985
5499.999,470,618.784
5533.334,410,699.982
5566.663,470,623.410
5599.996,410,699.640
5633.332,470,621.116
5666.662,410,699.552
5700.001,470,620.134
5733.332,410,698.246
5766.663,470,618.380
5799.997,410,699.246
5833.328,470,617.454
5866.667,410,698.858
5899.999,470,614.404
5933.329,410,698.491
5966.664,470,612.877
5999.995,410,697.916
6033.330,470,613.195
6066.666,410,696.859
6099.999,470,614.439
6133.328,410,697.087
6166.662,470,616.226
6200.000,410,699.722
6233.334,470,618.579
6266.662,410,699.873
6299.998,470,613.944
6333.331,410,699.297
6366.667,470,612.642
6399.996,410,699.193
6433.333,470,613.440
6466.663,410,699.723
6499.996,470,619.048
6533.334,410,700.567
6566.665,470,622.110
6599.995,410,698.901
6633.330,470,621.988
6666.664,410,697.632
6699.998,470,620.541
6733.333,410,696.702
6766.661,470,623.550
6799.997,410,697.411
6833.332,470,629.300
6866.661,410,697.819
6900.000,470,629.620
6933.329,410,696.406
6966.664,470,630.780
6999.998,410,696.787
7033.330,470,629.178
7066.661,410,696.779
7100.000,470,626.104
7133.332,410,696.220
7166.667,470,623.112
7199.995,410,696.463
7233.330,470,623.675
7266.663,410,694.176
7299.997,470,622.668
7333.332,410,695.838
7366.662,470,621.583
7400.000,410,697.157
7433.332,470,619.270
7466.664,410,696.995
7500.001,470,615.945
7533.332,410,697.297
7566.665,470,612.440
7599.997,410,696.536
7633.327,470,608.986
7666.664,410,695.124
7699.994,470,605.557
7733.333,410,691.659
7766.665,470,603.284
7799.997,410,693.618
7833.333,470,603.670
7866.666,410,693.112
7899.995,470,606.253
7933.334,410,695.833
7966.666,470,607.381
8000.000,410,697.967
8033.334,470,608.457
8066.666,410,698.900
8099.996,470,608.224
8133.331,410,698.813
8166.663,470,610.498
8199.999,410,699.326
8233.331,470,609.027
8266.661,410,700.131
8300.000,470,607.340
8333.334,410,699.592
8366.666,470,605.877
8399.998,410,698.913
8433.328,470,607.270
8466.662,410,698.940
8499.997,470,608.575
8533.328,410,699.049
8566.663,470,613.499
8599.998,410,699.429
8633.334,470,618.312
8666.663,410,699.418
8699.996,470,618.935
8733.332,410,697.836
8766.665,470,617.887
8800.001,410,695.863
8833.331,470,618.691
8866.666,410,696.624
8899.997,470,621.941
8933.333,410,700.911
8966.665,470,620.128
9000.000,410,701.070
9033.331,470,617.394
9066.664,410,702.178
9099.996,470,616.188
9133.332,410,703.122
9166.664,470,614.318
9199.997,410,701.478
9233.333,470,615.519
9266.664,410,701.029
9299.999,470,615.075
