TimeStamp,Name,State
357804.512,Input1,0
357899.510,Input1,1
381944.950,Input1,0
382440.371,Input1,1
523631.298,Input1,0
523727.186,Input1,1
530056.354,Input1,0
530567.795,Input1,1
638762.547,Input1,0
638858.547,Input1,1
645538.443,Input1,0
646034.511,Input1,1
770348.967,Input1,0
770443.967,Input1,1
783726.218,Input1,0
784222.103,Input1,1
884405.178,Input1,0
884502.179,Input1,1
907006.044,Input1,0
907516.040,Input1,1
1127908.133,Input1,0
1128010.059,Input1,1
1139613.286,Input1,0
1140108.258,Input1,1
1223619.064,Input1,0
1223715.059,Input1,1
1235318.576,Input1,0
1235813.818,Input1,1
1386100.461,Input1,0
1386212.410,Input1,1
1410426.513,Input1,0
1410922.556,Input1,1
1649137.872,Input1,0
1649249.923,Input1,1
1656362.678,Input1,0
1656873.773,Input1,1
1790970.331,Input1,0
1791065.888,Input1,1
1802604.970,Input1,0
1803101.265,Input1,1
1939708.694,Input1,0
1939803.739,Input1,1
1951312.140,Input1,0
1951806.889,Input1,1
2033146.848,Input1,0
2033239.848,Input1,1
2057086.638,Input1,0
2057598.182,Input1,1
2217779.618,Input1,0
2217891.673,Input1,1
2239516.016,Input1,0
2240028.206,Input1,1
2372925.002,Input1,0
2373021.002,Input1,1
2383751.970,Input1,0
2384263.600,Input1,1
2513149.459,Input1,0
2513245.457,Input1,1
2538497.762,Input1,0
2538993.765,Input1,1
2705267.733,Input1,0
2705362.711,Input1,1
2711954.587,Input1,0
2712449.613,Input1,1
2822778.922,Input1,0
2822874.864,Input1,1
2834351.113,Input1,0
2834846.389,Input1,1
2910615.416,Input1,0
2910728.416,Input1,1
2934334.590,Input1,0
2934830.190,Input1,1
3129941.795,Input1,0
3130037.741,Input1,1
3136718.834,Input1,0
3137230.405,Input1,1
3241758.092,Input1,0
3241869.970,Input1,1
3263814.115,Input1,0
3264310.587,Input1,1
3371903.459,Input1,0
3371999.460,Input1,1
3378343.779,Input1,0
3378839.775,Input1,1
