TimeStamp,Name,State
160495.522,Input1,0
160587.736,Input1,1
168308.146,Input1,0
168803.392,Input1,1
169922.738,Input1,0
170929.205,Input1,1
426171.596,Input1,0
426269.328,Input1,1
434052.865,Input1,0
434552.598,Input1,1
436297.051,Input1,0
437298.331,Input1,1
543968.379,Input1,0
544064.223,Input1,1
549738.029,Input1,0
550234.277,Input1,1
551432.272,Input1,0
552439.480,Input1,1
622988.204,Input1,0
623083.935,Input1,1
633665.585,Input1,0
634160.821,Input1,1
635551.498,Input1,0
636542.491,Input1,1
769117.281,Input1,0
769213.741,Input1,1
789848.097,Input1,0
790359.219,Input1,1
813984.024,Input1,0
814974.430,Input1,1
958243.110,Input1,0
958338.887,Input1,1
968951.233,Input1,0
969463.518,Input1,1
970677.284,Input1,0
971684.523,Input1,1
1275623.884,Input1,0
1275719.559,Input1,1
1286428.338,Input1,0
1286923.874,Input1,1
1287867.428,Input1,0
1288874.548,Input1,1
1434421.069,Input1,0
1434532.682,Input1,1
1455230.700,Input1,0
1455725.526,Input1,1
1456732.729,Input1,0
1457723.349,Input1,1
1534753.077,Input1,0
1534864.756,Input1,1
1540602.283,Input1,0
1541113.506,Input1,1
1544165.974,Input1,0
1545157.681,Input1,1
1639570.551,Input1,0
1639667.223,Input1,1
1650263.145,Input1,0
1650759.683,Input1,1
1747424.138,Input1,0
1748429.933,Input1,1
1840005.069,Input1,0
1840100.543,Input1,1
1852663.588,Input1,0
1853158.716,Input1,1
1855335.976,Input1,0
1856346.742,Input1,1
1946146.082,Input1,0
1946241.762,Input1,1
1966939.922,Input1,0
1967435.383,Input1,1
1968602.435,Input1,0
1969609.573,Input1,1
2177870.831,Input1,0
2177966.587,Input1,1
2200677.833,Input1,0
2201172.919,Input1,1
2203874.189,Input1,0
2204880.927,Input1,1
2342619.597,Input1,0
2342719.267,Input1,1
2348409.008,Input1,0
2348921.952,Input1,1
2405530.748,Input1,0
2406537.108,Input1,1
2566529.325,Input1,0
2566625.953,Input1,1
2587211.746,Input1,0
2587706.715,Input1,1
2589640.496,Input1,0
2590648.472,Input1,1
2795635.474,Input1,0
2795732.147,Input1,1
2801485.592,Input1,0
2801980.510,Input1,1
2804250.170,Input1,0
2805257.510,Input1,1
2914832.173,Input1,0
2914928.593,Input1,1
2925493.525,Input1,0
2925989.083,Input1,1
2927043.044,Input1,0
2928050.132,Input1,1
3118117.539,Input1,0
3118213.727,Input1,1
3138927.159,Input1,0
3139422.924,Input1,1
3154735.002,Input1,0
3155741.577,Input1,1
3348562.421,Input1,0
3348659.096,Input1,1
3356378.939,Input1,0
3356874.297,Input1,1
3358344.724,Input1,0
3359351.511,Input1,1
3435015.927,Input1,0
3435127.552,Input1,1
3455759.322,Input1,0
3456271.509,Input1,1
3457501.885,Input1,0
3458508.808,Input1,1
3619506.062,Input1,0
3619601.973,Input1,1
3625276.010,Input1,0
3625771.078,Input1,1
3629399.310,Input1,0
3630390.035,Input1,1
3859302.320,Input1,0
3859397.554,Input1,1
3865039.732,Input1,0
3865534.978,Input1,1
3866478.117,Input1,0
3867484.694,Input1,1
