TimeStamp,Lights,Channel1
0.000,410,612.948
33.330,470,588.883
66.666,410,606.957
99.999,470,585.438
133.327,410,603.788
166.661,470,582.773
200.000,410,600.635
233.332,470,581.445
266.662,410,595.654
299.996,470,578.002
333.328,410,593.784
366.664,470,579.642
399.994,410,597.497
433.329,470,581.111
466.661,410,595.078
499.997,470,578.187
533.327,410,589.412
566.664,470,576.802
599.999,410,591.527
633.327,470,579.047
666.662,410,589.619
699.999,470,576.804
733.327,410,586.388
766.666,470,577.590
799.996,410,586.287
833.331,470,577.167
866.662,410,583.093
900.000,470,579.371
933.329,410,583.311
966.662,470,580.201
999.998,410,584.983
1033.328,470,579.638
1066.662,410,587.567
1099.995,470,579.478
1133.328,410,582.865
1166.666,470,576.417
1199.996,410,582.006
1233.329,470,576.607
1266.660,410,581.880
1299.997,470,579.365
1333.329,410,586.044
1366.660,470,586.231
1399.995,410,587.939
1433.327,470,595.994
1466.660,410,588.067
1499.997,470,601.159
1533.329,410,588.549
1566.666,470,602.168
1599.995,410,587.670
1633.328,470,601.753
1666.665,410,588.633
1699.997,470,599.434
1733.327,410,588.347
1766.665,470,598.603
1799.998,410,587.567
1833.327,470,599.836
1866.662,410,588.566
1899.995,470,604.191
1933.328,410,588.256
1966.665,470,604.704
2000.000,410,588.077
2033.333,470,601.426
2066.662,410,585.577
2099.994,470,596.810
2133.327,410,585.765
2166.663,470,594.759
2199.998,410,584.072
2233.330,470,594.567
2266.660,410,584.871
2299.994,470,594.880
2333.331,410,584.196
2366.662,470,590.723
2399.995,410,584.163
2433.331,470,585.539
2466.662,410,582.763
2499.998,470,581.808
2533.332,410,582.316
2566.661,470,585.814
2599.994,410,584.655
2633.328,470,584.862
2666.660,410,578.096
2699.996,470,581.166
2733.332,410,576.061
2766.664,470,576.956
2799.999,410,573.333
2833.333,470,571.353
2866.667,410,573.544
2899.995,470,569.243
2933.332,410,572.485
2966.663,470,568.753
2999.995,410,569.802
3033.331,470,566.815
3066.664,410,569.162
3099.997,470,566.233
3133.329,410,569.678
3166.662,470,564.888
3199.995,410,572.124
3233.327,470,568.476
3266.662,410,571.803
3299.994,470,569.104
3333.331,410,569.657
3366.663,470,568.088
3399.999,410,571.078
3433.328,470,568.830
3466.660,410,567.405
3499.997,470,567.006
3533.328,410,566.861
3566.666,470,568.376
3599.994,410,568.353
3633.331,470,567.264
