TimeStamp,Name,State
231178.442,Input1,0
231289.075,Input1,1
237922.874,Input1,0
238418.130,Input1,1
239281.163,Input1,0
240287.823,Input1,1
525232.023,Input1,0
525327.149,Input1,1
532984.232,Input1,0
533478.709,Input1,1
534342.037,Input1,0
535348.802,Input1,1
698106.088,Input1,0
698201.768,Input1,1
703875.208,Input1,0
704386.581,Input1,1
705490.845,Input1,0
706496.460,Input1,1
940327.603,Input1,0
940423.093,Input1,1
951036.342,Input1,0
951532.227,Input1,1
952714.383,Input1,0
953705.096,Input1,1
1084444.113,Input1,0
1084539.793,Input1,1
1107716.038,Input1,0
1108210.601,Input1,1
1109074.032,Input1,0
1110081.327,Input1,1
1234242.710,Input1,0
1234355.331,Input1,1
1245158.901,Input1,0
1245654.612,Input1,1
1257210.962,Input1,0
1258201.248,Input1,1
1353357.080,Input1,0
1353452.760,Input1,1
1364753.229,Input1,0
1365264.163,Input1,1
1369658.614,Input1,0
1370649.784,Input1,1
1527144.522,Input1,0
1527240.387,Input1,1
1548049.785,Input1,0
1548545.775,Input1,1
1550977.406,Input1,0
1551983.264,Input1,1
1689719.925,Input1,0
1689815.604,Input1,1
1695585.369,Input1,0
1696080.147,Input1,1
1697950.775,Input1,0
1698941.920,Input1,1
1808981.683,Input1,0
1809093.310,Input1,1
1819770.229,Input1,0
1820265.026,Input1,1
1821256.414,Input1,0
1822247.528,Input1,1
2089823.673,Input1,0
2089919.664,Input1,1
2100628.234,Input1,0
2101123.809,Input1,1
2101987.145,Input1,0
2102977.432,Input1,1
2220744.167,Input1,0
2220839.847,Input1,1
2241522.162,Input1,0
2242033.824,Input1,1
2246988.723,Input1,0
2247979.057,Input1,1
2488094.079,Input1,0
2488189.761,Input1,1
2511173.825,Input1,0
2511669.290,Input1,1
2560304.906,Input1,0
2561295.536,Input1,1
2847523.560,Input1,0
2847635.185,Input1,1
2853564.531,Input1,0
2854060.865,Input1,1
2854923.300,Input1,0
2855914.104,Input1,1
3070808.165,Input1,0
3070903.849,Input1,1
3091729.780,Input1,0
3092225.196,Input1,1
3098778.911,Input1,0
3099785.483,Input1,1
3256277.681,Input1,0
3256374.358,Input1,1
3262128.425,Input1,0
3262623.214,Input1,1
3276273.492,Input1,0
3277264.156,Input1,1
3400748.380,Input1,0
3400844.062,Input1,1
3411472.589,Input1,0
3411967.735,Input1,1
3417386.431,Input1,0
3418377.374,Input1,1
3588591.877,Input1,0
3588687.555,Input1,1
3609289.426,Input1,0
3609801.527,Input1,1
4419588.766,Input1,0
4420578.512,Input1,1
