TimeStamp,Name,State
209692.547,Input1,0
209801.091,Input1,1
217598.788,Input1,0
218110.200,Input1,1
218958.168,Input1,0
219965.123,Input1,1
741017.646,Input1,0
741113.321,Input1,1
746771.542,Input1,0
747283.674,Input1,1
748131.100,Input1,0
749137.353,Input1,1
908102.595,Input1,0
908199.155,Input1,1
913825.049,Input1,0
914320.587,Input1,1
915375.140,Input1,0
916366.627,Input1,1
1120129.297,Input1,0
1120224.977,Input1,1
1132980.018,Input1,0
1133475.766,Input1,1
1146805.874,Input1,0
1147795.814,Input1,1
1282328.427,Input1,0
1282440.375,Input1,1
1303330.715,Input1,0
1303841.429,Input1,1
1304688.748,Input1,0
1305695.781,Input1,1
1573780.664,Input1,0
1573892.864,Input1,1
1584665.928,Input1,0
1585161.001,Input1,1
1586023.441,Input1,0
1587030.215,Input1,1
1713552.021,Input1,0
1713647.699,Input1,1
1724373.632,Input1,0
1724885.293,Input1,1
1725732.460,Input1,0
1726739.881,Input1,1
1865453.995,Input1,0
1865550.618,Input1,1
1886263.968,Input1,0
1886775.985,Input1,1
1887686.067,Input1,0
1888693.333,Input1,1
2018250.905,Input1,0
2018363.125,Input1,1
2024005.557,Input1,0
2024516.047,Input1,1
2025363.568,Input1,0
2026370.063,Input1,1
2138410.326,Input1,0
2138521.954,Input1,1
2149134.772,Input1,0
2149645.925,Input1,1
2150492.912,Input1,0
2151499.854,Input1,1
2260405.291,Input1,0
2260517.914,Input1,1
2273144.913,Input1,0
2273639.413,Input1,1
2278930.257,Input1,0
2279921.406,Input1,1
2421385.446,Input1,0
2421481.125,Input1,1
2442243.696,Input1,0
2442738.773,Input1,1
2443602.336,Input1,0
2444593.652,Input1,1
2706724.470,Input1,0
2706833.293,Input1,1
2727435.578,Input1,0
2727930.674,Input1,1
2734803.024,Input1,0
2735794.118,Input1,1
3007652.113,Input1,0
3007747.455,Input1,1
3013423.116,Input1,0
3013933.631,Input1,1
3022883.996,Input1,0
3023890.789,Input1,1
3148142.164,Input1,0
3148237.861,Input1,1
3168999.651,Input1,0
3169495.219,Input1,1
3170357.656,Input1,0
3171349.044,Input1,1
3313098.943,Input1,0
3313194.794,Input1,1
3318932.738,Input1,0
3319444.298,Input1,1
3320290.926,Input1,0
3321298.365,Input1,1
3450073.730,Input1,0
3450185.399,Input1,1
3460863.121,Input1,0
3461360.420,Input1,1
3468022.907,Input1,0
3469030.558,Input1,1
3588636.331,Input1,0
3588732.061,Input1,1
3609303.006,Input1,0
3609798.080,Input1,1
3610661.115,Input1,0
3611667.979,Input1,1
3764714.737,Input1,0
3764810.418,Input1,1
3770325.342,Input1,0
3770820.892,Input1,1
3771682.853,Input1,0
3772674.399,Input1,1
3891032.896,Input1,0
3891129.078,Input1,1
3911762.995,Input1,0
3912258.123,Input1,1
3918875.310,Input1,0
3919866.009,Input1,1
4027870.329,Input1,0
4027966.411,Input1,1
4033640.634,Input1,0
4034135.942,Input1,1
4034999.345,Input1,0
4036005.701,Input1,1
4158441.138,Input1,0
4158536.970,Input1,1
4164242.857,Input1,0
4164738.737,Input1,1
4167166.831,Input1,0
4168174.873,Input1,1
4264134.390,Input1,0
4264230.070,Input1,1
4269935.749,Input1,0
4270431.849,Input1,1
4271294.696,Input1,0
4272285.584,Input1,1
4343517.738,Input1,0
4343614.413,Input1,1
4354259.135,Input1,0
4354770.416,Input1,1
4355617.199,Input1,0
4356624.046,Input1,1
4477562.012,Input1,0
4477657.366,Input1,1
4498211.999,Input1,0
4498723.936,Input1,1
4499586.916,Input1,0
4500577.349,Input1,1
4600630.655,Input1,0
4600726.443,Input1,1
4613512.520,Input1,0
4614008.206,Input1,1
4619866.261,Input1,0
4620864.826,Input1,1
