TimeStamp,Lights,Channel1
0.000,410,566.473
33.338,470,587.270
66.671,410,560.931
100.001,470,582.517
133.338,410,560.734
166.670,470,582.820
200.001,410,559.010
233.332,470,578.719
266.667,410,565.313
300.002,470,585.828
333.335,410,553.722
366.667,470,576.704
400.003,410,558.983
433.333,470,578.534
466.670,410,553.131
500.003,470,579.144
533.338,410,549.928
566.669,470,579.479
600.005,410,556.441
633.335,470,579.212
666.669,410,555.248
699.998,470,580.438
733.336,410,560.718
766.669,470,573.910
800.003,410,550.621
833.336,470,577.550
866.671,410,552.231
900.000,470,569.225
933.338,410,549.392
966.665,470,578.478
999.999,410,559.582
1033.335,470,577.505
1066.667,410,558.636
1100.003,470,571.449
1133.336,410,547.343
1166.670,470,568.458
1200.003,410,551.533
1233.331,470,576.806
1266.669,410,549.760
1300.000,470,566.839
1333.338,410,549.602
1366.669,470,568.283
1400.005,410,547.197
1433.335,470,566.727
1466.671,410,548.488
1500.002,470,568.769
1533.337,410,550.630
1566.667,470,569.810
1600.004,410,555.535
1633.337,470,569.702
1666.669,410,563.421
1699.998,470,578.104
1733.336,410,555.392
1766.668,470,574.648
1800.000,410,561.264
1833.332,470,569.237
1866.670,410,551.510
1900.000,470,568.783
1933.335,410,556.094
1966.666,470,576.378
2000.005,410,566.676
2033.333,470,572.600
2066.665,410,555.473
2100.003,470,572.524
2133.337,410,557.123
2166.667,470,576.900
2200.000,410,560.292
2233.336,470,576.054
2266.668,410,553.090
2300.002,470,575.283
2333.338,410,552.889
2366.666,470,578.563
2400.005,410,567.539
2433.333,470,579.731
2466.670,410,560.302
2499.998,470,578.509
2533.335,410,565.958
2566.666,470,574.775
2599.999,410,562.382
2633.332,470,567.251
2666.667,410,558.760
2699.998,470,573.289
2733.337,410,560.086
2766.669,470,568.934
2800.005,410,569.097
2833.332,470,567.342
2866.669,410,567.893
2899.998,470,564.424
2933.337,410,564.430
2966.670,470,572.044
3000.002,410,557.190
3033.337,470,565.793
3066.668,410,568.838
3100.000,470,564.694
3133.338,410,570.068
3166.668,470,569.291
3200.001,410,564.875
3233.335,470,570.702
3266.669,410,570.040
3299.998,470,566.343
3333.332,410,560.050
3366.666,470,571.842
3400.002,410,561.974
3433.331,470,591.529
3466.670,410,568.893
3500.003,470,606.905
3533.335,410,572.845
3566.666,470,616.423
3599.998,410,563.240
3633.333,470,622.408
3666.671,410,561.983
3700.002,470,617.751
3733.334,410,556.012
3766.669,470,608.008
3800.004,410,556.526
3833.337,470,611.463
3866.668,410,560.973
3899.999,470,612.284
3933.335,410,569.230
3966.669,470,609.661
4000.003,410,570.895
4033.336,470,596.642
4066.667,410,558.106
4100.003,470,595.648
4133.335,410,554.807
4166.665,470,586.032
4199.998,410,553.598
4233.336,470,585.074
4266.665,410,554.639
4300.003,470,575.702
4333.334,410,549.798
4366.666,470,570.380
4399.999,410,552.562
4433.332,470,574.287
4466.669,410,554.598
4500.000,470,585.421
4533.334,410,556.243
4566.667,470,588.916
4600.002,410,553.863
4633.336,470,589.373
4666.666,410,557.558
4700.000,470,583.629
4733.331,410,552.516
4766.667,470,572.716
4800.000,410,543.265
4833.337,470,571.912
4866.666,410,548.184
4899.998,470,572.927
4933.338,410,548.308
4966.665,470,571.215
5000.003,410,563.343
5033.338,470,566.816
5066.668,410,551.401
5100.000,470,568.882
5133.336,410,552.755
5166.668,470,569.818
5200.002,410,554.859
5233.335,470,569.960
5266.670,410,551.150
5300.003,470,568.833
5333.338,410,555.647
5366.666,470,570.584
5400.001,410,559.476
5433.332,470,567.535
5466.671,410,558.928
5500.005,470,576.005
5533.334,410,560.855
5566.670,470,573.103
5599.998,410,566.914
5633.336,470,575.011
5666.671,410,568.871
5700.003,470,573.409
5733.337,410,563.787
5766.669,470,576.313
5800.001,410,564.423
5833.336,470,577.804
5866.666,410,564.702
5899.999,470,577.175
5933.337,410,566.666
5966.670,470,571.755
6000.003,410,556.861
6033.334,470,572.501
6066.671,410,553.070
6100.001,470,565.897
6133.334,410,551.316
6166.668,470,564.698
6200.000,410,547.362
6233.332,470,564.060
6266.665,410,551.326
6300.002,470,561.833
6333.333,410,550.181
6366.665,470,566.575
6399.998,410,548.365
6433.334,470,559.071
6466.668,410,543.846
6499.999,470,560.552
6533.333,410,546.757
6566.668,470,562.622
6600.003,410,562.901
6633.335,470,569.169
6666.670,410,550.871
6700.002,470,562.777
6733.332,410,555.346
6766.669,470,562.756
6799.998,410,554.109
6833.338,470,562.347
6866.672,410,547.217
6900.000,470,557.644
6933.336,410,546.707
6966.671,470,556.759
7000.001,410,545.775
7033.335,470,551.126
7066.666,410,539.952
7100.001,470,549.823
7133.338,410,538.213
7166.671,470,548.617
7200.001,410,546.282
7233.335,470,558.063
7266.668,410,548.032
7299.999,470,561.959
7333.335,410,550.786
7366.666,470,560.199
7399.998,410,546.719
7433.334,470,566.642
7466.671,410,547.434
7500.002,470,571.075
7533.337,410,558.474
7566.668,470,570.818
7599.999,410,556.595
7633.337,470,570.654
7666.668,410,550.762
7700.003,470,569.922
7733.334,410,552.480
7766.669,470,576.857
7800.005,410,556.268
7833.332,470,592.635
7866.671,410,548.516
7900.001,470,603.729
7933.338,410,547.605
7966.668,470,611.551
8000.002,410,546.868
8033.333,470,603.269
8066.667,410,553.200
8100.001,470,603.764
8133.333,410,549.299
8166.669,470,595.971
8200.000,410,548.844
8233.336,470,599.925
8266.671,410,554.027
8300.003,470,598.903
8333.335,410,552.602
8366.670,470,593.133
8400.004,410,550.472
8433.336,470,587.896
8466.666,410,552.196
8500.003,470,581.407
8533.337,410,553.117
8566.669,470,580.745
8599.999,410,550.659
8633.336,470,582.498
8666.666,410,547.968
8699.998,470,576.685
8733.338,410,556.466
8766.666,470,579.273
8799.999,410,558.570
8833.337,470,580.848
8866.670,410,551.047
8900.002,470,573.678
8933.338,410,561.740
8966.665,470,578.871
9000.002,410,558.765
9033.335,470,574.562
9066.667,410,551.528
9100.002,470,573.862
9133.334,410,548.597
9166.671,470,566.765
9200.001,410,556.294
9233.332,470,565.155
9266.666,410,548.862
9300.000,470,566.591
9333.337,410,559.200
9366.671,470,568.387
9400.004,410,555.902
9433.338,470,560.430
9466.666,410,545.183
9500.003,470,577.668
9533.337,410,552.583
9566.668,470,628.661
9600.000,410,561.410
9633.336,470,655.833
9666.666,410,560.199
9700.003,470,671.574
9733.334,410,556.451
9766.667,470,680.447
9800.004,410,553.330
9833.333,470,688.927
9866.669,410,554.705
9900.002,470,681.825
9933.335,410,556.042
9966.670,470,670.000
10000.004,410,554.506
10033.333,470,656.701
10066.666,410,550.204
10100.000,470,646.403
10133.331,410,551.166
10166.667,470,633.789
10200.000,410,556.094
10233.338,470,634.601
10266.665,410,555.757
10300.002,470,620.028
10333.335,410,556.262
10366.671,470,611.441
10399.998,410,555.865
10433.336,470,611.857
10466.671,410,561.115
10500.000,470,602.649
10533.336,410,553.581
10566.667,470,595.053
10600.002,410,554.936
10633.331,470,583.733
10666.667,410,552.220
10699.999,470,581.727
10733.336,410,551.008
10766.671,470,579.879
10800.004,410,562.578
10833.337,470,581.941
10866.666,410,562.137
10900.004,470,579.828
10933.338,410,559.063
10966.665,470,574.487
10999.999,410,556.183
11033.332,470,564.637
11066.665,410,554.339
11100.005,470,565.210
11133.338,410,558.974
11166.668,470,568.415
11200.002,410,557.755
11233.336,470,573.570
11266.670,410,553.754
11300.002,470,576.609
11333.336,410,560.420
11366.665,470,579.501
11400.003,410,563.346
11433.334,470,572.129
11466.666,410,551.163
11500.001,470,569.300
11533.334,410,554.064
11566.668,470,575.759
11599.999,410,558.440
11633.335,470,575.127
11666.668,410,558.520
11700.001,470,574.880
11733.332,410,556.708
11766.667,470,569.049
11800.004,410,559.159
11833.334,470,569.124
11866.667,410,559.766
11899.998,470,569.729
11933.334,410,557.608
11966.669,470,574.671
12000.000,410,551.999
12033.337,470,582.687
12066.665,410,557.410
12099.998,470,590.831
12133.335,410,554.684
12166.665,470,599.284
12200.003,410,559.572
12233.332,470,595.178
12266.671,410,553.879
12300.000,470,600.057
12333.332,410,557.769
12366.667,470,598.326
12400.004,410,559.913
12433.334,470,591.508
12466.667,410,560.032
12500.002,470,579.329
12533.332,410,546.414
12566.670,470,572.968
12599.998,410,542.828
12633.333,470,572.227
12666.667,410,546.027
12700.002,470,570.566
12733.335,410,555.246
12766.671,470,573.598
12800.002,410,543.475
12833.338,470,562.696
12866.668,410,546.964
12900.002,470,567.226
12933.335,410,552.971
