TimeStamp,Lights,Channel1
0.000,410,875.657
33.335,470,1152.283
66.671,410,864.834
100.000,470,1133.341
133.334,410,860.297
166.670,470,1115.139
200.002,410,855.851
233.337,470,1097.459
266.670,410,846.531
300.006,470,1074.985
333.337,410,826.892
366.669,470,1067.296
400.006,410,840.533
433.336,470,1049.637
466.671,410,813.567
500.001,470,1023.609
533.336,410,823.614
566.673,470,1040.724
600.001,410,823.430
633.335,470,1051.452
666.669,410,823.450
700.005,470,1048.922
733.333,410,820.897
766.668,470,1052.494
800.003,410,820.993
833.339,470,1050.722
866.667,410,816.156
900.005,470,1064.281
933.339,410,812.604
966.672,470,1089.392
1000.002,410,811.379
1033.334,470,1133.926
1066.670,410,813.287
1100.002,470,1152.900
1133.335,410,811.911
1166.667,470,1140.944
1200.005,410,813.056
1233.334,470,1122.967
1266.672,410,809.068
1300.002,470,1102.368
1333.338,410,810.845
1366.670,470,1086.934
1400.000,410,812.411
1433.339,470,1077.690
1466.666,410,808.782
1500.004,470,1082.215
1533.335,410,811.255
1566.668,470,1082.410
1600.003,410,810.797
1633.339,470,1068.250
1666.667,410,816.018
1700.001,470,1058.688
1733.335,410,817.413
1766.669,470,1048.368
1800.003,410,816.669
1833.337,470,1033.462
1866.669,410,809.683
1900.000,470,1015.411
1933.336,410,808.320
1966.667,470,997.611
2000.004,410,806.644
2033.336,470,984.021
2066.669,410,791.597
2100.000,470,993.794
2133.333,410,803.388
2166.669,470,1019.260
2200.006,410,806.664
2233.336,470,1028.415
2266.670,410,809.163
2299.998,470,1029.444
2333.336,410,805.798
2366.672,470,1029.511
2400.006,410,806.176
2433.336,470,1038.068
2466.672,410,802.193
2500.002,470,1058.036
2533.339,410,800.458
2566.668,470,1075.551
2600.001,410,802.897
2633.335,470,1095.966
2666.672,410,800.935
2700.002,470,1098.966
2733.334,410,803.462
2766.672,470,1093.932
2800.000,410,802.472
2833.337,470,1078.906
2866.673,410,806.231
2900.000,470,1065.423
2933.334,410,804.067
2966.672,470,1054.034
3000.005,410,810.773
3033.339,470,1043.098
3066.673,410,811.369
3100.006,470,1023.558
3133.338,410,812.563
3166.672,470,1006.787
3200.001,410,809.585
3233.334,470,1000.929
3266.673,410,809.010
3300.004,470,1007.109
3333.334,410,811.206
3366.669,470,1012.229
3400.001,410,808.934
3433.336,470,999.995
3466.670,410,805.540
3500.001,470,992.071
3533.337,410,803.896
3566.668,470,990.920
3600.005,410,801.689
3633.335,470,982.442
3666.670,410,803.771
3700.002,470,980.270
3733.337,410,803.449
3766.669,470,976.388
3800.002,410,802.586
3833.335,470,974.132
3866.667,410,804.543
3900.006,470,972.404
3933.340,410,790.320
3966.669,470,951.776
4000.000,410,783.847
4033.336,470,953.454
4066.672,410,792.364
4100.000,470,945.280
4133.334,410,784.046
4166.673,470,953.335
4200.000,410,795.743
4233.338,470,976.133
4266.673,410,780.818
4300.004,470,1014.644
4333.336,410,783.860
4366.672,470,1024.257
4400.005,410,788.761
4433.336,470,1032.870
4466.669,410,788.607
4500.003,470,1032.001
4533.334,410,782.312
4566.670,470,1034.159
4600.003,410,781.295
4633.334,470,1050.039
4666.671,410,794.806
4700.001,470,1064.777
4733.336,410,812.942
4766.670,470,1061.165
4800.006,410,809.700
4833.336,470,1033.239
4866.672,410,810.526
4900.005,470,1019.474
4933.338,410,809.777
4966.673,470,1006.946
5000.006,410,805.434
5033.337,470,1008.218
5066.669,410,807.871
5100.000,470,1020.984
5133.336,410,803.726
5166.671,470,1041.056
5200.002,410,806.005
5233.337,470,1055.802
5266.671,410,809.117
5300.005,470,1060.618
5333.340,410,806.446
5366.667,470,1061.753
5400.003,410,805.006
5433.336,470,1072.081
