TimeStamp,Lights,Channel1
0.000,410,292.172
33.337,470,286.415
66.666,410,292.984
100.001,470,283.641
133.331,410,291.949
166.664,470,284.780
199.999,410,292.565
233.335,470,284.519
266.670,410,288.870
300.004,470,283.043
333.337,410,288.876
366.670,470,281.488
400.001,410,287.012
433.335,470,282.156
466.670,410,290.383
500.001,470,282.859
533.336,410,288.503
566.667,470,282.505
600.001,410,286.886
633.337,470,282.634
666.668,410,288.596
699.999,470,280.876
733.333,410,288.657
766.670,470,281.758
799.999,410,288.161
833.336,470,283.702
866.667,410,288.601
900.002,470,283.493
933.338,410,290.049
966.666,470,282.829
999.998,410,291.567
1033.332,470,284.006
1066.666,410,290.967
1100.002,470,286.442
1133.331,410,289.633
1166.666,470,286.586
1200.004,410,289.609
1233.333,470,283.456
1266.667,410,287.458
1300.004,470,285.569
1333.332,410,287.698
1366.664,470,282.759
1400.000,410,288.873
1433.337,470,285.172
1466.668,410,288.542
1499.998,470,284.063
1533.338,410,288.264
1566.668,470,284.537
1599.999,410,289.148
1633.335,470,285.643
1666.666,410,290.413
1699.998,470,285.826
1733.337,410,288.848
1766.669,470,288.310
1799.998,410,290.688
1833.334,470,290.659
1866.670,410,292.741
1899.998,470,290.601
1933.333,410,291.903
1966.668,470,290.167
2000.003,410,290.525
2033.335,470,289.517
2066.667,410,292.424
2100.001,470,289.979
2133.335,410,293.668
2166.667,470,290.859
2200.001,410,293.080
2233.334,470,291.573
2266.666,410,292.798
2300.004,470,289.120
2333.333,410,291.875
2366.668,470,289.111
2399.998,410,290.895
2433.331,470,288.154
2466.667,410,290.463
2499.998,470,288.131
2533.335,410,285.432
2566.671,470,283.660
2599.999,410,284.721
2633.334,470,286.061
2666.669,410,287.749
2700.001,470,290.805
2733.337,410,292.547
2766.668,470,296.196
2799.999,410,294.744
2833.333,470,294.864
2866.667,410,293.482
2899.999,470,294.470
2933.335,410,295.571
2966.667,470,296.566
3000.000,410,296.862
3033.337,470,295.797
3066.670,410,295.488
3100.001,470,293.929
3133.333,410,293.582
3166.666,470,294.195
3200.003,410,295.234
3233.334,470,294.221
3266.666,410,294.353
3300.001,470,290.753
3333.335,410,289.758
3366.664,470,290.809
3400.002,410,290.291
3433.334,470,287.438
3466.671,410,290.515
3500.001,470,289.905
3533.332,410,291.243
3566.665,470,288.766
3600.000,410,290.130
3633.332,470,288.764
3666.670,410,290.290
3699.999,470,287.955
3733.334,410,291.088
3766.666,470,289.307
3800.004,410,293.012
3833.336,470,291.138
3866.669,410,293.595
3900.002,470,290.510
3933.332,410,293.941
3966.665,470,288.739
4000.004,410,290.070
4033.333,470,285.948
4066.669,410,290.122
4100.001,470,286.918
4133.334,410,291.084
4166.669,470,287.537
4199.999,410,293.533
4233.331,470,290.436
4266.666,410,293.351
4300.001,470,288.774
4333.337,410,292.216
4366.666,470,288.965
4399.999,410,295.832
4433.333,470,292.791
4466.668,410,298.045
4500.000,470,295.196
4533.336,410,304.341
4566.667,470,295.460
4600.004,410,298.498
4633.334,470,292.542
4666.666,410,294.474
4700.000,470,287.236
4733.334,410,293.354
4766.671,470,287.906
4800.002,410,292.575
4833.336,470,287.488
4866.669,410,291.428
4900.004,470,285.484
4933.331,410,290.778
4966.666,470,285.924
5000.004,410,290.448
5033.331,470,285.874
5066.668,410,292.319
5100.001,470,285.537
5133.336,410,289.686
