TimeStamp,Lights,Channel1
0.000,410,837.623
33.334,470,984.617
66.667,410,824.853
99.996,470,968.564
133.331,410,817.650
166.663,470,955.904
199.997,410,814.783
233.331,470,960.023
266.667,410,818.347
300.002,470,966.588
333.335,410,799.093
366.667,470,971.298
400.000,410,793.980
433.329,470,961.479
466.669,410,795.848
500.001,470,1041.655
533.334,410,800.344
566.666,470,1187.986
599.999,410,790.462
633.332,470,1249.595
666.669,410,786.808
699.998,470,1229.315
733.335,410,790.812
766.663,470,1187.700
799.998,410,790.153
833.332,470,1195.294
866.667,410,788.655
899.999,470,1157.477
933.331,410,791.625
966.664,470,1120.473
999.996,410,785.706
1033.335,470,1088.350
1066.664,410,788.124
1100.002,470,1056.009
1133.331,410,797.911
1166.664,470,1027.994
1199.999,410,787.403
1233.330,470,1001.899
1266.666,410,788.622
1300.000,470,979.620
1333.329,410,788.805
1366.666,470,965.451
1400.002,410,782.991
1433.330,470,959.952
1466.663,410,787.051
1500.001,470,963.192
1533.334,410,782.942
1566.666,470,963.589
1599.999,410,781.729
1633.334,470,963.210
1666.669,410,778.185
1700.001,470,948.280
1733.329,410,781.148
1766.669,470,934.554
1800.001,410,781.212
1833.331,470,921.193
1866.667,410,775.756
1899.999,470,910.623
1933.335,410,772.563
1966.669,470,906.711
1999.996,410,772.989
2033.333,470,903.858
2066.665,410,770.483
2099.996,470,901.745
2133.334,410,767.958
2166.663,470,892.470
2199.996,410,769.451
2233.335,470,887.851
2266.663,410,774.568
2299.999,470,886.769
2333.332,410,773.860
2366.663,470,882.812
2399.999,410,770.553
2433.332,470,875.743
2466.665,410,780.470
2500.002,470,872.327
2533.331,410,782.581
2566.666,470,874.288
2600.002,410,783.157
2633.335,470,880.979
2666.666,410,790.278
2700.000,470,895.246
2733.335,410,788.544
2766.666,470,897.102
2799.999,410,784.308
2833.336,470,901.666
2866.667,410,798.475
2899.999,470,895.565
2933.336,410,785.763
2966.663,470,886.749
3000.001,410,792.491
3033.331,470,912.568
3066.666,410,792.171
3100.002,470,915.284
3133.332,410,779.520
3166.668,470,918.820
3199.999,410,785.090
3233.334,470,912.286
3266.655,410,786.978
3300.000,470,907.785
3333.335,410,789.204
3366.666,470,898.192
3400.000,410,792.862
3433.331,470,897.443
3466.668,410,789.717
3499.996,470,892.756
3533.331,410,786.720
3566.664,470,883.479
3600.001,410,784.265
3633.330,470,874.133
3666.664,410,790.765
3699.997,470,864.416
3733.336,410,790.379
3766.668,470,854.913
3799.997,410,791.438
3833.329,470,848.710
3866.666,410,785.270
3900.003,470,852.026
3933.335,410,789.317
3966.663,470,845.516
4000.002,410,776.023
4033.331,470,845.448
4066.669,410,791.780
4099.998,470,858.010
4133.335,410,790.214
4166.662,470,867.729
4199.998,410,790.815
4233.332,470,873.652
4266.665,410,790.538
4299.998,470,878.824
4333.335,410,791.073
4366.663,470,876.832
4399.999,410,789.242
4433.330,470,873.940
4466.668,410,794.419
4500.000,470,866.134
4533.329,410,789.127
4566.665,470,869.877
4599.997,410,786.695
4633.330,470,870.274
4666.667,410,786.234
4700.000,470,871.379
4733.331,410,787.549
4766.664,470,875.021
4800.000,410,789.283
4833.332,470,918.803
4866.669,410,790.827
4899.998,470,1012.476
4933.336,410,787.935
4966.668,470,1038.620
5000.000,410,783.728
5033.330,470,1044.185
5066.663,410,781.959
5099.997,470,1058.513
5133.335,410,785.441
5166.664,470,1060.433
5199.998,410,789.401
5233.335,470,1037.744
5266.663,410,793.595
5299.998,470,1017.531
5333.330,410,787.041
5366.667,470,992.275
5400.002,410,790.934
5433.333,470,978.860
5466.666,410,789.443
5499.997,470,974.231
5533.336,410,788.241
5566.666,470,1025.622
5600.000,410,789.709
5633.331,470,1072.979
5666.667,410,786.738
5699.998,470,1074.641
5733.332,410,784.309
5766.662,470,1097.152
5800.001,410,785.652
5833.329,470,1125.433
5866.664,410,780.034
5899.999,470,1125.243
5933.332,410,783.487
5966.666,470,1101.080
6000.002,410,786.470
6033.335,470,1070.106
6066.663,410,790.385
6099.999,470,1053.537
6133.333,410,782.360
6166.664,470,1025.540
6199.998,410,787.421
6233.335,470,998.129
6266.668,410,780.001
6300.001,470,970.571
6333.331,410,782.484
6366.667,470,949.535
6399.997,410,782.395
6433.330,470,932.100
6466.663,410,783.306
6499.996,470,915.401
6533.334,410,781.257
6566.668,470,911.434
6600.002,410,779.438
6633.330,470,901.731
6666.666,410,779.466
6699.996,470,899.579
6733.329,410,782.282
6766.668,470,891.726
6799.998,410,773.301
6833.335,470,882.606
6866.664,410,776.608
6900.000,470,877.849
6933.335,410,770.874
6966.666,470,874.196
6999.999,410,776.525
7033.334,470,883.634
7066.663,410,771.584
7099.996,470,879.659
7133.335,410,781.774
7166.666,470,879.478
7199.997,410,779.015
7233.332,470,858.401
7266.668,410,778.576
7299.996,470,855.755
7333.329,410,778.383
7366.664,470,852.885
7399.997,410,781.872
7433.332,470,893.591
7466.668,410,783.157
7499.997,470,908.017
7533.329,410,777.135
7566.664,470,910.841
7599.999,410,783.723
7633.332,470,896.423
7666.663,410,783.982
7700.002,470,890.734
7733.333,410,783.075
7766.668,470,898.675
7799.997,410,786.148
7833.330,470,894.354
7866.667,410,771.950
7899.997,470,885.110
7933.333,410,775.796
7966.666,470,875.081
7999.998,410,774.361
8033.330,470,867.478
8066.667,410,774.185
8099.997,470,854.765
8133.334,410,787.335
8166.667,470,853.415
8200.001,410,782.312
8233.335,470,844.824
8266.667,410,783.834
8299.998,470,834.864
8333.330,410,783.729
8366.669,470,834.855
8400.001,410,782.739
8433.332,470,832.039
8466.668,410,775.924
8499.997,470,833.949
8533.335,410,780.475
8566.663,470,838.049
8600.002,410,790.774
8633.335,470,831.599
8666.666,410,791.926
8699.999,470,838.374
8733.329,410,794.590
8766.669,470,841.969
8800.001,410,797.877
8833.331,470,853.508
8866.666,410,795.253
8899.996,470,850.156
8933.336,410,789.289
8966.663,470,858.692
9000.002,410,788.990
9033.332,470,919.644
9066.666,410,790.342
9100.000,470,992.453
9133.333,410,791.183
9166.664,470,970.838
9200.001,410,782.064
9233.329,470,937.462
9266.666,410,776.248
9299.997,470,916.347
9333.332,410,780.107
9366.668,470,894.019
9400.003,410,777.951
