TimeStamp,Events,CH1-410,CH1-470,Unnamed: 4,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,Expected_Dispense_RWD
0.0,,907.216,1163.847,,0,0,0,0,0,0
66.666,,902.415,1158.164,,0,0,0,0,0,0
133.332,,898.4,1145.512,,0,0,0,0,0,0
200.0,,891.494,1134.016,,0,0,0,0,0,0
266.668,,885.898,1128.951,,0,0,0,0,0,0
333.333,,883.514,1118.939,,0,0,0,0,0,0
400.003,,879.134,1106.401,,0,0,0,0,0,0
466.665,,874.282,1099.762,,0,0,0,0,0,0
533.336,,869.309,1089.312,,0,0,0,0,0,0
599.997,,867.534,1082.236,,0,0,0,0,0,0
666.668,,863.534,1073.633,,0,0,0,0,0,0
733.336,,859.989,1065.17,,0,0,0,0,0,0
800.001,,858.363,1057.961,,0,0,0,0,0,0
866.664,,857.119,1054.516,,0,0,0,0,0,0
933.332,,853.096,1047.611,,0,0,0,0,0,0
999.999,,853.094,1043.037,,0,0,0,0,0,0
1066.667,,854.009,1034.843,,0,0,0,0,0,0
1133.33,,850.137,1032.894,,0,0,0,0,0,0
1200.002,,851.317,1028.836,,0,0,0,0,0,0
1266.664,,848.394,1021.21,,0,0,0,0,0,0
1333.335,,846.157,1020.544,,0,0,0,0,0,0
1399.997,,846.943,1016.381,,0,0,0,0,0,0
1466.664,,844.194,1009.977,,0,0,0,0,0,0
1533.335,,846.713,1005.003,,0,0,0,0,0,0
1600.001,,842.907,1002.053,,0,0,0,0,0,0
1666.668,,841.31,995.795,,0,0,0,0,0,0
1733.333,,837.526,994.067,,0,0,0,0,0,0
1800.0,,836.899,991.897,,0,0,0,0,0,0
1866.664,,835.558,993.236,,0,0,0,0,0,0
1933.331,,836.257,986.549,,0,0,0,0,0,0
1999.998,,835.86,984.973,,0,0,0,0,0,0
2066.663,,834.147,979.106,,0,0,0,0,0,0
2133.332,,824.954,965.995,,0,0,0,0,0,0
2200.002,,837.959,976.952,,0,0,0,0,0,0
2266.667,,836.463,981.627,,0,0,0,0,0,0
2333.33,,837.974,978.939,,0,0,0,0,0,0
2399.999,,835.273,976.415,,0,0,0,0,0,0
2466.666,,834.102,979.25,,0,0,0,0,0,0
2533.333,,832.06,978.801,,0,0,0,0,0,0
2600.0,,832.159,977.565,,0,0,0,0,0,0
2666.668,,831.928,977.506,,0,0,0,0,0,0
2733.334,,830.823,982.846,,0,0,0,0,0,0
2800.001,,830.953,992.797,,0,0,0,0,0,0
2866.667,,833.927,1001.964,,0,0,0,0,0,0
2933.335,,830.916,1015.302,,0,0,0,0,0,0
3000.002,,832.192,1030.073,,0,0,0,0,0,0
3066.663,,831.063,1033.116,,0,0,0,0,0,0
3133.336,,829.783,1039.995,,0,0,0,0,0,0
3200.001,,829.283,1043.632,,0,0,0,0,0,0
3266.668,,833.765,1040.491,,0,0,0,0,0,0
3333.333,,832.079,1037.924,,0,0,0,0,0,0
3400.001,,832.892,1035.047,,0,0,0,0,0,0
3466.666,,830.635,1027.102,,0,0,0,0,0,0
3533.335,,832.393,1020.433,,0,0,0,0,0,0
3599.999,,829.07,1014.709,,0,0,0,0,0,0
3666.668,,826.257,1011.644,,0,0,0,0,0,0
3733.33,,827.819,1006.725,,0,0,0,0,0,0
3800.0,,826.779,1006.212,,0,0,0,0,0,0
3866.666,,827.341,1004.356,,0,0,0,0,0,0
3933.33,,827.791,1003.115,,0,0,0,0,0,0
3999.998,,828.292,1002.192,,0,0,0,0,0,0
4066.668,,826.708,1011.194,,0,0,0,0,0,0
4133.33,,827.71,1012.575,,0,0,0,0,0,0
4199.999,,827.659,1014.618,,0,0,0,0,0,0
4266.664,,826.603,1016.254,,0,0,0,0,0,0
4333.332,,827.333,1017.845,,0,0,0,0,0,0
4400.002,,826.022,1019.613,,0,0,0,0,0,0
4466.667,,827.993,1023.141,,0,0,0,0,0,0
4533.333,,827.071,1019.456,,0,0,0,0,0,0
4599.999,,829.767,1019.639,,0,0,0,0,0,0
4666.664,,828.437,1040.251,,0,0,0,0,0,0
4733.336,,828.371,1064.331,,0,0,0,0,0,0
