TimeStamp,Events,CH1-410,CH1-470,Unnamed: 4,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD
0.0,,348.944,400.199,,0,0,0,0,0
66.669,,347.064,400.18,,0,0,0,0,0
133.332,,346.215,404.687,,0,0,0,0,0
200.003,,345.848,408.8,,0,0,0,0,0
266.666,,347.191,419.2,,0,0,0,0,0
333.332,,347.398,414.413,,0,0,0,0,0
400.003,,347.869,412.96,,0,0,0,0,0
466.67,,345.839,409.665,,0,0,0,0,0
533.334,,342.993,406.106,,0,0,0,0,0
600.002,,341.144,400.466,,0,0,0,0,0
666.665,,339.067,395.144,,0,0,0,0,0
733.333,,338.874,387.554,,0,0,0,0,0
799.999,,338.286,382.419,,0,0,0,0,0
866.669,,337.166,384.515,,0,0,0,0,0
933.335,,337.787,383.615,,0,0,0,0,0
1000.005,,337.845,383.45,,0,0,0,0,0
1066.671,,336.422,388.404,,0,0,0,0,0
1133.338,,336.607,393.106,,0,0,0,0,0
1200.005,,337.121,391.613,,0,0,0,0,0
1266.671,,334.114,388.444,,0,0,0,0,0
1333.332,,332.315,384.236,,0,0,0,0,0
1400.004,,333.903,381.633,,0,0,0,0,0
1466.665,,333.294,386.443,,0,0,0,0,0
1533.336,,333.309,384.106,,0,0,0,0,0
1600.005,,334.199,384.085,,0,0,0,0,0
1666.667,,333.072,380.415,,0,0,0,0,0
1733.337,,331.191,373.41,,0,0,0,0,0
1799.998,,334.655,371.357,,0,0,0,0,0
1866.669,,329.584,365.786,,0,0,0,0,0
1933.332,,332.564,363.215,,0,0,0,0,0
2000.004,,333.594,360.332,,0,0,0,0,0
2066.665,,333.711,360.375,,0,0,0,0,0
2133.334,,332.422,355.705,,0,0,0,0,0
2199.999,,329.654,360.602,,0,0,0,0,0
2266.666,,328.062,371.68,,0,0,0,0,0
2333.336,,330.211,374.975,,0,0,0,0,0
2399.998,,329.836,378.87,,0,0,0,0,0
2466.665,,329.726,385.653,,0,0,0,0,0
2533.332,,329.991,386.258,,0,0,0,0,0
2600.0,,328.642,388.976,,0,0,0,0,0
2666.671,,328.433,391.987,,0,0,0,0,0
2733.334,,326.447,389.866,,0,0,0,0,0
2800.001,,331.316,388.743,,0,0,0,0,0
2866.666,,327.908,386.174,,0,0,0,0,0
2933.334,,330.848,382.589,,0,0,0,0,0
3000.003,,333.926,378.629,,0,0,0,0,0
3066.666,,331.04,376.208,,0,0,0,0,0
3133.334,,330.136,370.32,,0,0,0,0,0
3200.0,,331.402,378.167,,0,0,0,0,0
3266.671,,333.765,380.286,,0,0,0,0,0
3333.338,,332.689,373.396,,0,0,0,0,0
3399.999,,331.283,380.686,,0,0,0,0,0
3466.666,,332.836,390.717,,0,0,0,0,0
3533.335,,334.162,394.039,,0,0,0,0,0
3600.002,,331.475,388.133,,0,0,0,0,0
3666.671,,327.545,384.482,,0,0,0,0,0
3733.333,,326.306,384.085,,0,0,0,0,0
3800.0,,325.19,378.947,,0,0,0,0,0
3866.665,,325.259,372.461,,0,0,0,0,0
3933.336,,327.086,370.799,,0,0,0,0,0
3999.999,,327.241,368.101,,0,0,0,0,0
4066.672,,327.803,380.102,,0,0,0,0,0
4133.332,,330.021,385.982,,0,0,0,0,0
4200.003,,331.668,391.367,,0,0,0,0,0
4266.669,,332.913,394.884,,0,0,0,0,0
4333.335,,329.472,388.334,,0,0,0,0,0
4400.001,,328.046,385.975,,0,0,0,0,0
4466.67,,326.411,397.742,,0,0,0,0,0
4533.334,,325.559,401.171,,0,0,0,0,0
4600.001,,327.207,397.448,,0,0,0,0,0
4666.667,,330.053,388.846,,0,0,0,0,0
4733.333,,329.536,387.979,,0,0,0,0,0
4800.001,,327.456,384.708,,0,0,0,0,0
4866.671,,328.716,386.253,,0,0,0,0,0
4933.333,,329.534,387.489,,0,0,0,0,0
5000.004,,326.737,383.257,,0,0,0,0,0
5066.671,,331.236,381.431,,0,0,0,0,0
5133.335,,330.599,388.802,,0,0,0,0,0
5200.002,,328.55,387.734,,0,0,0,0,0
5266.67,,330.374,390.841,,0,0,0,0,0
5333.332,,333.356,400.846,,0,0,0,0,0
5400.002,,332.251,396.336,,0,0,0,0,0
5466.668,,329.88,392.186,,0,0,0,0,0
5533.338,,328.471,387.993,,0,0,0,0,0
5600.004,,328.573,390.157,,0,0,0,0,0
5666.669,,329.393,393.958,,0,0,0,0,0
5733.332,,332.669,398.229,,0,0,0,0,0
5800.005,,329.542,394.447,,0,0,0,0,0
5866.666,,325.939,385.027,,0,0,0,0,0
5933.334,,320.922,376.672,,0,0,0,0,0
6000.003,,321.347,373.447,,0,0,0,0,0
6066.668,,324.478,385.417,,0,0,0,0,0
6133.333,,327.278,388.827,,0,0,0,0,0
6199.998,,329.048,391.6,,0,0,0,0,0
6266.667,,328.891,388.623,,0,0,0,0,0
