TimeStamp,Events,CH1-410,CH1-470,Unnamed: 4,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,Expected_Dispense_RWD
0.0,,596.168,1130.539,,0,0,0,0,0,0
66.663,,602.17,1160.66,,0,0,0,0,0,0
133.333,,600.375,1159.369,,0,0,0,0,0,0
200.002,,595.565,1150.377,,0,0,0,0,0,0
266.662,,589.562,1134.338,,0,0,0,0,0,0
333.33,,585.747,1106.777,,0,0,0,0,0,0
400.001,,586.236,1074.579,,0,0,0,0,0,0
466.666,,589.765,1055.102,,0,0,0,0,0,0
533.333,,590.301,1030.552,,0,0,0,0,0,0
600.001,,591.463,1003.264,,0,0,0,0,0,0
666.662,,578.451,991.613,,0,0,0,0,0,0
733.334,,575.603,967.455,,0,0,0,0,0,0
799.996,,574.539,940.693,,0,0,0,0,0,0
866.663,,578.794,944.691,,0,0,0,0,0,0
933.329,,573.955,945.643,,0,0,0,0,0,0
999.995,,570.689,942.284,,0,0,0,0,0,0
1066.664,,575.985,927.442,,0,0,0,0,0,0
1133.333,,571.146,916.389,,0,0,0,0,0,0
1199.996,,568.455,895.3,,0,0,0,0,0,0
1266.665,,569.78,880.646,,0,0,0,0,0,0
1333.333,,562.174,865.15,,0,0,0,0,0,0
1399.997,,563.343,853.55,,0,0,0,0,0,0
1466.668,,562.693,839.818,,0,0,0,0,0,0
1533.331,,563.27,835.688,,0,0,0,0,0,0
1599.999,,562.766,817.945,,0,0,0,0,0,0
1666.663,,560.851,801.177,,0,0,0,0,0,0
1733.328,,560.091,788.775,,0,0,0,0,0,0
1799.999,,559.467,776.784,,0,0,0,0,0,0
1866.665,,557.1,768.666,,0,0,0,0,0,0
1933.33,,556.859,758.494,,0,0,0,0,0,0
2000.001,,560.389,760.806,,0,0,0,0,0,0
2066.664,,567.712,757.775,,0,0,0,0,0,0
2133.334,,568.298,757.337,,0,0,0,0,0,0
2199.995,,571.413,759.629,,0,0,0,0,0,0
2266.665,,570.525,766.162,,0,0,0,0,0,0
2333.334,,569.993,774.873,,0,0,0,0,0,0
2400.001,,569.973,779.115,,0,0,0,0,0,0
2466.662,,568.815,782.019,,0,0,0,0,0,0
2533.33,,566.949,784.762,,0,0,0,0,0,0
2599.995,,565.504,792.998,,0,0,0,0,0,0
2666.665,,571.007,795.648,,0,0,0,0,0,0
2733.335,,571.295,789.687,,0,0,0,0,0,0
2799.999,,565.081,776.782,,0,0,0,0,0,0
2866.667,,566.122,763.534,,0,0,0,0,0,0
2933.33,,563.847,752.88,,0,0,0,0,0,0
2999.998,,563.278,745.277,,0,0,0,0,0,0
3066.666,,562.25,737.833,,0,0,0,0,0,0
3133.331,,560.798,736.522,,0,0,0,0,0,0
3200.001,,557.842,722.902,,0,0,0,0,0,0
3266.662,,558.545,724.669,,0,0,0,0,0,0
3333.334,,560.371,731.401,,0,0,0,0,0,0
3400.001,,560.025,730.838,,0,0,0,0,0,0
3466.664,,557.821,728.919,,0,0,0,0,0,0
3533.328,,555.434,727.868,,0,0,0,0,0,0
3599.997,,554.089,723.874,,0,0,0,0,0,0
3666.666,,554.271,737.712,,0,0,0,0,0,0
3733.335,,557.207,752.902,,0,0,0,0,0,0
3800.0,,560.212,775.415,,0,0,0,0,0,0
3866.665,,557.627,788.233,,0,0,0,0,0,0
3933.333,,556.974,806.371,,0,0,0,0,0,0
3999.995,,559.884,817.851,,0,0,0,0,0,0
4066.665,,561.242,815.188,,0,0,0,0,0,0
4133.329,,560.883,809.518,,0,0,0,0,0,0
4199.996,,559.991,798.957,,0,0,0,0,0,0
4266.667,,555.789,788.286,,0,0,0,0,0,0
4333.331,,551.506,786.334,,0,0,0,0,0,0
4399.996,,550.088,777.689,,0,0,0,0,0,0
4466.668,,547.844,771.302,,0,0,0,0,0,0
4533.328,,552.476,768.816,,0,0,0,0,0,0
4600.0,,556.915,772.911,,0,0,0,0,0,0
4666.668,,556.375,761.766,,0,0,0,0,0,0
4733.333,,562.616,753.526,,0,0,0,0,0,0
4799.997,,562.872,744.383,,0,0,0,0,0,0
4866.665,,560.634,740.586,,0,0,0,0,0,0
4933.333,,558.41,752.121,,0,0,0,0,0,0
4999.997,,561.365,766.788,,0,0,0,0,0,0
5066.663,,560.947,797.556,,0,0,0,0,0,0
5133.331,,560.658,827.865,,0,0,0,0,0,0
5199.999,,555.355,830.855,,0,0,0,0,0,0
5266.663,,557.835,829.867,,0,0,0,0,0,0
5333.335,,555.829,845.269,,0,0,0,0,0,0
5399.996,,553.161,854.235,,0,0,0,0,0,0
5466.666,,556.913,862.467,,0,0,0,0,0,0
5533.33,,549.18,845.02,,0,0,0,0,0,0
5600.0,,568.806,863.528,,0,0,0,0,0,0
