TimeStamp,Events,UV,Fluorescence,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,Expected_Dispense_RWD,TimeStampAdjusted,ToneStart,PelletGrab,ToneStart_5000,ToneStart_10000,ToneStart_20000,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,Dispense_Bonsai,Retrieval_Bonsai,DistFromFED,Xpos_cm,Ypos_cm
0.0,,907.216,1163.847,0,0,0,0,0,0,0.0,0,0,0,0,0,160.66684026968346,124.21330735812114,102.44334933366514,58.22349093601832,8.435679824372464,2.0855560194282003,,,,0,0,,,
66.666,,902.415,1158.164,0,0,0,0,0,0,0.066666,0,0,0,0,0,155.0325297101108,119.43791918833097,98.50490852608624,56.52762118402456,8.266356244554855,2.0248102394590224,,,,0,0,,,
133.332,,898.4,1145.512,0,0,0,0,0,0,0.133332,0,0,0,0,0,142.42921221541087,115.44852754296552,95.2147083800713,47.21450383533957,7.336490984037714,1.6912158837455338,,,,0,0,,,
200.0,,891.494,1134.016,0,0,0,0,0,0,0.2,0,0,0,0,0,130.98188924676276,108.56813319061791,89.54019042968825,41.44169881707451,6.7601070900903615,1.484434942560502,,,,0,0,,,
266.668,,885.898,1128.951,0,0,0,0,0,0,0.266668,0,0,0,0,0,125.96555934457422,102.9977353634688,84.9460754935077,41.01948385106651,6.717951170148399,1.4693112708311946,,,,0,0,,,
333.333,,883.514,1118.939,0,0,0,0,0,0,0.333333,0,0,0,0,0,116.00222032020396,100.63933291016872,83.00101299125267,33.00120732895128,5.91736888303828,1.182097903901451,,,,0,0,,,
400.003,,879.134,1106.401,0,0,0,0,0,0,0.400003,0,0,0,0,0,103.51287801380408,96.28492890283484,79.40977353062421,24.10310448317988,5.028940614499407,0.8633693004949231,,,,0,0,,,
466.665,,874.282,1099.762,0,0,0,0,0,0,0.466665,0,0,0,0,0,96.922522939067,91.45851835122336,75.42925266096026,21.49327027810673,4.768362542501898,0.7698854617797015,,,,0,0,,,
533.336,,869.309,1089.312,0,0,0,0,0,0,0.533336,0,0,0,0,0,86.52116750216283,86.51110778151315,71.34893856149932,15.1722289406635,4.137240166403931,0.543466784396618,,,,0,0,,,
599.997,,867.534,1082.236,0,0,0,0,0,0,0.599997,0,0,0,0,0,79.49379784144821,84.76168990175915,69.90612836007563,9.587669481372586,3.5796515908427904,0.3434287686586467,,,,0,0,,,
666.668,,863.534,1073.633,0,0,0,0,0,0,0.666668,0,0,0,0,0,70.93942854826514,80.78727238774047,66.62827793891181,4.311150609353334,3.0528192304359294,0.1544247168875317,,,,0,0,,,
733.336,,859.989,1065.17,0,0,0,0,0,0,0.733336,0,0,0,0,0,62.52505014015219,77.26785025114054,63.72567918273767,-1.2006290425854758,2.5024973317553725,-0.0430063379335339,,,,0,0,,,
800.001,,858.363,1057.961,0,0,0,0,0,0,0.800001,0,0,0,0,0,55.36466261904411,75.66742349291837,62.40574751854368,-7.041084899499566,1.919358861187822,-0.2522105212068644,,,,0,0,,,
866.664,,857.119,1054.516,0,0,0,0,0,0,0.866664,0,0,0,0,0,51.96826671592567,74.44899249756293,61.400862013385314,-9.432595297459647,1.6805792607629866,-0.3378740364961087,,,,0,0,,,
933.332,,853.096,1047.611,0,0,0,0,0,0,0.933332,0,0,0,0,0,45.11186753504012,70.45155995022344,58.1040302354824,-12.99216270044228,1.3251753775540922,-0.4653771646065254,,,,0,0,,,
999.999,,853.094,1043.037,0,0,0,0,0,0,0.999999,0,0,0,0,0,40.58646070277791,70.47512355005335,58.12346401549021,-17.537003312712294,0.8713972019216265,-0.6281726195660606,,,,0,0,,,
1066.667,,854.009,1034.843,0,0,0,0,0,0,1.0666669999999998,0,0,0,0,0,32.44104767792646,71.41568406444674,58.89917936682406,-26.458131688897595,-0.0193300434297619,-0.947725993744372,,,,0,0,,,
1133.33,,850.137,1032.894,0,0,0,0,0,0,1.13333,0,0,0,0,0,30.540624089367725,67.56923919380574,55.726872759694224,-25.1862486703265,0.1076607148879064,-0.9021673499264604,,,,0,0,,,
1200.002,,851.317,1028.836,0,0,0,0,0,0,1.200002,0,0,0,0,0,26.53120013908574,68.77479430518088,56.721139042896446,-30.189938903810702,-0.3919311562660457,-1.0813987240339424,,,,0,0,,,
1266.664,,848.394,1021.21,0,0,0,0,0,0,1.266664,0,0,0,0,0,18.95376198516874,65.8773421165157,54.33150211033498,-35.37774012516624,-0.909905530860182,-1.2672249239209343,,,,0,0,,,
1333.335,,846.157,1020.544,0,0,0,0,0,0,1.333335,0,0,0,0,0,18.33632346986633,63.66588991001436,52.50763495976615,-34.17131148989982,-0.7894500447725136,-1.2240108455164749,,,,0,0,,,
1399.997,,846.943,1016.381,0,0,0,0,0,0,1.3999970000000002,0,0,0,0,0,14.2218714834288,64.47743078871042,53.176943003433614,-38.955071520004815,-1.2670830542259122,-1.3953643553437882,,,,0,0,,,
1466.664,,844.194,1009.977,0,0,0,0,0,0,1.466664,0,0,0,0,0,7.866416223273859,61.75397011736584,50.93080336734807,-43.06438714407421,-1.6773763749540127,-1.5425593757338585,,,,0,0,,,
1533.335,,846.713,1005.003,0,0,0,0,0,0,1.533335,0,0,0,0,0,2.940956960832409,64.29850751268054,53.02937830153154,-50.088421340699135,-2.378688851065803,-1.7941591435241202,,,,0,0,,,
1600.001,,842.907,1002.053,0,0,0,0,0,0,1.600001,0,0,0,0,0,0.0394871446845854,60.51803952789783,49.9114852939631,-49.87199814927852,-2.3570801458667114,-1.7864068998445524,,,,0,0,,,
1666.668,,841.31,995.795,0,0,0,0,0,0,1.6666679999999998,0,0,0,0,0,-6.169988855788347,58.94656846172336,48.61543446942396,-54.78542332521231,-2.847659530856021,-1.962404994203742,,,,0,0,,,
1733.333,,837.526,994.067,0,0,0,0,0,0,1.733333,0,0,0,0,0,-7.849473223001951,55.188093165928535,45.51567965307655,-53.3651528760785,-2.705853076395842,-1.911531136645768,,,,0,0,,,
