TimeStamp,Name,State
256399.745,Input1,0
256495.744,Input1,1
263784.273,Input1,0
264295.655,Input1,1
366030.467,Input1,0
366126.467,Input1,1
378688.374,Input1,0
379183.315,Input1,1
518663.534,Input1,0
518775.533,Input1,1
526383.226,Input1,0
526878.071,Input1,1
621959.963,Input1,0
622055.967,Input1,1
633930.632,Input1,0
634442.184,Input1,1
767664.364,Input1,0
767760.385,Input1,1
791030.844,Input1,0
791526.027,Input1,1
885697.199,Input1,0
885793.151,Input1,1
898313.884,Input1,0
898825.886,Input1,1
998187.464,Input1,0
998283.373,Input1,1
1010014.385,Input1,0
1010510.692,Input1,1
1213551.651,Input1,0
1213646.654,Input1,1
1236464.946,Input1,0
1236975.929,Input1,1
1332920.862,Input1,0
1333016.389,Input1,1
1340991.550,Input1,0
1341487.597,Input1,1
1499691.134,Input1,0
1499787.135,Input1,1
1515294.774,Input1,0
1515802.594,Input1,1
1607820.373,Input1,0
1607932.368,Input1,1
1620207.100,Input1,0
1620719.097,Input1,1
1724620.441,Input1,0
1724732.390,Input1,1
1746420.767,Input1,0
1746932.137,Input1,1
1866409.723,Input1,0
1866505.722,Input1,1
1887922.119,Input1,0
1888418.220,Input1,1
1996107.234,Input1,0
1996203.490,Input1,1
2025595.952,Input1,0
2026090.985,Input1,1
2129004.291,Input1,0
2129099.291,Input1,1
2151644.011,Input1,0
2152138.888,Input1,1
2238826.238,Input1,0
2238922.241,Input1,1
2247217.784,Input1,0
2247729.166,Input1,1
2388850.989,Input1,0
2388946.990,Input1,1
2402644.139,Input1,0
2403156.342,Input1,1
2571088.162,Input1,0
2571184.089,Input1,1
2592680.969,Input1,0
2593180.666,Input1,1
2716060.370,Input1,0
2716160.427,Input1,1
2723405.897,Input1,0
2723906.076,Input1,1
2819966.904,Input1,0
2820067.904,Input1,1
2842746.954,Input1,0
2843248.667,Input1,1
