TimeStamp,Lights,Channel1
0.000,410,634.819
33.334,470,711.585
66.670,410,632.373
100.004,470,703.900
133.332,410,627.659
166.668,470,699.566
200.004,410,626.042
233.333,470,698.257
266.672,410,622.228
299.999,470,698.066
333.339,410,619.476
366.667,470,692.700
400.004,410,612.406
433.336,470,679.062
466.668,410,611.925
500.000,470,677.152
533.335,410,611.242
566.672,470,673.367
599.999,410,606.751
633.335,470,673.355
666.667,410,606.493
700.001,470,676.943
733.336,410,605.247
766.668,470,679.336
800.003,410,603.287
833.337,470,681.572
866.666,410,604.551
900.003,470,682.083
933.334,410,603.881
966.668,470,684.222
1000.000,410,602.182
1033.337,470,682.588
1066.667,410,601.807
1100.004,470,679.682
1133.335,410,602.002
1166.669,470,681.658
1200.004,410,601.735
1233.332,470,687.572
1266.670,410,602.464
1299.999,470,690.565
1333.334,410,602.449
1366.672,470,700.506
1400.002,410,602.176
1433.333,470,706.540
1466.668,410,599.518
1500.002,470,700.532
1533.336,410,599.485
1566.666,470,693.275
1600.004,410,599.679
1633.334,470,692.154
1666.670,410,599.152
1699.999,470,682.309
1733.334,410,597.393
1766.668,470,675.475
1800.006,410,598.195
1833.336,470,669.038
1866.669,410,596.407
1900.004,470,663.929
1933.333,410,596.871
1966.667,470,656.714
2000.004,410,596.750
2033.334,470,648.960
2066.672,410,594.536
2100.001,470,641.293
2133.336,410,592.961
2166.670,470,637.865
2200.000,410,594.204
2233.337,470,635.795
2266.666,410,595.425
2300.002,470,634.294
2333.337,410,596.669
2366.668,470,635.514
2400.000,410,598.052
2433.338,470,632.588
2466.669,410,596.726
2500.005,470,628.910
2533.335,410,596.910
2566.671,470,633.226
2600.002,410,595.919
2633.334,470,637.377
2666.669,410,596.477
2700.004,470,638.140
2733.335,410,596.689
2766.669,470,638.226
2800.001,410,593.947
2833.332,470,642.654
2866.670,410,597.396
2900.002,470,643.313
2933.333,410,594.057
2966.669,470,642.318
3000.000,410,594.533
3033.337,470,643.497
3066.672,410,594.034
3100.003,470,648.091
3133.337,410,597.155
3166.666,470,653.859
3200.002,410,594.625
3233.332,470,662.493
3266.666,410,597.338
3300.004,470,667.953
3333.333,410,595.128
3366.667,470,673.038
3400.005,410,594.554
3433.339,470,678.552
3466.669,410,598.164
3499.999,470,678.713
3533.337,410,595.902
3566.655,470,678.376
3600.000,410,597.058
3633.338,470,676.783
3666.668,410,598.639
3700.000,470,674.932
3733.338,410,596.014
3766.669,470,671.940
3800.005,410,596.636
3833.333,470,669.007
3866.666,410,597.195
3900.002,470,667.458
3933.336,410,596.165
3966.666,470,664.579
4000.002,410,596.381
4033.335,470,662.200
4066.665,410,597.000
4100.001,470,658.347
4133.335,410,595.702
4166.666,470,659.676
4200.004,410,594.316
4233.334,470,654.908
4266.667,410,596.418
4300.004,470,658.407
4333.334,410,595.553
4366.672,470,662.025
4400.000,410,595.309
4433.339,470,660.132
4466.669,410,597.045
4500.002,470,659.736
4533.334,410,597.673
4566.672,470,660.400
4600.002,410,597.343
4633.334,470,667.319
4666.667,410,596.126
4700.001,470,676.606
4733.337,410,598.468
4766.667,470,678.224
4800.000,410,597.516
4833.334,470,679.766
4866.670,410,596.163
4900.003,470,674.357
4933.338,410,596.116
4966.668,470,667.931
5000.003,410,598.429
5033.337,470,661.513
5066.668,410,597.566
5099.999,470,654.741
5133.338,410,594.651
5166.672,470,648.516
5200.001,410,596.053
5233.334,470,645.578
5266.668,410,596.263
5300.002,470,646.033
5333.336,410,597.342
5366.668,470,641.497
5400.002,410,598.533
5433.333,470,637.602
5466.667,410,596.249
5500.004,470,633.384
5533.333,410,595.654
5566.670,470,627.980
5600.003,410,594.720
5633.336,470,623.564
5666.671,410,593.445
5700.002,470,620.074
5733.333,410,590.823
5766.669,470,616.221
5800.001,410,595.432
5833.335,470,615.739
5866.671,410,595.695
5900.004,470,613.746
5933.335,410,595.399
5966.666,470,612.989
6000.001,410,594.992
6033.336,470,614.735
6066.672,410,593.751
6100.003,470,617.230
6133.338,410,594.769
6166.667,470,615.946
6200.002,410,594.045
6233.336,470,614.915
6266.667,410,593.751
6300.000,470,614.868
6333.339,410,592.023
6366.668,470,611.037
6400.004,410,590.647
6433.334,470,610.017
6466.667,410,592.106
6500.006,470,608.708
6533.336,410,592.801
6566.666,470,602.447
6600.004,410,590.688
6633.336,470,606.328
6666.672,410,591.295
6700.001,470,604.813
6733.335,410,591.370
6766.668,470,605.338
6800.001,410,592.246
6833.337,470,608.475
6866.666,410,591.074
6900.005,470,608.763
6933.333,410,590.982
6966.671,470,607.088
7000.002,410,591.257
7033.333,470,604.060
7066.672,410,590.017
7099.999,470,603.107
7133.339,410,588.543
7166.668,470,602.125
7200.001,410,587.659
7233.332,470,596.728
7266.669,410,586.987
7299.999,470,596.461
7333.336,410,588.967
7366.671,470,597.443
7400.005,410,589.549
7433.334,470,597.899
7466.670,410,589.622
7500.000,470,596.837
7533.339,410,591.149
7566.672,470,593.773
7600.005,410,591.910
7633.335,470,591.108
7666.669,410,591.831
7700.004,470,589.562
7733.333,410,588.954
7766.666,470,591.533
7799.999,410,591.224
7833.337,470,595.875
7866.672,410,590.399
7900.002,470,598.878
7933.337,410,592.408
7966.666,470,608.291
8000.003,410,593.758
8033.333,470,626.927
8066.666,410,594.173
8100.002,470,638.551
8133.339,410,592.691
8166.671,470,637.974
8200.002,410,592.114
8233.336,470,642.238
8266.670,410,592.507
8300.003,470,641.812
8333.334,410,588.573
8366.668,470,646.505
8400.005,410,589.294
8433.337,470,653.626
8466.672,410,591.292
8500.004,470,655.451
8533.333,410,591.568
8566.671,470,653.896
8600.002,410,584.031
8633.332,470,660.180
8666.672,410,586.489
8700.001,470,661.005
8733.334,410,586.549
8766.670,470,659.820
8800.000,410,588.813
8833.335,470,660.703
8866.672,410,588.805
8900.000,470,663.175
8933.334,410,588.682
8966.667,470,664.091
9000.005,410,588.805
9033.338,470,660.529
9066.670,410,586.459
9099.999,470,661.860
9133.336,410,587.317
9166.669,470,659.547
9200.003,410,589.164
9233.336,470,654.606
9266.670,410,589.212
9300.001,470,646.988
9333.335,410,592.583
9366.665,470,644.737
9400.001,410,583.207
9433.336,470,644.480
9466.672,410,586.834
9500.002,470,642.879
9533.334,410,587.498
9566.669,470,647.395
9600.001,410,589.703
9633.339,470,645.294
9666.668,410,588.418
9700.004,470,649.224
9733.339,410,589.827
9766.668,470,649.795
9800.005,410,592.907
9833.332,470,653.476
9866.666,410,589.401
9900.003,470,652.366
9933.334,410,590.936
9966.670,470,649.363
10000.004,410,591.520
10033.336,470,649.780
10066.667,410,590.918
10100.004,470,647.508
10133.336,410,590.340
10166.670,470,641.823
10200.004,410,589.900
10233.339,470,638.063
10266.669,410,589.399
10300.002,470,637.088
10333.335,410,591.117
10366.670,470,636.878
10400.000,410,590.124
10433.338,470,639.050
10466.668,410,590.330
10500.002,470,637.971
10533.336,410,592.596
10566.666,470,648.657
10600.003,410,597.315
10633.334,470,647.913
10666.670,410,595.880
10700.000,470,657.334
10733.337,410,593.426
10766.671,470,660.909
10800.005,410,596.277
10833.339,470,668.066
10866.668,410,598.827
10900.004,470,692.535
10933.334,410,596.105
10966.670,470,701.781
11000.000,410,598.090
11033.335,470,709.700
11066.671,410,593.160
11100.001,470,716.471
11133.335,410,593.567
11166.667,470,723.598
11200.001,410,593.123
11233.336,470,732.045
11266.669,410,595.812
11300.005,470,750.968
11333.336,410,592.267
11366.666,470,771.603
11400.005,410,593.451
11433.338,470,781.530
11466.667,410,590.515
11499.999,470,784.622
11533.337,410,594.666
11566.668,470,778.010
11600.002,410,593.121
11633.337,470,772.257
11666.667,410,590.171
11699.999,470,759.522
11733.335,410,593.262
11766.667,470,747.041
11800.000,410,591.448
11833.333,470,741.404
11866.668,410,594.275
11900.004,470,729.128
11933.336,410,592.684
11966.672,470,716.456
12000.004,410,589.912
12033.337,470,711.584
12066.667,410,590.529
12100.002,470,701.934
12133.334,410,588.994
12166.666,470,697.538
12200.004,410,591.266
12233.333,470,695.430
12266.671,410,589.686
12300.001,470,686.354
12333.336,410,586.820
12366.665,470,681.013
12400.004,410,589.859
12433.336,470,672.610
12466.669,410,587.204
12499.999,470,667.782
12533.336,410,587.375
12566.668,470,660.966
12600.000,410,590.819
12633.336,470,662.468
12666.668,410,592.382
12700.000,470,660.030
12733.338,410,588.215
12766.665,470,655.396
12800.000,410,588.311
12833.336,470,654.716
12866.667,410,586.461
12900.001,470,651.371
12933.332,410,588.967
12966.670,470,651.101
13000.004,410,585.247
13033.335,470,648.951
13066.672,410,587.251
13100.002,470,653.092
13133.334,410,592.165
13166.668,470,646.234
13200.003,410,586.820
13233.338,470,642.174
13266.666,410,583.557
13300.002,470,639.372
13333.334,410,584.173
13366.666,470,639.037
13400.002,410,584.782
13433.337,470,639.666
13466.668,410,585.977
13499.999,470,647.218
13533.338,410,583.303
13566.668,470,648.956
13600.004,410,587.344
13633.334,470,644.248
13666.670,410,584.990
13700.001,470,644.190
13733.336,410,583.919
13766.669,470,637.236
13800.005,410,585.481
13833.335,470,638.065
13866.671,410,587.740
13900.003,470,635.456
13933.332,410,583.847
13966.671,470,633.797
14000.003,410,585.307
14033.336,470,632.951
14066.672,410,586.291
14100.000,470,633.090
14133.339,410,586.090
14166.669,470,630.025
14200.002,410,587.618
14233.339,470,628.536
14266.670,410,585.003
14300.005,470,631.178
14333.334,410,588.504
14366.671,470,628.195
14400.001,410,586.665
14433.333,470,620.815
14466.672,410,584.290
14500.000,470,614.518
14533.339,410,587.217
14566.672,470,619.282
14600.002,410,588.998
14633.334,470,616.880
14666.666,410,585.299
14700.005,470,613.077
14733.335,410,584.168
14766.671,470,611.797
14799.999,410,585.640
14833.333,470,613.581
14866.672,410,588.328
14900.004,470,615.024
14933.338,410,592.225
14966.666,470,609.329
15000.002,410,592.383
15033.332,470,609.824
15066.669,410,589.468
15100.000,470,604.222
15133.339,410,588.752
15166.670,470,603.004
15200.003,410,586.402
15233.338,470,601.629
15266.671,410,584.711
15300.005,470,596.876
15333.339,410,580.485
15366.670,470,599.207
15400.002,410,581.936
15433.339,470,598.057
15466.669,410,580.002
15500.005,470,597.615
15533.338,410,580.283
15566.670,470,602.693
15600.002,410,580.948
15633.338,470,611.516
15666.665,410,577.605
15700.005,470,613.245
15733.337,410,579.165
15766.669,470,617.748
15800.006,410,577.578
15833.333,470,621.081
15866.668,410,579.522
15900.000,470,621.141
15933.337,410,580.348
15966.672,470,625.693
15999.983,410,581.392
16033.317,470,629.410
16066.626,410,583.257
16099.965,470,635.039
16133.272,410,584.454
16166.607,470,637.841
16199.921,410,585.793
16233.253,470,638.637
16266.564,410,584.202
16299.903,470,642.006
16333.212,410,584.962
16366.545,470,640.276
16399.860,410,587.536
16433.195,470,635.096
16466.504,410,586.925
16499.843,470,632.618
16533.147,410,587.057
16566.482,470,625.541
16599.789,410,585.942
16633.133,470,624.710
16666.437,410,585.580
16699.778,470,628.401
16733.084,410,588.149
16766.422,470,633.100
16799.728,410,586.650
16833.069,470,632.622
16866.372,410,584.964
16899.713,470,635.403
16933.017,410,585.382
16966.358,470,633.986
16999.660,410,584.638
17033.001,470,636.858
17066.299,410,586.416
17099.645,470,635.693
17132.941,410,588.930
17166.286,470,648.047
17199.591,410,590.351
17232.932,470,637.242
17266.228,410,585.228
17299.576,470,636.465
17332.876,410,586.417
17366.216,470,638.237
17399.516,410,586.779
17432.861,470,637.010
17466.159,410,586.197
17499.509,470,634.296
17532.799,410,588.377
17566.148,470,633.204
17599.442,410,588.761
17632.794,470,633.244
17666.084,410,589.602
17699.434,470,633.276
17732.731,410,589.192
17766.075,470,631.690
17799.370,410,590.984
17832.722,470,626.232
17866.014,410,591.397
17899.365,470,624.602
17932.656,410,590.491
17966.005,470,620.892
17999.298,410,588.320
18032.649,470,619.612
18065.934,410,587.717
18099.287,470,619.357
18132.575,410,584.908
18165.930,470,621.618
18199.218,410,589.611
18232.575,470,615.721
18265.855,410,592.276
18299.216,470,612.427
18332.501,410,587.210
18365.852,470,606.848
18399.139,410,586.551
18432.493,470,598.977
