TimeStamp,Name,State
110125.177,Input1,0
110220.078,Input1,1
122191.072,Input1,0
122688.009,Input1,1
127641.372,Input1,0
128648.592,Input1,1
303779.814,Input1,0
303875.562,Input1,1
309548.919,Input1,0
310044.843,Input1,1
317601.013,Input1,0
318607.605,Input1,1
471989.641,Input1,0
472084.324,Input1,1
477726.335,Input1,0
478231.544,Input1,1
480021.799,Input1,0
481013.040,Input1,1
654141.550,Input1,0
654236.388,Input1,1
664848.709,Input1,0
665344.435,Input1,1
725573.394,Input1,0
726563.545,Input1,1
936791.180,Input1,0
936893.320,Input1,1
957656.154,Input1,0
958165.859,Input1,1
959013.861,Input1,0
960004.988,Input1,1
1224204.286,Input1,0
1224300.371,Input1,1
1234896.722,Input1,0
1235392.562,Input1,1
1236239.266,Input1,0
1237246.037,Input1,1
1383992.445,Input1,0
1384104.073,Input1,1
1394747.967,Input1,0
1395244.097,Input1,1
1396107.224,Input1,0
1397098.143,Input1,1
1510230.134,Input1,0
1510341.937,Input1,1
1530991.929,Input1,0
1531486.845,Input1,1
1535690.558,Input1,0
1536697.241,Input1,1
1793437.175,Input1,0
1793532.751,Input1,1
1799174.786,Input1,0
1799671.205,Input1,1
1800581.183,Input1,0
1801588.551,Input1,1
1971906.635,Input1,0
1972018.378,Input1,1
1982726.862,Input1,0
1983222.360,Input1,1
1989200.600,Input1,0
1990206.187,Input1,1
2214739.390,Input1,0
2214835.073,Input1,1
2225447.844,Input1,0
2225959.070,Input1,1
2226806.331,Input1,0
2227813.636,Input1,1
2359035.148,Input1,0
2359130.823,Input1,1
2379749.786,Input1,0
2380244.876,Input1,1
2385758.407,Input1,0
2386767.673,Input1,1
2569442.079,Input1,0
2569553.716,Input1,1
2590235.873,Input1,0
2590747.498,Input1,1
2591594.565,Input1,0
2592585.491,Input1,1
2782453.890,Input1,0
2782549.566,Input1,1
2788223.845,Input1,0
2788719.220,Input1,1
2791774.386,Input1,0
2792778.984,Input1,1
2890254.810,Input1,0
2890351.102,Input1,1
2910952.666,Input1,0
2911464.069,Input1,1
2912311.177,Input1,0
2913301.840,Input1,1
3044664.087,Input1,0
3044759.847,Input1,1
3050416.428,Input1,0
3050912.792,Input1,1
3070395.753,Input1,0
3071402.723,Input1,1
3234133.101,Input1,0
3234229.424,Input1,1
3244931.394,Input1,0
3245417.335,Input1,1
3246280.588,Input1,0
3247271.114,Input1,1
3395493.988,Input1,0
3395589.832,Input1,1
3416208.086,Input1,0
3416703.124,Input1,1
3500759.510,Input1,0
3501766.205,Input1,1
3625698.400,Input1,0
3625809.394,Input1,1
3631499.488,Input1,0
3631995.219,Input1,1
3705553.019,Input1,0
3706559.878,Input1,1
3798679.524,Input1,0
3798775.205,Input1,1
3819440.648,Input1,0
3819936.313,Input1,1
3855490.549,Input1,0
3856486.850,Input1,1
4019138.415,Input1,0
4019234.974,Input1,1
4024988.259,Input1,0
4025484.570,Input1,1
