Time,ACUTE_SHAM,ACUTE_SNI,ACUTE_SHAM_SEM,ACUTE_SNI_SEM
1.000000000,4.111733333,3.937916667,1.281586028,1.163166137
2.000000000,4.105950000,4.997450000,1.514972261,1.846662658
3.000000000,3.414166667,1.906841667,0.976122018,0.554819789
4.000000000,5.234750000,3.446250000,1.098842636,1.252229019
5.000000000,2.690950000,12.838200000,0.819752224,3.460993879
6.000000000,27.063500000,28.889166667,6.975360063,6.835857050
7.000000000,19.102333333,10.967066667,4.904229132,3.624287296
8.000000000,7.632583333,4.154983333,3.385571002,1.127244716
9.000000000,16.986666667,19.608333333,3.822092544,2.616319655
10.000000000,24.352500000,27.465000000,2.877806700,3.929991229
11.000000000,21.688333333,24.459166667,4.096050358,3.399157752
12.000000000,13.991833333,19.032500000,3.847337887,4.720023614
13.000000000,18.706666667,13.224166667,2.688490715,3.038266666
14.000000000,11.355666667,9.560000000,3.432685697,1.082709844
15.000000000,7.945666667,12.586666667,2.309169401,2.704417355
16.000000000,10.441866667,6.398333333,2.614895568,1.981786321
17.000000000,5.730950000,6.070700000,2.196454901,1.903074672
18.000000000,5.717416667,7.502333333,1.435188244,1.746631144
19.000000000,6.983700000,8.244283333,1.487746433,2.455380764
20.000000000,8.299250000,7.093866667,2.827189651,1.733820855
21.000000000,4.713433333,2.693533333,1.215038393,0.611150948
22.000000000,3.231866667,4.916833333,1.554149065,1.030882836
23.000000000,4.002366667,2.766141667,0.933435468,0.655421741
24.000000000,4.476200000,3.872733333,1.274288762,1.206973158
25.000000000,3.278166667,3.345808333,1.008111021,1.316271733
26.000000000,2.916433333,3.643533333,1.025354250,1.295465283
27.000000000,3.138216667,3.650616667,1.169190960,1.213774222
28.000000000,3.543583333,4.495066667,1.366352069,1.344008344
29.000000000,4.703283333,2.650366667,0.976412850,1.225593102
30.000000000,15.332583333,9.692500000,2.572563044,1.606691559
31.000000000,2.783750000,2.280950000,0.829084637,0.511642317
32.000000000,5.120750000,2.755916667,1.401784183,0.641865173
33.000000000,13.404416667,20.796666667,3.030495053,4.136140848
34.000000000,26.875000000,28.908333333,3.063893468,2.679225870
35.000000000,17.273333333,23.713333333,4.007949361,3.862154630
36.000000000,16.798000000,18.355833333,3.252668424,3.518370288
37.000000000,13.544250000,11.807866667,2.888140253,2.160672442
38.000000000,9.759533333,13.630833333,2.494184759,2.671376180
39.000000000,9.257500000,10.920833333,2.403776424,1.915497980
40.000000000,9.820250000,6.563416667,3.296047224,1.492137700
41.000000000,5.082916667,7.638916667,1.284855348,1.549481817
42.000000000,7.402916667,9.552200000,1.504872669,2.403735889
43.000000000,10.162500000,10.800833333,2.720132050,2.399259816
44.000000000,6.135833333,8.784566667,1.399766056,1.843467594
45.000000000,3.632866667,2.873750000,1.009813292,0.940852242
46.000000000,3.515283333,1.981083333,0.906053319,0.499282841
47.000000000,3.221616667,3.533000000,0.704993205,1.521324737
48.000000000,3.425641667,3.575000000,1.393422429,0.789343216
49.000000000,3.029766667,3.945816667,1.198313953,1.703571680
50.000000000,3.946200000,4.245916667,1.251190766,1.248604321
51.000000000,9.389500000,8.993616667,3.449994584,2.451609477
52.000000000,3.002958333,1.221900000,1.549114174,0.444880163
53.000000000,3.605583333,2.628500000,1.362288001,0.736608902
54.000000000,15.906333333,10.236666667,3.072821197,1.479734995
55.000000000,5.373266667,1.210208333,1.901217644,0.537645765
56.000000000,6.522416667,7.399250000,1.553454398,2.306693512
57.000000000,14.548333333,19.170000000,4.197546692,3.284602739
58.000000000,29.325000000,27.596666667,2.868061456,4.734370512
59.000000000,16.431666667,25.585166667,3.956111657,4.729662621
60.000000000,12.248333333,14.249000000,2.935597310,3.709266786
61.000000000,16.684500000,11.732916667,2.753081184,1.740188563
62.000000000,11.383833333,16.288333333,3.215579334,3.704578010
63.000000000,12.347500000,12.223333333,2.645929729,2.247185557
64.000000000,9.594500000,5.145858333,3.028415919,1.643360456
65.000000000,6.450416667,9.303000000,2.628414802,2.955565731
66.000000000,15.393833333,8.748583333,3.328580938,2.052464086
67.000000000,5.529416667,10.534750000,2.220738699,2.930100860
68.000000000,9.881733333,8.868333333,2.710376708,1.183875143
69.000000000,4.540833333,4.100366667,1.125093005,1.567486769
70.000000000,4.978866667,4.177475000,1.997284035,1.830268312
71.000000000,4.814233333,8.397666667,2.123180654,1.618341273
72.000000000,7.967866667,9.072866667,1.543874761,1.998915200
73.000000000,14.610833333,13.188333333,3.058126397,2.335433200
74.000000000,15.706066667,14.809533333,4.096939365,3.544822264
75.000000000,12.490833333,10.649166667,3.721698142,3.484807159
76.000000000,8.735166667,4.501258333,2.215384192,1.211417324
77.000000000,5.492750000,5.234000000,1.474959307,1.708987029
78.000000000,3.210775000,3.150833333,0.955051908,1.226811578
79.000000000,5.862958333,8.997766667,1.665475442,2.675512308
80.000000000,10.261666667,7.235700000,3.024077328,1.614574148
81.000000000,12.515500000,11.633750000,3.244081514,2.886428217
82.000000000,18.751533333,12.043333333,5.625166478,2.718196632
83.000000000,19.310366667,9.196116667,5.291881765,2.796204843
84.000000000,15.220000000,7.301483333,4.240704451,1.847377800
85.000000000,12.354833333,4.722866667,3.039477781,1.458956634
86.000000000,7.657200000,5.690675000,1.957985006,2.334219177
87.000000000,6.380058333,8.145900000,1.340413335,2.782744439
88.000000000,4.942400000,5.065900000,1.720352324,1.501371513
89.000000000,5.047825000,8.138241667,1.319994108,2.999853935
90.000000000,4.926791667,10.737816667,1.734506354,3.573668398
91.000000000,3.283200000,5.444833333,0.882940458,1.493099303
92.000000000,5.635200000,10.975833333,1.711527142,3.133682232
93.000000000,8.340233333,9.247375000,2.722021867,3.061756822
94.000000000,5.920108333,7.486233333,1.695712014,2.134865560
95.000000000,8.649166667,10.478058333,2.123726163,3.269833884
96.000000000,2.650516667,3.321733333,0.877782132,1.050042664
97.000000000,6.298033333,8.896283333,1.786696827,3.720910387
98.000000000,7.823966667,6.022033333,2.478254177,2.517423163
99.000000000,2.583591667,2.503983333,0.834153466,1.083345895
100.000000000,2.005400000,4.848441667,0.804095119,2.038721828
101.000000000,4.777033333,6.605033333,1.096009379,1.963164165
102.000000000,5.902450000,8.461283333,1.576298234,1.931621725
103.000000000,6.295725000,3.649850000,2.079152239,1.406807300
104.000000000,5.014325000,7.039916667,1.308088538,2.277653699
105.000000000,10.910000000,10.232000000,1.925680124,2.125116054
106.000000000,11.795000000,13.325500000,2.545030065,2.570288854
107.000000000,14.364141667,6.473758333,3.011976433,2.351953463
108.000000000,15.973333333,13.605366667,3.115482922,3.440110959
