Time,56C
5/6/2024 11:00,
5/6/2024 12:00,
5/6/2024 13:00,
5/6/2024 14:00,
5/6/2024 15:00,
5/6/2024 16:00,43.5
5/6/2024 17:00,3.56
5/6/2024 18:00,1.91
5/6/2024 19:00,31.8
5/6/2024 20:00,43
5/6/2024 21:00,35.8
5/6/2024 22:00,22.1
5/6/2024 23:00,30.3
5/7/2024 0:00,14.1
5/7/2024 1:00,0.0244
5/7/2024 2:00,3.26
5/7/2024 3:00,4.3
5/7/2024 4:00,2.11
5/7/2024 5:00,2.14
5/7/2024 6:00,13.3
5/7/2024 7:00,0.175
5/7/2024 8:00,2.87
5/7/2024 9:00,6.78
5/7/2024 10:00,0.801
5/7/2024 11:00,3.99
5/7/2024 12:00,0.559
5/7/2024 13:00,0.507
5/7/2024 14:00,9.31
5/7/2024 15:00,0.341
5/7/2024 16:00,9.17
5/7/2024 17:00,0.739
5/7/2024 18:00,2.56
5/7/2024 19:00,24.1
5/7/2024 20:00,46.7
5/7/2024 21:00,30.6
5/7/2024 22:00,0.546
5/7/2024 23:00,0.0244
5/8/2024 0:00,18
5/8/2024 1:00,5.3
5/8/2024 2:00,3.68
5/8/2024 3:00,0.137
5/8/2024 4:00,19.4
5/8/2024 5:00,1.44
5/8/2024 6:00,11.2
5/8/2024 7:00,0.0244
5/8/2024 8:00,1.52
5/8/2024 9:00,0.0484
5/8/2024 10:00,14.8
5/8/2024 11:00,0.0244
5/8/2024 12:00,1.45
5/8/2024 13:00,18.8
5/8/2024 14:00,1.74
5/8/2024 15:00,0.916
5/8/2024 16:00,12.5
5/8/2024 17:00,0.593
5/8/2024 18:00,2.57
5/8/2024 19:00,43.5
5/8/2024 20:00,42.1
5/8/2024 21:00,39
5/8/2024 22:00,13
5/8/2024 23:00,3.03
5/9/2024 0:00,30.1
5/9/2024 1:00,6.23
5/9/2024 2:00,1.3
5/9/2024 3:00,31.9
5/9/2024 4:00,2.03
5/9/2024 5:00,3.64
5/9/2024 6:00,6.04
5/9/2024 7:00,16.1
5/9/2024 8:00,2.26
5/9/2024 9:00,6.13
5/9/2024 10:00,1.39
5/9/2024 11:00,16.5
5/9/2024 12:00,1.16
5/9/2024 13:00,0.168
