Time,A0D
5/6/2024 11:00,
5/6/2024 12:00,0.0244
5/6/2024 13:00,0.0244
5/6/2024 14:00,
5/6/2024 15:00,
5/6/2024 16:00,43.4
5/6/2024 17:00,45.7
5/6/2024 18:00,43
5/6/2024 19:00,1.52
5/6/2024 20:00,28.8
5/6/2024 21:00,40
5/6/2024 22:00,0.742
5/6/2024 23:00,25.9
5/7/2024 0:00,8.63
5/7/2024 1:00,1.92
5/7/2024 2:00,17.2
5/7/2024 3:00,4.73
5/7/2024 4:00,0.567
5/7/2024 5:00,1.23
5/7/2024 6:00,9.38
5/7/2024 7:00,3.92
5/7/2024 8:00,0.297
5/7/2024 9:00,6.73
5/7/2024 10:00,0.376
5/7/2024 11:00,0.102
5/7/2024 12:00,12.4
5/7/2024 13:00,0.0244
5/7/2024 14:00,0.698
5/7/2024 15:00,9.43
5/7/2024 16:00,30.3
5/7/2024 17:00,0.93
5/7/2024 18:00,12.9
5/7/2024 19:00,3.63
5/7/2024 20:00,10.4
5/7/2024 21:00,24.2
5/7/2024 22:00,8.22
5/7/2024 23:00,7.71
5/8/2024 0:00,1.68
5/8/2024 1:00,23
5/8/2024 2:00,0.242
5/8/2024 3:00,5.09
5/8/2024 4:00,18.6
5/8/2024 5:00,2.88
5/8/2024 6:00,12.8
5/8/2024 7:00,4.44
5/8/2024 8:00,4.32
5/8/2024 9:00,0.147
5/8/2024 10:00,0.163
5/8/2024 11:00,0.561
5/8/2024 12:00,2.97
5/8/2024 13:00,19.5
5/8/2024 14:00,0.146
5/8/2024 15:00,1.08
5/8/2024 16:00,36.3
5/8/2024 17:00,0.0244
5/8/2024 18:00,2.77
5/8/2024 19:00,3.82
5/8/2024 20:00,31.7
5/8/2024 21:00,6.75
5/8/2024 22:00,16.6
5/8/2024 23:00,11.5
5/9/2024 0:00,32.1
5/9/2024 1:00,4.37
5/9/2024 2:00,4.9
5/9/2024 3:00,29.8
5/9/2024 4:00,13.7
5/9/2024 5:00,0.878
5/9/2024 6:00,27.6
5/9/2024 7:00,6
5/9/2024 8:00,20.5
5/9/2024 9:00,0.0244
5/9/2024 10:00,3.31
5/9/2024 11:00,2.27
5/9/2024 12:00,0.0244
5/9/2024 13:00,2.04
5/9/2024 14:00,6.88
5/9/2024 15:00,3.1
5/9/2024 16:00,3.42
5/9/2024 17:00,5.06
5/9/2024 18:00,13.2
5/9/2024 19:00,27.8
5/9/2024 20:00,50
5/9/2024 21:00,47.1
5/9/2024 22:00,37.7
5/9/2024 23:00,18.2
5/10/2024 0:00,8.49
5/10/2024 1:00,10.7
5/10/2024 2:00,1.51
5/10/2024 3:00,4.88
5/10/2024 4:00,1.84
5/10/2024 5:00,0.78
5/10/2024 6:00,13.6
5/10/2024 7:00,15
5/10/2024 8:00,7.67
5/10/2024 9:00,5.58
5/10/2024 10:00,4.27
5/10/2024 11:00,6.17
5/10/2024 12:00,23.9
5/10/2024 13:00,1.16
5/10/2024 14:00,0.154
5/10/2024 15:00,5.98
5/10/2024 16:00,14.4
5/10/2024 17:00,11.4
5/10/2024 18:00,2.18
5/10/2024 19:00,3.67
5/10/2024 20:00,6.85
5/10/2024 21:00,2.14
5/10/2024 22:00,8.58
5/10/2024 23:00,31.2
5/11/2024 0:00,26.2
5/11/2024 1:00,6.36
5/11/2024 2:00,1.89
5/11/2024 3:00,5.35
5/11/2024 4:00,47.2
5/11/2024 5:00,18.8
5/11/2024 6:00,4.31
5/11/2024 7:00,1.81
5/11/2024 8:00,0.0244
5/11/2024 9:00,0.254
5/11/2024 10:00,16
5/11/2024 11:00,0.0641
5/11/2024 12:00,0.0746
5/11/2024 13:00,0.0469
5/11/2024 14:00,9.56
5/11/2024 15:00,0.0244
5/11/2024 16:00,12.3
5/11/2024 17:00,0.291
5/11/2024 18:00,0.975
5/11/2024 19:00,18.6
5/11/2024 20:00,25.4
5/11/2024 21:00,0.165
5/11/2024 22:00,32.3
5/11/2024 23:00,59.6
5/12/2024 0:00,57.2
5/12/2024 1:00,7.92
5/12/2024 2:00,16
5/12/2024 3:00,37.5
5/12/2024 4:00,0.0244
5/12/2024 5:00,23.1
5/12/2024 6:00,1.6
5/12/2024 7:00,2.22
5/12/2024 8:00,10.6
5/12/2024 9:00,19.6
5/12/2024 10:00,0.292
5/12/2024 11:00,0.325
5/12/2024 12:00,3.06
5/12/2024 13:00,26
5/12/2024 14:00,0.0244
5/12/2024 15:00,3.85
5/12/2024 16:00,21.4
5/12/2024 17:00,0.0244
5/12/2024 18:00,1.53
5/12/2024 19:00,0.111
5/12/2024 20:00,30.6
5/12/2024 21:00,52.6
5/12/2024 22:00,31.7
5/12/2024 23:00,28
5/13/2024 0:00,33.9
5/13/2024 1:00,17.8
5/13/2024 2:00,19
5/13/2024 3:00,1.43
5/13/2024 4:00,48.3
5/13/2024 5:00,5.82
5/13/2024 6:00,21.3
5/13/2024 7:00,0.208
5/13/2024 8:00,11.2
5/13/2024 9:00,0.216
5/13/2024 10:00,0.264
5/13/2024 11:00,8.98
5/13/2024 12:00,36.1
5/13/2024 13:00,0.148
5/13/2024 14:00,0.0368
5/13/2024 15:00,3.95
5/13/2024 16:00,6.24
5/13/2024 17:00,10.8
5/13/2024 18:00,0.934
5/13/2024 19:00,20.4
5/13/2024 20:00,1.53
5/13/2024 21:00,30.8
5/13/2024 22:00,52.3
5/13/2024 23:00,40.3
5/14/2024 0:00,1.09
5/14/2024 1:00,6.56
5/14/2024 2:00,53.4
5/14/2024 3:00,33.4
5/14/2024 4:00,1.2
5/14/2024 5:00,33.2
5/14/2024 6:00,15.6
5/14/2024 7:00,17.2
5/14/2024 8:00,0.0244
5/14/2024 9:00,15.6
5/14/2024 10:00,25.2
5/14/2024 11:00,2.58
5/14/2024 12:00,10.4
5/14/2024 13:00,1.79
5/14/2024 14:00,5.54
5/14/2024 15:00,0.0244
5/14/2024 16:00,8.82
5/14/2024 17:00,21.2
5/14/2024 18:00,2.94
5/14/2024 19:00,15.5
5/14/2024 20:00,12.9
5/14/2024 21:00,45.2
5/14/2024 22:00,33.5
5/14/2024 23:00,27.7
5/15/2024 0:00,12.6
5/15/2024 1:00,1.71
5/15/2024 2:00,47.2
5/15/2024 3:00,41.6
5/15/2024 4:00,3.11
5/15/2024 5:00,26.8
5/15/2024 6:00,0.548
5/15/2024 7:00,0.0244
5/15/2024 8:00,19.1
5/15/2024 9:00,6.37
5/15/2024 10:00,0.0244
5/15/2024 11:00,0.675
5/15/2024 12:00,24.1
5/15/2024 13:00,0.0244
5/15/2024 14:00,11
5/15/2024 15:00,0.0244
5/15/2024 16:00,4.24
5/15/2024 17:00,26
5/15/2024 18:00,17.8
5/15/2024 19:00,34.6
5/15/2024 20:00,55.8
5/15/2024 21:00,58.1
5/15/2024 22:00,21.7
5/15/2024 23:00,0.0244
5/16/2024 0:00,42.3
5/16/2024 1:00,52.9
5/16/2024 2:00,5.88
5/16/2024 3:00,0.37
5/16/2024 4:00,30.7
5/16/2024 5:00,43
5/16/2024 6:00,1.9
5/16/2024 7:00,0.0244
5/16/2024 8:00,18
5/16/2024 9:00,0.0244
5/16/2024 10:00,0.123
5/16/2024 11:00,6.9
5/16/2024 12:00,0.0244
5/16/2024 13:00,11.5
5/16/2024 14:00,2.95
5/16/2024 15:00,0.0244
5/16/2024 16:00,11.3
5/16/2024 17:00,20.9
5/16/2024 18:00,0.0444
5/16/2024 19:00,54.7
5/16/2024 20:00,59.8
5/16/2024 21:00,21.2
5/16/2024 22:00,32.6
5/16/2024 23:00,4.84
5/17/2024 0:00,41.8
5/17/2024 1:00,10.3
5/17/2024 2:00,2.36
5/17/2024 3:00,39.3
5/17/2024 4:00,0.0303
5/17/2024 5:00,23.5
5/17/2024 6:00,5.9
5/17/2024 7:00,17.6
5/17/2024 8:00,0.0244
5/17/2024 9:00,2.87
5/17/2024 10:00,0.0546
5/17/2024 11:00,22.6
5/17/2024 12:00,0.0244
5/17/2024 13:00,0.0244
5/17/2024 14:00,0.695
5/17/2024 15:00,44
5/17/2024 16:00,0.0834
5/17/2024 17:00,0.0244
