Time,50D
5/6/2024 11:00,0.0244
5/6/2024 12:00,0.0244
5/6/2024 13:00,0.0244
5/6/2024 14:00,
5/6/2024 15:00,
5/6/2024 16:00,58.5
5/6/2024 17:00,24.4
5/6/2024 18:00,4.5
5/6/2024 19:00,9.97
5/6/2024 20:00,25.6
5/6/2024 21:00,16.4
5/6/2024 22:00,12.2
5/6/2024 23:00,5.02
5/7/2024 0:00,9.43
5/7/2024 1:00,3.47
5/7/2024 2:00,1.27
5/7/2024 3:00,13.8
5/7/2024 4:00,0.654
5/7/2024 5:00,6.9
5/7/2024 6:00,3.96
5/7/2024 7:00,0.567
5/7/2024 8:00,9.91
5/7/2024 9:00,0.0723
5/7/2024 10:00,0.251
5/7/2024 11:00,1.01
5/7/2024 12:00,0.312
5/7/2024 13:00,2.97
5/7/2024 14:00,0.445
5/7/2024 15:00,0.645
5/7/2024 16:00,11.4
5/7/2024 17:00,3.39
5/7/2024 18:00,2.82
5/7/2024 19:00,19.9
5/7/2024 20:00,18.8
5/7/2024 21:00,23.9
5/7/2024 22:00,9.38
5/7/2024 23:00,15
5/8/2024 0:00,8.56
5/8/2024 1:00,8.36
5/8/2024 2:00,13
5/8/2024 3:00,3.25
5/8/2024 4:00,5.54
5/8/2024 5:00,8.68
5/8/2024 6:00,9.6
5/8/2024 7:00,1.24
5/8/2024 8:00,4.37
5/8/2024 9:00,3.69
5/8/2024 10:00,6.48
5/8/2024 11:00,0.554
5/8/2024 12:00,1.49
5/8/2024 13:00,12.2
5/8/2024 14:00,2.67
5/8/2024 15:00,2.24
5/8/2024 16:00,2.86
5/8/2024 17:00,5.12
5/8/2024 18:00,6.36
5/8/2024 19:00,17.7
5/8/2024 20:00,34.3
5/8/2024 21:00,18.8
5/8/2024 22:00,2.99
5/8/2024 23:00,12.1
5/9/2024 0:00,20.1
5/9/2024 1:00,17.4
5/9/2024 2:00,1.69
5/9/2024 3:00,7.09
5/9/2024 4:00,18.3
5/9/2024 5:00,9.7
5/9/2024 6:00,11.7
5/9/2024 7:00,0.995
5/9/2024 8:00,5.96
5/9/2024 9:00,2.77
5/9/2024 10:00,1.1
5/9/2024 11:00,7.17
5/9/2024 12:00,4.76
5/9/2024 13:00,0.346
5/9/2024 14:00,3.87
5/9/2024 15:00,1.41
5/9/2024 16:00,1.45
5/9/2024 17:00,21.2
5/9/2024 18:00,8.43
5/9/2024 19:00,7.4
5/9/2024 20:00,19.9
5/9/2024 21:00,20.8
5/9/2024 22:00,9.66
5/9/2024 23:00,3.91
5/10/2024 0:00,7.57
5/10/2024 1:00,6.75
5/10/2024 2:00,7.21
5/10/2024 3:00,11.1
5/10/2024 4:00,0.0244
5/10/2024 5:00,3.26
5/10/2024 6:00,23.6
5/10/2024 7:00,22
5/10/2024 8:00,9.81
5/10/2024 9:00,10.1
5/10/2024 10:00,6.22
5/10/2024 11:00,11.9
5/10/2024 12:00,0.33
5/10/2024 13:00,12.6
5/10/2024 14:00,0.388
5/10/2024 15:00,1.65
5/10/2024 16:00,13
5/10/2024 17:00,9.5
5/10/2024 18:00,16.9
5/10/2024 19:00,15.3
5/10/2024 20:00,16
5/10/2024 21:00,9.49
5/10/2024 22:00,7.43
5/10/2024 23:00,15.6
5/11/2024 0:00,24.6
5/11/2024 1:00,30.8
5/11/2024 2:00,26.8
5/11/2024 3:00,15
5/11/2024 4:00,7.97
5/11/2024 5:00,21.4
5/11/2024 6:00,8.78
5/11/2024 7:00,2.2
5/11/2024 8:00,3.55
5/11/2024 9:00,2.81
5/11/2024 10:00,3.52
5/11/2024 11:00,25.1
5/11/2024 12:00,4.38
5/11/2024 13:00,3.01
5/11/2024 14:00,4.19
5/11/2024 15:00,3.56
5/11/2024 16:00,15
5/11/2024 17:00,5.93
5/11/2024 18:00,1.91
5/11/2024 19:00,18.6
5/11/2024 20:00,19.3
5/11/2024 21:00,11.1
5/11/2024 22:00,2.6
5/11/2024 23:00,18.6
5/12/2024 0:00,14.8
5/12/2024 1:00,12
5/12/2024 2:00,8.33
5/12/2024 3:00,1
5/12/2024 4:00,18
5/12/2024 5:00,19
5/12/2024 6:00,1.56
5/12/2024 7:00,7.24
5/12/2024 8:00,6.4
5/12/2024 9:00,16.6
5/12/2024 10:00,0.627
5/12/2024 11:00,1.81
5/12/2024 12:00,13.2
5/12/2024 13:00,0.91
5/12/2024 14:00,0.814
5/12/2024 15:00,3.92
5/12/2024 16:00,12
5/12/2024 17:00,4.12
5/12/2024 18:00,1.26
5/12/2024 19:00,2.55
5/12/2024 20:00,28.1
5/12/2024 21:00,20.8
5/12/2024 22:00,2.85
5/12/2024 23:00,25.3
5/13/2024 0:00,27.5
5/13/2024 1:00,6.17
5/13/2024 2:00,0.534
5/13/2024 3:00,6.9
5/13/2024 4:00,5.03
5/13/2024 5:00,0.514
5/13/2024 6:00,1.78
5/13/2024 7:00,17.7
5/13/2024 8:00,4.25
5/13/2024 9:00,0.221
5/13/2024 10:00,8.74
5/13/2024 11:00,0.0244
5/13/2024 12:00,1.58
5/13/2024 13:00,2.55
5/13/2024 14:00,0.356
5/13/2024 15:00,0.588
5/13/2024 16:00,7.15
5/13/2024 17:00,2.66
5/13/2024 18:00,2.47
5/13/2024 19:00,8.83
5/13/2024 20:00,24.3
5/13/2024 21:00,11.3
5/13/2024 22:00,30.6
5/13/2024 23:00,6.05
5/14/2024 0:00,4.38
5/14/2024 1:00,22.5
5/14/2024 2:00,14.1
5/14/2024 3:00,1.05
5/14/2024 4:00,2.42
5/14/2024 5:00,4.1
5/14/2024 6:00,15.1
5/14/2024 7:00,21
5/14/2024 8:00,0.304
5/14/2024 9:00,2.32
5/14/2024 10:00,0.766
5/14/2024 11:00,0.639
5/14/2024 12:00,17.3
5/14/2024 13:00,0.561
5/14/2024 14:00,0.672
5/14/2024 15:00,2.13
5/14/2024 16:00,0.195
5/14/2024 17:00,5.57
5/14/2024 18:00,11.2
5/14/2024 19:00,8.68
5/14/2024 20:00,32.8
5/14/2024 21:00,35.4
5/14/2024 22:00,25.1
5/14/2024 23:00,13.6
5/15/2024 0:00,3.11
5/15/2024 1:00,4.42
5/15/2024 2:00,1.2
5/15/2024 3:00,26.3
5/15/2024 4:00,23.4
5/15/2024 5:00,5.7
5/15/2024 6:00,28.7
5/15/2024 7:00,2
5/15/2024 8:00,0.227
5/15/2024 9:00,3.52
5/15/2024 10:00,0.468
5/15/2024 11:00,3.7
5/15/2024 12:00,5.41
5/15/2024 13:00,0.144
