Time,50E
5/25/2024 10:00,2.13
5/25/2024 11:00,7.03
5/25/2024 12:00,0.608
5/25/2024 13:00,0.561
5/25/2024 14:00,5.22
5/25/2024 15:00,0.264
5/25/2024 16:00,8.54
5/25/2024 17:00,0.397
5/25/2024 18:00,1.81
5/25/2024 19:00,15.1
5/25/2024 20:00,28.8
5/25/2024 21:00,14.2
5/25/2024 22:00,20
5/25/2024 23:00,9.4
5/26/2024 0:00,7.98
5/26/2024 1:00,10.1
5/26/2024 2:00,7.62
5/26/2024 3:00,0.501
5/26/2024 4:00,11.6
5/26/2024 5:00,0.741
5/26/2024 6:00,5.23
5/26/2024 7:00,0.201
5/26/2024 8:00,4.26
5/26/2024 9:00,1.4
5/26/2024 10:00,0.266
5/26/2024 11:00,0.0883
5/26/2024 12:00,0.597
5/26/2024 13:00,0.493
5/26/2024 14:00,5.41
5/26/2024 15:00,0.104
5/26/2024 16:00,5.19
5/26/2024 17:00,3.62
5/26/2024 18:00,0.263
5/26/2024 19:00,10.4
5/26/2024 20:00,32.3
5/26/2024 21:00,31
5/26/2024 22:00,2.58
5/26/2024 23:00,5.91
5/27/2024 0:00,10.8
5/27/2024 1:00,5.21
5/27/2024 2:00,5.97
5/27/2024 3:00,0.187
5/27/2024 4:00,0.302
5/27/2024 5:00,4.74
5/27/2024 6:00,10.1
5/27/2024 7:00,2.88
5/27/2024 8:00,0.206
5/27/2024 9:00,0.457
5/27/2024 10:00,0.267
5/27/2024 11:00,0.491
5/27/2024 12:00,0.581
5/27/2024 13:00,0.296
5/27/2024 14:00,0.46
5/27/2024 15:00,0.237
5/27/2024 16:00,20
5/27/2024 17:00,0.548
5/27/2024 18:00,0.286
5/27/2024 19:00,13.4
5/27/2024 20:00,28.1
5/27/2024 21:00,9.63
5/27/2024 22:00,7.03
5/27/2024 23:00,0.455
5/28/2024 0:00,9.49
5/28/2024 1:00,7.71
5/28/2024 2:00,3.15
5/28/2024 3:00,0.299
5/28/2024 4:00,10.3
5/28/2024 5:00,2.08
5/28/2024 6:00,10.3
5/28/2024 7:00,0.337
5/28/2024 8:00,1.27
5/28/2024 9:00,9.97
5/28/2024 10:00,5.16
5/28/2024 11:00,2.49
5/28/2024 12:00,3.34
5/28/2024 13:00,3.66
5/28/2024 14:00,5.29
5/28/2024 15:00,1.77
5/28/2024 16:00,0.488
5/28/2024 17:00,26
5/28/2024 18:00,15.3
5/28/2024 19:00,5.69
5/28/2024 20:00,20
5/28/2024 21:00,0.0714
