Time,56F
5/25/2024 10:00,2.82
5/25/2024 11:00,0.306
5/25/2024 12:00,0.379
5/25/2024 13:00,1.54
5/25/2024 14:00,1.5
5/25/2024 15:00,0.751
5/25/2024 16:00,2.46
5/25/2024 17:00,0.321
5/25/2024 18:00,0.0244
5/25/2024 19:00,22.8
5/25/2024 20:00,22.4
5/25/2024 21:00,25.4
5/25/2024 22:00,11.4
5/25/2024 23:00,12.3
5/26/2024 0:00,11
5/26/2024 1:00,19
5/26/2024 2:00,5.21
5/26/2024 3:00,5.15
5/26/2024 4:00,15.5
5/26/2024 5:00,0.0244
5/26/2024 6:00,2.08
5/26/2024 7:00,1.34
5/26/2024 8:00,0.742
5/26/2024 9:00,4.78
5/26/2024 10:00,7.19
5/26/2024 11:00,0.213
5/26/2024 12:00,2.75
5/26/2024 13:00,3.33
5/26/2024 14:00,0.317
5/26/2024 15:00,0.52
5/26/2024 16:00,7.27
5/26/2024 17:00,0.416
5/26/2024 18:00,0.901
5/26/2024 19:00,7.93
5/26/2024 20:00,31.4
5/26/2024 21:00,26.2
5/26/2024 22:00,16.4
5/26/2024 23:00,6.05
5/27/2024 0:00,20.5
5/27/2024 1:00,4.79
5/27/2024 2:00,7.5
5/27/2024 3:00,9.92
5/27/2024 4:00,9.33
5/27/2024 5:00,18.5
5/27/2024 6:00,0.0728
5/27/2024 7:00,2.53
5/27/2024 8:00,1.23
5/27/2024 9:00,0.92
5/27/2024 10:00,9.16
5/27/2024 11:00,1.2
5/27/2024 12:00,1.06
5/27/2024 13:00,3.93
5/27/2024 14:00,0.305
5/27/2024 15:00,3.27
5/27/2024 16:00,10.7
5/27/2024 17:00,0.544
5/27/2024 18:00,0.86
5/27/2024 19:00,13.9
5/27/2024 20:00,18.9
5/27/2024 21:00,22.1
5/27/2024 22:00,8.87
5/27/2024 23:00,18.9
5/28/2024 0:00,7.88
5/28/2024 1:00,13.7
5/28/2024 2:00,10.3
5/28/2024 3:00,0.473
5/28/2024 4:00,19.2
5/28/2024 5:00,0.647
5/28/2024 6:00,11.3
5/28/2024 7:00,0.0244
5/28/2024 8:00,1.95
5/28/2024 9:00,5.94
5/28/2024 10:00,12.2
5/28/2024 11:00,27.2
5/28/2024 12:00,39.5
5/28/2024 13:00,33.5
5/28/2024 14:00,15.4
5/28/2024 15:00,12.6
5/28/2024 16:00,9.51
5/28/2024 17:00,5.8
5/28/2024 18:00,9.19
5/28/2024 19:00,23.4
5/28/2024 20:00,22.7
5/28/2024 21:00,21
5/28/2024 22:00,8.79
5/28/2024 23:00,5.55
5/29/2024 0:00,12
5/29/2024 1:00,11.5
5/29/2024 2:00,11.8
5/29/2024 3:00,10.9
5/29/2024 4:00,21.1
5/29/2024 5:00,8.96
5/29/2024 6:00,5.24
5/29/2024 7:00,24.7
5/29/2024 8:00,15.7
5/29/2024 9:00,32
5/29/2024 10:00,1.89
5/29/2024 11:00,9.28
5/29/2024 12:00,24.4
5/29/2024 13:00,1.47
5/29/2024 14:00,12.8
5/29/2024 15:00,6.59
5/29/2024 16:00,16.9
5/29/2024 17:00,4.14
5/29/2024 18:00,5.63
5/29/2024 19:00,5.43
5/29/2024 20:00,13.7
5/29/2024 21:00,13.9
5/29/2024 22:00,18
5/29/2024 23:00,9.98
5/30/2024 0:00,1.47
5/30/2024 1:00,16.6
5/30/2024 2:00,26.9
5/30/2024 3:00,2.58
5/30/2024 4:00,16.6
5/30/2024 5:00,18.4
5/30/2024 6:00,4.97
5/30/2024 7:00,5.93
5/30/2024 8:00,2.6
5/30/2024 9:00,6.79
5/30/2024 10:00,10.4
5/30/2024 11:00,6.83
5/30/2024 12:00,3.4
5/30/2024 13:00,7.29
5/30/2024 14:00,8.95
5/30/2024 15:00,2.95
5/30/2024 16:00,12.6
5/30/2024 17:00,2.38
5/30/2024 18:00,7.24
5/30/2024 19:00,16
5/30/2024 20:00,24.3
5/30/2024 21:00,6.97
5/30/2024 22:00,16
5/30/2024 23:00,10.6
5/31/2024 0:00,10.7
5/31/2024 1:00,2.76
5/31/2024 2:00,17.2
5/31/2024 3:00,1.95
5/31/2024 4:00,2.89
5/31/2024 5:00,10.2
5/31/2024 6:00,0.554
5/31/2024 7:00,1.22
5/31/2024 8:00,0.417
5/31/2024 9:00,3.01
5/31/2024 10:00,1.01
5/31/2024 11:00,6.12
5/31/2024 12:00,0.129
5/31/2024 13:00,0.877
5/31/2024 14:00,1.33
5/31/2024 15:00,0.335
5/31/2024 16:00,5.38
5/31/2024 17:00,2.04
5/31/2024 18:00,1.19
5/31/2024 19:00,19.2
5/31/2024 20:00,15.8
5/31/2024 21:00,9.52
5/31/2024 22:00,10.3
5/31/2024 23:00,19.6
6/1/2024 0:00,7.37
6/1/2024 1:00,14.8
6/1/2024 2:00,1.04
6/1/2024 3:00,10.1
6/1/2024 4:00,7.2
6/1/2024 5:00,7.93
6/1/2024 6:00,0.839
6/1/2024 7:00,2.24
6/1/2024 8:00,4.53
6/1/2024 9:00,0.0244
6/1/2024 10:00,2.08
6/1/2024 11:00,0.644
6/1/2024 12:00,4.85
6/1/2024 13:00,0.0563
6/1/2024 14:00,1.12
6/1/2024 15:00,2.05
6/1/2024 16:00,10.2
6/1/2024 17:00,8.49
6/1/2024 18:00,3.17
6/1/2024 19:00,1.36
6/1/2024 20:00,7.65
6/1/2024 21:00,4.78
6/1/2024 22:00,6.82
6/1/2024 23:00,10.3
6/2/2024 0:00,2.8
6/2/2024 1:00,0.484
6/2/2024 2:00,0.51
6/2/2024 3:00,3.16
6/2/2024 4:00,1.56
6/2/2024 5:00,0.68
6/2/2024 6:00,0.0244
6/2/2024 7:00,0.322
6/2/2024 8:00,0.0244
6/2/2024 9:00,0.0244
6/2/2024 10:00,0.827
6/2/2024 11:00,0.0244
6/2/2024 12:00,0.0244
6/2/2024 13:00,0.4
6/2/2024 14:00,0.0791
6/2/2024 15:00,9.23
6/2/2024 16:00,1
6/2/2024 17:00,3.71
6/2/2024 18:00,0.473
6/2/2024 19:00,9.12
6/2/2024 20:00,14.4
6/2/2024 21:00,13.3
6/2/2024 22:00,13.6
6/2/2024 23:00,4.99
6/3/2024 0:00,12.3
6/3/2024 1:00,7.98
6/3/2024 2:00,9.46
6/3/2024 3:00,7.62
6/3/2024 4:00,6.26
6/3/2024 5:00,2.57
6/3/2024 6:00,5.67
6/3/2024 7:00,0.606
6/3/2024 8:00,1.32
6/3/2024 9:00,1.56
6/3/2024 10:00,6.15
6/3/2024 11:00,0.682
6/3/2024 12:00,0.181
6/3/2024 13:00,1.09
6/3/2024 14:00,0.712
6/3/2024 15:00,0.813
6/3/2024 16:00,13.6
6/3/2024 17:00,2.84
6/3/2024 18:00,1.23
6/3/2024 19:00,16.2
6/3/2024 20:00,34.9
6/3/2024 21:00,21.7
6/3/2024 22:00,21.5
6/3/2024 23:00,21.1
6/4/2024 0:00,19.8
6/4/2024 1:00,7.99
6/4/2024 2:00,4.52
6/4/2024 3:00,11.5
6/4/2024 4:00,0.795
6/4/2024 5:00,17.3
6/4/2024 6:00,0.537
6/4/2024 7:00,1.07
6/4/2024 8:00,3.83
6/4/2024 9:00,
6/4/2024 10:00,
6/4/2024 11:00,
6/4/2024 12:00,
