Time,Activity wustl-activity.wakefield-0002cc010000059e
6/6/2024 13:00,9.58
6/6/2024 14:00,2.54
6/6/2024 15:00,10.8
6/6/2024 16:00,0.601
6/6/2024 17:00,32
6/6/2024 18:00,1.78
6/6/2024 19:00,7.45
6/6/2024 20:00,42
6/6/2024 21:00,44.2
6/6/2024 22:00,48.3
6/6/2024 23:00,36.1
6/7/2024 0:00,17.7
6/7/2024 1:00,34.1
6/7/2024 2:00,7.72
6/7/2024 3:00,31.9
6/7/2024 4:00,25.5
6/7/2024 5:00,29.6
6/7/2024 6:00,25.2
6/7/2024 7:00,10.2
6/7/2024 8:00,2.5
6/7/2024 9:00,20.1
6/7/2024 10:00,5.94
6/7/2024 11:00,6.68
6/7/2024 12:00,12.2
6/7/2024 13:00,1.81
6/7/2024 14:00,9.03
6/7/2024 15:00,5.12
6/7/2024 16:00,16.8
6/7/2024 17:00,2.35
6/7/2024 18:00,23.4
6/7/2024 19:00,9.85
6/7/2024 20:00,28.5
6/7/2024 21:00,42.5
6/7/2024 22:00,30
6/7/2024 23:00,41.2
6/8/2024 0:00,15.2
6/8/2024 1:00,9.23
6/8/2024 2:00,40.8
6/8/2024 3:00,20.4
6/8/2024 4:00,13.5
6/8/2024 5:00,45.1
6/8/2024 6:00,30.3
6/8/2024 7:00,3.87
6/8/2024 8:00,3.77
6/8/2024 9:00,5.7
6/8/2024 10:00,11.7
6/8/2024 11:00,7.83
6/8/2024 12:00,15.5
6/8/2024 13:00,8.49
6/8/2024 14:00,8.9
6/8/2024 15:00,4.81
6/8/2024 16:00,11.5
6/8/2024 17:00,13.2
6/8/2024 18:00,7.18
6/8/2024 19:00,6.43
6/8/2024 20:00,29.6
6/8/2024 21:00,32.6
6/8/2024 22:00,39.6
6/8/2024 23:00,41
6/9/2024 0:00,9.76
6/9/2024 1:00,5.27
6/9/2024 2:00,37
6/9/2024 3:00,25.4
6/9/2024 4:00,9.79
6/9/2024 5:00,44.2
6/9/2024 6:00,53.9
6/9/2024 7:00,22.7
6/9/2024 8:00,2.87
6/9/2024 9:00,6.61
6/9/2024 10:00,15.6
6/9/2024 11:00,4.4
6/9/2024 12:00,4.71
6/9/2024 13:00,1.63
6/9/2024 14:00,0.834
6/9/2024 15:00,11.9
6/9/2024 16:00,1.1
6/9/2024 17:00,6.64
6/9/2024 18:00,14.9
6/9/2024 19:00,9.52
6/9/2024 20:00,35
6/9/2024 21:00,34.5
6/9/2024 22:00,39.9
6/9/2024 23:00,42.1
6/10/2024 0:00,9
6/10/2024 1:00,17.8
6/10/2024 2:00,23
6/10/2024 3:00,30.4
6/10/2024 4:00,22.7
6/10/2024 5:00,44.7
6/10/2024 6:00,44.3
6/10/2024 7:00,5.47
6/10/2024 8:00,14.7
6/10/2024 9:00,3.18
6/10/2024 10:00,14.5
6/10/2024 11:00,8.88
6/10/2024 12:00,0.574
6/10/2024 13:00,0.354
6/10/2024 14:00,12.7
6/10/2024 15:00,7.35
6/10/2024 16:00,0.795
6/10/2024 17:00,20.1
6/10/2024 18:00,1.61
6/10/2024 19:00,2.71
6/10/2024 20:00,37.2
6/10/2024 21:00,22.6
6/10/2024 22:00,35.6
6/10/2024 23:00,26.3
6/11/2024 0:00,37.9
6/11/2024 1:00,41.8
6/11/2024 2:00,15.5
6/11/2024 3:00,1.56
6/11/2024 4:00,35.9
6/11/2024 5:00,50.3
6/11/2024 6:00,44.1
6/11/2024 7:00,2.41
6/11/2024 8:00,11.4
6/11/2024 9:00,2.22
6/11/2024 10:00,7.5
6/11/2024 11:00,8.36
6/11/2024 12:00,6.47
6/11/2024 13:00,0.388
6/11/2024 14:00,0.62
6/11/2024 15:00,18.7
6/11/2024 16:00,0.163
6/11/2024 17:00,6.81
6/11/2024 18:00,5.21
6/11/2024 19:00,11.2
6/11/2024 20:00,15.4
6/11/2024 21:00,15.6
6/11/2024 22:00,34.7
6/11/2024 23:00,6.64
6/12/2024 0:00,24.8
6/12/2024 1:00,29.3
6/12/2024 2:00,32
6/12/2024 3:00,1.43
6/12/2024 4:00,16.2
6/12/2024 5:00,17.7
6/12/2024 6:00,48.7
6/12/2024 7:00,60.9
6/12/2024 8:00,21.4
6/12/2024 9:00,6.37
6/12/2024 10:00,1.67
6/12/2024 11:00,1.6
6/12/2024 12:00,13.9
6/12/2024 13:00,0.284
6/12/2024 14:00,1.45
6/12/2024 15:00,4.65
6/12/2024 16:00,3.05
6/12/2024 17:00,8.95
6/12/2024 18:00,0.486
6/12/2024 19:00,6.15
6/12/2024 20:00,9.88
6/12/2024 21:00,19.7
6/12/2024 22:00,34.8
6/12/2024 23:00,41.6
6/13/2024 0:00,42.4
6/13/2024 1:00,5.77
6/13/2024 2:00,46.5
6/13/2024 3:00,7.25
6/13/2024 4:00,10.9
6/13/2024 5:00,32.5
6/13/2024 6:00,36.9
6/13/2024 7:00,51.9
6/13/2024 8:00,2.93
6/13/2024 9:00,1.51
6/13/2024 10:00,0.309
6/13/2024 11:00,0.108
6/13/2024 12:00,7.89
