Time,55C
6/6/2024 13:00,14.9
6/6/2024 14:00,4.53
6/6/2024 15:00,1.08
6/6/2024 16:00,25.4
6/6/2024 17:00,7.5
6/6/2024 18:00,20.4
6/6/2024 19:00,42.3
6/6/2024 20:00,31.9
6/6/2024 21:00,34.3
6/6/2024 22:00,29.2
6/6/2024 23:00,28.8
6/7/2024 0:00,12.6
6/7/2024 1:00,12.3
6/7/2024 2:00,35
6/7/2024 3:00,4.56
6/7/2024 4:00,31
6/7/2024 5:00,8.38
6/7/2024 6:00,9.57
6/7/2024 7:00,3.75
6/7/2024 8:00,11.6
6/7/2024 9:00,1.98
6/7/2024 10:00,5.8
6/7/2024 11:00,12.9
6/7/2024 12:00,5.08
6/7/2024 13:00,9.25
6/7/2024 14:00,5.33
6/7/2024 15:00,5.34
6/7/2024 16:00,38.4
6/7/2024 17:00,11.9
6/7/2024 18:00,10.7
6/7/2024 19:00,27.9
6/7/2024 20:00,42.9
6/7/2024 21:00,41.7
6/7/2024 22:00,27.2
6/7/2024 23:00,16.3
6/8/2024 0:00,16.2
6/8/2024 1:00,8.84
6/8/2024 2:00,11.7
6/8/2024 3:00,19.5
6/8/2024 4:00,4.6
6/8/2024 5:00,4.93
6/8/2024 6:00,21.1
6/8/2024 7:00,15.8
6/8/2024 8:00,3.01
6/8/2024 9:00,5.65
6/8/2024 10:00,9.59
6/8/2024 11:00,4.93
6/8/2024 12:00,10.1
6/8/2024 13:00,11.8
6/8/2024 14:00,19.8
6/8/2024 15:00,14.9
6/8/2024 16:00,2.23
6/8/2024 17:00,19.6
6/8/2024 18:00,11.8
6/8/2024 19:00,33.6
6/8/2024 20:00,42.5
6/8/2024 21:00,34.6
6/8/2024 22:00,11
6/8/2024 23:00,26.4
6/9/2024 0:00,40.6
6/9/2024 1:00,4.66
6/9/2024 2:00,21.9
6/9/2024 3:00,4.3
6/9/2024 4:00,12.1
6/9/2024 5:00,33.1
6/9/2024 6:00,4.49
6/9/2024 7:00,16.9
6/9/2024 8:00,0.721
6/9/2024 9:00,4.43
6/9/2024 10:00,7.34
6/9/2024 11:00,31.9
6/9/2024 12:00,13.5
6/9/2024 13:00,7.84
6/9/2024 14:00,16.2
6/9/2024 15:00,21.4
6/9/2024 16:00,8.04
6/9/2024 17:00,8.67
6/9/2024 18:00,11.4
6/9/2024 19:00,45.8
6/9/2024 20:00,48
6/9/2024 21:00,38.9
6/9/2024 22:00,30.7
6/9/2024 23:00,5.95
6/10/2024 0:00,8.01
6/10/2024 1:00,42.6
6/10/2024 2:00,32
6/10/2024 3:00,2.64
6/10/2024 4:00,7.31
6/10/2024 5:00,22.6
6/10/2024 6:00,1.17
6/10/2024 7:00,17.5
6/10/2024 8:00,10.5
6/10/2024 9:00,1.44
6/10/2024 10:00,1.62
6/10/2024 11:00,13.5
6/10/2024 12:00,1.96
6/10/2024 13:00,0.87
6/10/2024 14:00,15.5
6/10/2024 15:00,41.5
6/10/2024 16:00,19.1
6/10/2024 17:00,0.365
6/10/2024 18:00,6.97
6/10/2024 19:00,20.6
6/10/2024 20:00,23.6
6/10/2024 21:00,12.1
6/10/2024 22:00,27.5
6/10/2024 23:00,17.1
6/11/2024 0:00,5.49
6/11/2024 1:00,4.34
6/11/2024 2:00,34.4
6/11/2024 3:00,8.7
6/11/2024 4:00,19.1
6/11/2024 5:00,0.823
6/11/2024 6:00,5.53
6/11/2024 7:00,1.53
6/11/2024 8:00,21.6
6/11/2024 9:00,3.35
6/11/2024 10:00,0.782
6/11/2024 11:00,16
6/11/2024 12:00,1.24
6/11/2024 13:00,2.46
6/11/2024 14:00,2.24
6/11/2024 15:00,2.09
6/11/2024 16:00,17.5
6/11/2024 17:00,2.69
6/11/2024 18:00,9.35
6/11/2024 19:00,26.5
6/11/2024 20:00,37
6/11/2024 21:00,20.3
6/11/2024 22:00,11.9
6/11/2024 23:00,12.9
6/12/2024 0:00,24.1
6/12/2024 1:00,23.7
6/12/2024 2:00,0.123
6/12/2024 3:00,2.16
6/12/2024 4:00,21.5
6/12/2024 5:00,14.9
6/12/2024 6:00,0.974
6/12/2024 7:00,7.32
6/12/2024 8:00,20.8
6/12/2024 9:00,4.36
6/12/2024 10:00,15.4
6/12/2024 11:00,0.969
6/12/2024 12:00,8.44
6/12/2024 13:00,13.6
6/12/2024 14:00,7.72
6/12/2024 15:00,6.08
6/12/2024 16:00,23.2
6/12/2024 17:00,7.25
6/12/2024 18:00,6.88
6/12/2024 19:00,39.2
6/12/2024 20:00,19.5
6/12/2024 21:00,2.93
6/12/2024 22:00,33
6/12/2024 23:00,26.5
6/13/2024 0:00,5.95
6/13/2024 1:00,8.42
6/13/2024 2:00,6.58
6/13/2024 3:00,10.1
6/13/2024 4:00,3.49
6/13/2024 5:00,9.59
6/13/2024 6:00,25.2
6/13/2024 7:00,36.4
6/13/2024 8:00,6.58
6/13/2024 9:00,
6/13/2024 10:00,
6/13/2024 11:00,
6/13/2024 12:00,
