Time,VEH,VEH,VEH,VEH,VEH,VEH,VEH,VEH,VEH,VEH,VEH,VEH,VEH,VEH,VEH,VEH,VEH,VEH,VEH,HAL,HAL,HAL,HAL,HAL,HAL,HAL,HAL,HAL,HAL,HAL,HAL,HAL,HAL,HAL,HAL,HAL,HAL,HAL,HAL
1,0.0294,0.0244,6.96,0.894,0.269,0.294,0.436,0.772,0.0345,0.0244,0.0944,2.41,12,0.209,8.68,0.722,0.0244,0.0244,0.0244,8.39,1.69,0.978,3.56,0.451,0.0756,0.0756,0.0244,1.89,0.0244,1.38,0.0262,0.0244,0.0244,2.41,6.63,0.308,0.0244,0.287,0.0244
2,0.701,13.6,13.3,13.7,8.55,13.2,0.0244,5.01,1.06,11.1,8.67,7.85,6.53,8.97,23.5,11.7,0.0244,8.29,4.37,0.0244,4.73,47.1,2.44,0.421,14.9,10.4,1.06,6.38,0.395,0.976,0.614,0.387,8.8,10.9,9.08,9.37,10.1,5.31,4.7
3,15.1,9.69,49.7,16,4,2.76,24.8,42.5,16.2,11.8,9.04,11.4,12.6,7.81,12.5,9.74,6.78,1.01,1.41,9.61,17.4,2.32,16.4,11.5,11,13.6,10.6,36.4,14.1,8.33,15.3,16.3,12.6,9.85,16.4,6.97,2.67,6.12,0.982
4,28.9,18,30.5,17.4,11.2,12.1,18.7,24,4.84,4.88,18.6,18.1,16.4,4.51,18.8,14.7,28,7.76,0.89,17.6,9.69,38.6,23.2,12.6,10.1,4.79,16.2,33.7,13.1,3.53,6.73,13.7,12,2.43,10.7,12.1,4.2,5.27,13.6
5,14,27.7,26.2,17.2,14.6,10.6,6.71,31,4.26,12.7,17,18.3,10.4,12.9,17.9,32.4,10.4,4.02,16.9,14.3,17.5,17.7,26.1,12.4,9.79,8.71,18.5,7.42,6.07,10.7,2.44,19,13.1,8.17,5.57,17.3,5.76,6.9,6.18
6,12.8,15.6,26,15.3,5.83,7.86,4.84,32,11.4,15.5,14.1,20.8,7.38,2.84,6.15,18.1,21.8,18.2,10.2,3.86,5.64,17.1,13.5,15.3,11.8,4.17,3.67,19.3,10.8,5.49,5.95,5.58,45.5,7.15,12.3,4.9,5.42,6.59,10.7
7,27.1,22.3,32.7,0.722,6.49,0.805,14.9,20.3,21.3,21,11.8,4.71,17.6,24.7,1.25,12.6,5.32,,6.06,19.6,23.2,26.5,7.26,3.94,2.57,6.92,1.43,6.38,12.6,5.01,9,20.4,12.8,22.8,17,9.64,10.2,10.7,2.64
8,26.2,1.54,16,16.2,5.95,18.1,20.2,36.9,5.45,15.4,18.7,8.11,16.2,29.7,12.1,10.7,14.4,13.7,3.76,25.2,22.3,28.4,7.65,8.41,4.11,8.77,10.7,15.8,0.392,2.87,18.1,23.1,15.8,13.1,6.45,15.7,1.91,7.05,4.74
9,18.1,6.55,40.7,10.1,7.03,15.6,21.9,4.87,0.1,9.12,0.353,16.7,17.2,12.3,14.4,10.1,11.7,14.9,6.36,23.2,3.13,11,11.6,2.97,12.2,4.01,14.4,25.2,0.0244,2.24,2.28,9.15,19.1,0.0244,7.98,1.12,18.6,4.26,16.7
10,0.0827,10.9,4.81,7.17,8.4,0.441,20.4,15.5,8.74,0.0244,10.9,10,0.108,0.211,3.92,22.7,8.97,4.03,11.9,8.91,0.0244,11.3,17.3,4.88,0.783,0.277,3.04,7.52,7.48,0.0244,3.02,0.278,7.18,4.62,11,9.28,5.02,15.5,2.49
