Time,CPSP_6cd,CPSP_6da,CPSP_57a,CPSP_6d9,CPSP_6e0,CPSP_6d3,CPSP_6d9,CPSP_57a,SHAM_68b,SHAM_6d2,SHAM_6d3
1,66.8,51.1,38.7,48.2,59.3,0.97,3.33,1.43,53.3,38.4,33.6
2,18.8,11.9,18.1,8.2,12.7,19.4,12.6,18.3,18.5,6.69,2.78
3,15.6,30.3,9.36,14.8,22.9,11.8,7.35,7.45,16.2,10.1,3.4
4,42.9,57.3,11.2,43.9,18.5,11.6,7.94,4.04,36,51.8,16.3
5,51.1,64.3,22.5,38.3,49.5,46.4,1.09,45.3,28.5,33,6.37
6,41.6,50.1,26.2,21.9,36,60.3,8.26,65.4,30.6,30.4,4.75
7,59.3,33.2,24.6,51.2,20,38.2,59.5,63,41.7,21.9,12.1
8,55.2,61.5,20.9,41.5,49.3,30.5,21.6,62.2,47.9,51.8,17.2
9,72,59.7,22.5,56.5,21.8,58.3,18.6,60.5,48.7,12.6,21.2
10,68.2,63.9,27,22.6,58.7,22.3,11.4,12,44.9,38.3,6.29
11,75.4,44,12.1,11.6,58,33.3,58,7.72,12.8,56.7,15.1
12,74.5,34,19,44.9,31.7,4.24,55.4,5.99,15.7,52.2,17.2
13,70.3,36.9,14.8,7.01,26.2,3.43,47.6,6.31,33.1,15.6,0.34
14,64.3,17.7,26.2,25.4,37.3,4.82,11.4,52,21.1,44.1,0.63
15,46.2,59.6,28.7,43,35.2,22.7,18.4,42.7,39.6,27.2,4.92
16,5.74,21.9,2.19,22.5,24.5,36.3,18.2,4.92,6.16,7.93,0.36
17,11.5,11,3.83,2.89,8.69,20.8,12.1,31.5,18.6,29.3,5.91
18,21.6,1.2,0.1,0.68,7.46,6.89,0.36,1.85,17.9,16.8,4.49
19,2.92,27.1,9.01,11.3,12.8,3.73,27.8,4.66,33.2,31,3.7
20,2.8,14.7,1.38,2.36,1.5,4.69,2.53,0.61,10.3,5.36,0.13
21,15.4,0.97,0.19,0.53,29.8,9.97,1.74,24,10,14.5,3.62
22,3.46,6.05,0.06,5.2,0.87,6.74,9.85,0.64,9.1,0.07,2.9
23,21.9,3.8,8.29,0.83,5.86,1.79,0.17,1.62,9.54,14,0.06
24,6.42,3.13,0.6,14.7,1.15,7.22,8.34,3.36,2.82,4.24,1.43
25,47.7,17.3,9.38,15.6,26.5,13.2,1.87,7.55,15.5,14.7,0.02
26,18.9,4.29,8.16,5.39,12.8,29,12.7,14.1,19.2,8.65,1.21
27,36,13.8,5.24,11.4,8.55,1.55,3.45,4.69,11.2,6.62,1.66
28,37.5,54.6,25.2,36.6,33.5,7.63,0.89,5.75,36.7,41,9.32
29,62.7,57.6,25.4,30.1,35.5,59.5,5.94,50.3,30.8,55.9,9.53
30,48.4,67.1,24.6,29.8,37.6,24.5,25.2,64.9,46.7,24.2,7.89
31,28.7,58.8,37.4,28.1,52.6,9.64,37.6,65.4,21.7,48.5,4.38
32,57.9,7.18,38.4,39.2,3.59,49.2,14.7,57,25.3,57.5,11.5
33,61.2,61.3,27.3,45,40.1,62.9,56,19.6,32.5,8.93,35.4
34,64.2,67.4,19,27,40.5,32.9,44.1,3.56,22.5,55,38.6
35,4.78,64.3,20.7,29.8,41.1,0.84,52.6,10.6,15.3,57.1,47.6
36,57.3,55.6,7.99,3.63,6.35,18,52.5,34,43.4,44.6,41.9
37,62.1,21.8,34.2,19.3,11.8,18.4,40.2,5.86,27,3.8,39.5
38,62,47.5,28.1,33.2,34,22.4,1.2,4.99,45.7,18.7,10.2
39,11,50.5,11.1,21,20.3,12.9,5.23,11.7,13.9,50.2,17.8
40,15.5,23.3,13.1,37,41,40.1,23.2,37.7,9.56,34.4,3.4
41,51.5,17.8,6.18,7.49,32.6,16.5,0.11,4.8,24.6,5.9,17.2
42,41.1,23.4,12,1.9,4.99,5.48,15.6,23.4,12.3,0.14,2.98
43,7.36,17.2,13.6,2.8,4.91,6.69,0.13,1.04,9.17,12.7,16.3
44,0.66,5.46,0.07,3.29,4.58,1.99,31.9,4.87,9.17,12.7,6.33
45,2.55,10.5,1.4,16.5,3.16,3.74,2.11,1.04,45.3,61.5,14.9
46,23.1,3.44,3.4,1.17,27.2,9.91,0.02,0.93,12.9,10.8,8.85
47,2.63,15,1.43,4.86,1.42,11.4,7.49,2.66,9.44,5.48,4.5
48,18,2.51,6.83,8.18,2.2,10.7,2.36,2.77,22.1,1.44,0.9
49,5.54,3.96,1.43,18.5,23.2,0.65,1.61,26.3,15.2,2.28,2.28
50,39.9,14.8,8.92,0.17,15.8,1.88,1.36,4.65,15.3,19.1,8.59
51,12,2.7,6.37,6.52,4.38,26.4,40.5,12.2,11.7,0.57,2.88
52,56.1,41.7,24.8,30.3,40.3,4.93,0.79,9.02,33.6,38.9,15.4
53,42.1,56.9,12.9,28.7,43.4,37.1,3.82,34.1,31.6,0.08,17.9
54,31.5,53.5,21.3,15.4,41.2,35.3,32.9,45.9,17.1,3.59,7.32
55,29.2,55.6,27.3,13.2,48.5,46.1,23.2,39.9,29.2,48.6,27.2
56,54.8,61.8,27.8,28.9,36.2,16.8,51.5,24.6,41.9,26.6,3.35
57,59.5,61.3,12.2,46.8,27.5,25.9,23.9,33,40.4,22.6,8.46
58,51.3,62.6,3.12,43.1,12.1,36.3,31.8,51.5,38.6,23.9,22.3
59,44.1,26.7,10.9,47.7,23.6,4.94,21.8,8.84,21.3,40.7,24.4
60,1.28,0.69,30.1,25.5,43.2,4.04,10.6,5.22,39.1,36.2,37.9
61,29.6,19.5,4.44,39.6,2.96,1.99,54.8,2.02,40.5,29.5,7.32
62,56.1,53,37.7,15.5,18.4,8.29,19.8,26,34,42.2,17.2
63,55.4,42.9,23.5,21.1,39.1,34.6,51.7,31.9,23.7,52.4,10
64,51.3,0.46,7.9,2.39,27,26.1,10.2,1.7,24,32,26.5
65,19.2,12.9,5.32,11.6,24.4,0.11,7.54,1.59,9.17,0.83,1.76
66,2.16,21.1,10.1,0.64,26.6,3.84,16.4,1.01,19.9,2.27,1.63
67,0.4,9.72,14.7,11.3,1.37,10.6,4.84,2.44,16,1.81,9.34
68,13.21,14.54,16.1,31,21.21,7.97,3.68,0.55,7.21,0.34,3.01
69,53,60.1,17.7,63.4,30.3,0.11,13.8,13,8.33,9.46,5.87
70,19.7,36.7,0.16,20.7,18.4,0.37,9.92,0.12,30.7,9.2,2.29
71,6.38,15,6.62,2.5,10.3,18.9,0.5,0.58,1.84,0.02,2.76
72,6.77,19.4,0.28,20,6.58,0.05,2.21,1.17,8.09,0.14,2.77
73,1.06,10.7,6.68,1.39,1.95,0.04,4.82,0.6,13.2,8.41,12.9
74,15.3,11.6,0.1,14.5,6.24,16.4,16.1,30.2,12.1,0.49,12.7
75,4.58,27,7.36,6.95,16.6,0.37,0.08,3.48,21.6,8.29,7.19
76,30.4,46.5,13.4,28,15.4,3.01,0.25,30.08,21.6,30.8,33.1
77,15,23.1,10.1,15.5,17.9,45.6,7.2,14.2,21.3,19.7,13.4
78,8.24,15.8,9.76,15.2,31.1,33.5,42.4,38.4,34.1,40.1,21.9
79,35.2,48.3,16.2,12.2,34.6,16,32.9,43.1,33.2,10.6,34.8
80,6.79,24.4,15.1,37.3,5.38,46.5,37.4,39.9,16,48.8,39.7
81,55.8,51.8,19.4,15.6,1.51,40.8,36.7,40.2,40.2,52.8,38.1
82,46,21.2,4.65,38.6,41.2,43.7,10.7,59.4,43.8,42.4,40.6
83,30,38.3,2.32,37.3,24.6,4.36,6.36,14.1,43.6,8.62,17.3
84,7.75,47.8,3.87,7.65,18.4,9.67,25.8,32.2,6.21,1.93,20.5
85,17.7,39.6,10.1,36.7,6.03,5.07,9.96,28.13,15.5,25,25.5
86,35.4,8.95,16.8,35,14.3,46.6,32.6,30.62,25.8,19.8,31.4
87,54.3,16.2,35.9,30.2,24.6,13.5,18.6,18.69,32.6,27.4,21.4
88,30.6,6.82,17.7,7.82,46.5,18.2,30.6,45.3,17,48.1,11.9
89,1.11,33.1,11.1,48.2,3.94,1.04,16.9,1.64,7.62,12,24.2
90,9.11,5.59,0.13,43.5,4.66,2.4,1.8,1.1,13.3,8.78,12.5
91,3.48,7.19,1.28,4.46,22.4,0.97,10.6,0.78,2.96,0.64,1.25
92,32,14.6,0.61,4.14,3.2,4.1,4.18,0.68,5.89,0.47,3.81
93,1.42,7.57,0.03,16.8,13,3.53,11.5,0.52,3.06,4.72,0.85
94,5.99,6.29,0.38,20.3,2.94,1.5,0.38,0.79,7.96,13.7,8.9
95,0.87,2.97,4.5,3.78,12.1,0.11,2.7,0.79,16,0.02,6.93
96,30.7,33.7,0.11,18.2,12.3,0.59,5.31,0.83,2.14,3.52,0.68
97,4.27,32.3,6.48,19.1,39.5,22.5,8.9,14.3,14.8,0.15,18.3
98,7.53,0.02,0.97,25,10.2,4.91,3.67,2.6,16.5,18.9,5.18
99,23.7,4.32,13.6,8.76,9.8,3.8,3.35,0.97,30.4,7.25,16.1
100,31.8,27.3,21,45.3,35.2,8.36,5.51,1.95,50.1,29.2,27.7
101,36.8,20.9,10.1,16.2,32.1,38.4,5.5,22.7,33.4,15.9,16.7
102,25.8,36.2,25.1,22.1,32.8,30.4,32.9,38.8,26.1,12,30.6
103,7.98,56,22.4,19.6,25.4,32.6,15.7,35.5,28.6,37.5,20.4
104,50.1,59.5,22.8,42,39.2,26.4,39,22.7,44.3,17.2,23.7
105,58.4,56.2,12.6,3.25,40.7,24.1,23.9,11.2,12.8,14,33.9
106,53.5,53.2,18.9,26.8,11.1,4.62,7.84,41.3,19.5,23.2,13.1
107,20.8,51.9,8.73,35.6,39.8,11.9,2.49,27.4,23.9,41.2,29
108,37.3,32.4,10.5,26.7,22.9,34.8,36.2,6.46,5.09,7.71,19.6
109,35.6,37,7.02,44.9,24.4,3.52,40.1,0.93,24.4,1.46,0.02
110,30.2,27.6,26.4,23.2,28.4,14.2,0.06,3.74,33.6,37.9,15.9
111,49.2,29.7,31.5,16.4,15,14.7,4.28,14.7,39.5,8.06,11.6
112,21.8,7.2,9.91,16.9,3.99,37,15.4,14.7,23.9,39,29.3
113,7.43,10.5,7.37,9.96,15.3,0.06,0.15,0.07,12.6,7.76,9.47
114,16.2,2.91,0.47,27.9,19.9,1.14,1.9,1.63,3.97,4.12,3.17
115,3.04,8.74,0.24,5.16,1.52,0.38,4.26,1.72,8.8,29.1,8.67
116,13.1,3.15,5.08,7.02,13.5,0.3,25.5,0.35,1.51,0.66,2.44
117,2.99,6.46,3.31,32.8,1.2,3.63,0.66,1.12,32.1,2.76,14.7
118,0.56,0.02,1.09,3.6,20.3,0.67,1.98,6.73,0.12,0.27,1.14
119,17.6,0.02,2.26,5.85,11.3,0.88,1.44,0.24,0.19,4.54,8.61
120,0.06,11.7,4.31,18.4,2.8,0.9,1.75,0.25,11.7,0.74,1.03
121,15.4,1.4,5.41,16.9,21.4,2.06,1.04,7.41,12.7,18.5,19
122,6.79,2.02,7.43,20.4,9.31,17,12,17.7,16.3,2.37,6.49
123,12.5,6.62,7.77,32.2,12.2,0.43,0.61,1.5,9.77,9.6,3.76
124,34.7,40,28.4,47,39.9,1.33,1.98,7.97,39.8,25.3,24.5
125,28.7,24.6,27.7,27.8,15.7,24.3,14.8,23.8,23.8,28.6,17.2
126,27.9,17.7,40,20.9,36.4,42.8,27.4,31,22.3,6.69,23.1
127,46.3,53.3,43.9,29.6,11.2,8.86,43.5,30.8,34,41.2,33
128,12.1,57.1,41.4,38.1,28.5,29,38.2,18.3,40.6,4.62,22.9
129,54.8,47.9,9.43,9.75,39.6,32,14.1,23,16.6,41.9,32
130,45.9,53.9,44.5,47.1,3.65,9.17,16.4,13.4,18.9,43.1,19.4
131,16.3,45.2,16.6,42.5,27.7,27.4,19,27.3,28.2,14.5,4.66
132,2.29,14.8,25.5,14.5,44.7,6.22,2.85,7.42,6.61,10,14.4
133,46.7,26.4,12.2,21.6,2.13,1.57,6.44,7.43,33,40.7,23.7
