MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2021-06-16 19:06:50,1.8.1,yhc210607,5,3.94,1,15,Left,Left,81,6,13,13,,,0.26
2021-06-16 19:06:53,1.8.1,yhc210607,5,3.94,1,15,Left,Left,82,6,13,13,,,0.37
2021-06-16 19:06:54,1.8.1,yhc210607,5,3.94,1,15,Left,Left,83,6,13,13,,,0.23
2021-06-16 19:06:55,1.8.1,yhc210607,5,3.94,1,15,Left,Left,84,6,13,13,,,0.06
2021-06-16 19:06:57,1.8.1,yhc210607,5,3.93,1,15,Left,Left,85,6,13,13,,,0.65
2021-06-16 19:07:01,1.8.1,yhc210607,5,3.93,1,15,Left,Left,86,6,13,13,,,0.3
2021-06-16 19:07:03,1.8.1,yhc210607,5,3.94,1,15,Left,Left,87,6,13,13,,,0.15
2021-06-16 19:07:09,1.8.1,yhc210607,5,3.94,1,15,Left,Left,88,6,13,13,,,0.07
2021-06-16 19:07:13,1.8.1,yhc210607,5,3.94,1,15,Left,Left,89,6,13,13,,,0.83
2021-06-16 19:07:15,1.8.1,yhc210607,5,3.94,1,15,Left,Left,90,6,13,13,,,0.3
2021-06-16 19:07:16,1.8.1,yhc210607,5,3.94,1,15,Pellet,Left,90,6,14,14,0.30,1388.0,
2021-06-16 19:07:44,1.8.1,yhc210607,5,3.93,1,17,Left,Left,91,6,14,14,,,0.03
2021-06-16 19:07:46,1.8.1,yhc210607,5,3.94,1,17,Left,Left,92,6,14,14,,,0.08
2021-06-16 19:07:51,1.8.1,yhc210607,5,3.93,1,17,Left,Left,93,6,14,14,,,0.1
2021-06-16 19:08:01,1.8.1,yhc210607,5,3.94,1,17,Left,Left,94,6,14,14,,,0.04
2021-06-16 19:08:03,1.8.1,yhc210607,5,3.93,1,17,Left,Left,95,6,14,14,,,0.1
2021-06-16 19:08:05,1.8.1,yhc210607,5,3.94,1,17,Left,Left,96,6,14,14,,,0.08
2021-06-16 19:08:08,1.8.1,yhc210607,5,3.94,1,17,Left,Left,97,6,14,14,,,0.02
2021-06-16 19:08:13,1.8.1,yhc210607,5,3.94,1,17,Left,Left,98,6,14,14,,,0.26
2021-06-16 19:08:14,1.8.1,yhc210607,5,3.94,1,17,Left,Left,99,6,14,14,,,0.29
2021-06-16 19:08:17,1.8.1,yhc210607,5,3.94,1,17,Left,Left,100,6,14,14,,,0.91
2021-06-16 19:08:19,1.8.1,yhc210607,5,3.94,1,17,Left,Left,101,6,14,14,,,0.12
2021-06-16 19:08:21,1.8.1,yhc210607,5,3.93,1,17,Left,Left,102,6,14,14,,,0.6
2021-06-16 19:08:23,1.8.1,yhc210607,5,3.94,1,17,Left,Left,103,6,14,14,,,0.42
2021-06-16 19:08:25,1.8.1,yhc210607,5,3.93,1,17,Left,Left,104,6,14,14,,,0.62
2021-06-16 19:08:29,1.8.1,yhc210607,5,3.94,1,17,Left,Left,105,6,14,14,,,0.15
2021-06-16 19:08:34,1.8.1,yhc210607,5,3.93,1,17,Left,Left,106,6,14,14,,,0.43
2021-06-16 19:08:37,1.8.1,yhc210607,5,3.94,1,17,Left,Left,107,6,14,14,,,0.39
2021-06-16 19:08:38,1.8.1,yhc210607,5,3.94,1,17,Pellet,Left,107,6,15,15,0.18,82.0,
2021-06-16 19:09:17,1.8.1,yhc210607,5,3.93,1,20,Left,Left,108,6,15,15,,,0.22
2021-06-16 19:09:27,1.8.1,yhc210607,5,3.94,1,20,Right,Left,108,7,15,15,,,1.49
2021-06-16 19:09:29,1.8.1,yhc210607,5,3.93,1,20,Right,Left,108,8,15,15,,,0.35
2021-06-16 19:09:32,1.8.1,yhc210607,5,3.93,1,20,Left,Left,109,8,15,15,,,0.32
2021-06-16 19:09:33,1.8.1,yhc210607,5,3.93,1,20,Left,Left,110,8,15,15,,,0.31
2021-06-16 19:09:34,1.8.1,yhc210607,5,3.94,1,20,Left,Left,111,8,15,15,,,0.27
2021-06-16 19:09:36,1.8.1,yhc210607,5,3.94,1,20,Left,Left,112,8,15,15,,,0.33
2021-06-16 19:09:39,1.8.1,yhc210607,5,3.94,1,20,Left,Left,113,8,15,15,,,0.5
2021-06-16 19:09:40,1.8.1,yhc210607,5,3.94,1,20,Left,Left,114,8,15,15,,,0.04
2021-06-16 19:09:43,1.8.1,yhc210607,5,3.94,1,20,Left,Left,115,8,15,15,,,0.11
2021-06-16 19:09:45,1.8.1,yhc210607,5,3.94,1,20,Left,Left,116,8,15,15,,,0.35
2021-06-16 19:09:47,1.8.1,yhc210607,5,3.94,1,20,Left,Left,117,8,15,15,,,0.24
2021-06-16 19:09:48,1.8.1,yhc210607,5,3.94,1,20,Left,Left,118,8,15,15,,,0.0
2021-06-16 19:09:50,1.8.1,yhc210607,5,3.93,1,20,Left,Left,119,8,15,15,,,0.27
2021-06-16 19:09:50,1.8.1,yhc210607,5,3.93,1,20,Left,Left,120,8,15,15,,,0.0
2021-06-16 19:09:51,1.8.1,yhc210607,5,3.94,1,20,Left,Left,121,8,15,15,,,0.07
2021-06-16 19:09:53,1.8.1,yhc210607,5,3.94,1,20,Left,Left,122,8,15,15,,,0.27
2021-06-16 19:09:55,1.8.1,yhc210607,5,3.93,1,20,Left,Left,123,8,15,15,,,0.23
2021-06-16 19:09:56,1.8.1,yhc210607,5,3.94,1,20,Left,Left,124,8,15,15,,,0.25
2021-06-16 19:09:58,1.8.1,yhc210607,5,3.94,1,20,Left,Left,125,8,15,15,,,0.28
2021-06-16 19:09:59,1.8.1,yhc210607,5,3.94,1,20,Left,Left,126,8,15,15,,,0.07
2021-06-16 19:10:00,1.8.1,yhc210607,5,3.94,1,20,Left,Left,127,8,15,15,,,0.07
2021-06-16 19:10:01,1.8.1,yhc210607,5,3.94,1,20,Pellet,Left,127,8,16,16,0.30,83.0,
2021-06-16 19:15:13,1.8.1,yhc210607,5,3.93,1,22,Left,Left,128,8,16,16,,,0.37
2021-06-16 19:15:15,1.8.1,yhc210607,5,3.94,1,22,Left,Left,129,8,16,16,,,0.22
2021-06-16 19:15:17,1.8.1,yhc210607,5,3.94,1,22,Left,Left,130,8,16,16,,,0.39
2021-06-16 19:15:20,1.8.1,yhc210607,5,3.94,1,22,Left,Left,131,8,16,16,,,0.34
2021-06-16 19:15:22,1.8.1,yhc210607,5,3.93,1,22,Left,Left,132,8,16,16,,,0.03
2021-06-16 19:15:25,1.8.1,yhc210607,5,3.94,1,22,Left,Left,133,8,16,16,,,0.4
2021-06-16 19:15:27,1.8.1,yhc210607,5,3.94,1,22,Left,Left,134,8,16,16,,,0.46
2021-06-16 19:15:28,1.8.1,yhc210607,5,3.94,1,22,Left,Left,135,8,16,16,,,0.4
2021-06-16 19:15:29,1.8.1,yhc210607,5,3.93,1,22,Left,Left,136,8,16,16,,,0.0
2021-06-16 19:15:31,1.8.1,yhc210607,5,3.94,1,22,Left,Left,137,8,16,16,,,0.08
2021-06-16 19:15:33,1.8.1,yhc210607,5,3.94,1,22,Left,Left,138,8,16,16,,,0.2
2021-06-16 19:15:34,1.8.1,yhc210607,5,3.94,1,22,Left,Left,139,8,16,16,,,0.52
2021-06-16 19:15:36,1.8.1,yhc210607,5,3.94,1,22,Left,Left,140,8,16,16,,,0.28
2021-06-16 19:15:41,1.8.1,yhc210607,5,3.94,1,22,Left,Left,141,8,16,16,,,0.33
2021-06-16 19:15:42,1.8.1,yhc210607,5,3.93,1,22,Left,Left,142,8,16,16,,,0.05
2021-06-16 19:15:43,1.8.1,yhc210607,5,3.94,1,22,Left,Left,143,8,16,16,,,0.02
2021-06-16 19:15:44,1.8.1,yhc210607,5,3.94,1,22,Left,Left,144,8,16,16,,,0.01
2021-06-16 19:15:46,1.8.1,yhc210607,5,3.94,1,22,Left,Left,145,8,16,16,,,0.24
2021-06-16 19:15:48,1.8.1,yhc210607,5,3.93,1,22,Left,Left,146,8,16,16,,,0.28
2021-06-16 19:15:49,1.8.1,yhc210607,5,3.94,1,22,Left,Left,147,8,16,16,,,0.06
2021-06-16 19:15:52,1.8.1,yhc210607,5,3.94,1,22,Left,Left,148,8,16,16,,,0.22
2021-06-16 19:15:53,1.8.1,yhc210607,5,3.94,1,22,Left,Left,149,8,16,16,,,0.45
2021-06-16 19:15:54,1.8.1,yhc210607,5,3.93,1,22,Pellet,Left,149,8,17,17,0.18,353.0,
2021-06-16 19:16:30,1.8.1,yhc210607,5,3.93,1,25,Left,Left,150,8,17,17,,,0.32
2021-06-16 19:16:31,1.8.1,yhc210607,5,3.93,1,25,Left,Left,151,8,17,17,,,0.37
2021-06-16 19:16:34,1.8.1,yhc210607,5,3.94,1,25,Left,Left,152,8,17,17,,,0.39
2021-06-16 19:16:35,1.8.1,yhc210607,5,3.93,1,25,Left,Left,153,8,17,17,,,0.05
2021-06-16 19:16:38,1.8.1,yhc210607,5,3.94,1,25,Left,Left,154,8,17,17,,,0.28
2021-06-16 19:16:40,1.8.1,yhc210607,5,3.94,1,25,Left,Left,155,8,17,17,,,0.25
2021-06-16 19:16:41,1.8.1,yhc210607,5,3.94,1,25,Left,Left,156,8,17,17,,,0.29
2021-06-16 19:16:42,1.8.1,yhc210607,5,3.93,1,25,Left,Left,157,8,17,17,,,0.15
2021-06-16 19:16:46,1.8.1,yhc210607,5,3.94,1,25,Left,Left,158,8,17,17,,,0.24
2021-06-16 19:16:47,1.8.1,yhc210607,5,3.93,1,25,Left,Left,159,8,17,17,,,0.69
2021-06-16 19:16:50,1.8.1,yhc210607,5,3.93,1,25,Left,Left,160,8,17,17,,,0.48
2021-06-16 19:16:51,1.8.1,yhc210607,5,3.94,1,25,Left,Left,161,8,17,17,,,0.26
2021-06-16 19:16:53,1.8.1,yhc210607,5,3.94,1,25,Left,Left,162,8,17,17,,,0.23
2021-06-16 19:16:57,1.8.1,yhc210607,5,3.94,1,25,Left,Left,163,8,17,17,,,0.23
2021-06-16 19:16:58,1.8.1,yhc210607,5,3.93,1,25,Left,Left,164,8,17,17,,,0.26
2021-06-16 19:17:00,1.8.1,yhc210607,5,3.94,1,25,Left,Left,165,8,17,17,,,0.17
2021-06-16 19:17:01,1.8.1,yhc210607,5,3.94,1,25,Left,Left,166,8,17,17,,,0.08
2021-06-16 19:17:03,1.8.1,yhc210607,5,3.94,1,25,Left,Left,167,8,17,17,,,0.27
2021-06-16 19:17:07,1.8.1,yhc210607,5,3.93,1,25,Left,Left,168,8,17,17,,,0.34
2021-06-16 19:17:10,1.8.1,yhc210607,5,3.93,1,25,Left,Left,169,8,17,17,,,0.58
2021-06-16 19:17:12,1.8.1,yhc210607,5,3.94,1,25,Left,Left,170,8,17,17,,,0.28
2021-06-16 19:17:14,1.8.1,yhc210607,5,3.94,1,25,Left,Left,171,8,17,17,,,0.23
2021-06-16 19:17:16,1.8.1,yhc210607,5,3.94,1,25,Left,Left,172,8,17,17,,,0.03
2021-06-16 19:17:18,1.8.1,yhc210607,5,3.94,1,25,Left,Left,173,8,17,17,,,0.23
2021-06-16 19:19:11,1.8.1,yhc210607,5,3.94,1,25,Right,Left,173,9,17,17,,,0.09
