MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2021-08-29 07:12:54,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4004.0,134.0,347.0,32.0,,,0.11
2021-08-29 07:12:56,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4005.0,134.0,347.0,32.0,,,0.12
2021-08-29 07:13:01,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4006.0,134.0,347.0,32.0,,,0.67
2021-08-29 07:13:01,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4007.0,134.0,347.0,32.0,,,0.0
2021-08-29 07:13:03,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4008.0,134.0,347.0,32.0,,,0.01
2021-08-29 07:13:05,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4009.0,134.0,347.0,32.0,,,0.62
2021-08-29 07:13:07,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4010.0,134.0,347.0,32.0,,,1.24
2021-08-29 07:13:10,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4011.0,134.0,347.0,32.0,,,1.09
2021-08-29 07:13:18,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4012.0,134.0,347.0,32.0,,,0.12
2021-08-29 07:15:14,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4013.0,134.0,347.0,32.0,,,0.08
2021-08-29 07:22:02,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4014.0,134.0,347.0,32.0,,,0.19
2021-08-29 07:23:44,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4015.0,134.0,347.0,32.0,,,0.28
2021-08-29 07:28:11,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4016.0,134.0,347.0,32.0,,,0.15
2021-08-29 07:28:55,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4017.0,134.0,347.0,32.0,,,0.09
2021-08-29 07:43:55,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4018.0,134.0,347.0,32.0,,,0.65
2021-08-29 07:44:03,1.8.1,PRexp,2.0,3.92,1,131.0,Left,Left,4019.0,134.0,347.0,32.0,,,0.77
2021-08-29 07:44:09,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4020.0,134.0,347.0,32.0,,,0.5
2021-08-29 07:44:12,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4021.0,134.0,347.0,32.0,,,0.06
2021-08-29 07:44:22,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4022.0,134.0,347.0,32.0,,,0.08
2021-08-29 07:45:02,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4023.0,134.0,347.0,32.0,,,0.1
2021-08-29 07:45:06,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4024.0,134.0,347.0,32.0,,,0.9
2021-08-29 07:45:08,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4025.0,134.0,347.0,32.0,,,0.66
2021-08-29 07:45:12,1.8.1,PRexp,2.0,3.92,1,131.0,Left,Left,4026.0,134.0,347.0,32.0,,,0.2
2021-08-29 07:45:16,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4027.0,134.0,347.0,32.0,,,0.8
2021-08-29 07:45:18,1.8.1,PRexp,2.0,3.92,1,131.0,Left,Left,4028.0,134.0,347.0,32.0,,,0.01
2021-08-29 07:45:20,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4029.0,134.0,347.0,32.0,,,0.66
2021-08-29 07:45:21,1.8.1,PRexp,2.0,3.91,1,131.0,Left,Left,4030.0,134.0,347.0,32.0,,,0.53
